time,Jint,Jint_box,Jint_box_over_Gc,Jint_over_Gc,bot_react,external_work,fracture_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0
0.5,7.3375636508842e-07,2.0941977923283e-07,6.9806593077609e-05,0.00024458545502947,29.464545529409,0.0091996354742912,0.031179433812551,0.0045998177370637,-29.464545529409
1,2.531064153358e-06,1.9074000918604e-06,0.00063580003062013,0.00084368805111934,29.57393984388,0.0092705319863684,0.031179441564117,0.0046506596593628,-29.57393984388
1.5,2.62846024753e-06,1.9468933610717e-06,0.00064896445369056,0.00087615341584335,29.784071511802,0.0093441348382874,0.031179442061365,0.004723907255516,-29.784071511802
2,2.7329846736403e-06,1.9871660579406e-06,0.00066238868598021,0.00091099489121345,29.999899288587,0.0094206223945054,0.031179442575134,0.0048000268219385,-29.999899288587
2.5,2.8465295194737e-06,2.0292416275565e-06,0.00067641387585216,0.0009488431731579,30.221664715374,0.0095001894826979,0.031179443130669,0.0048792001132026,-30.221664715374
3,2.9702095264121e-06,2.0732538660605e-06,0.00069108462202015,0.00099006984213735,30.4496830215,0.0095830496452282,0.031179443732684,0.004961638014958,-30.4496830215
3.5,3.1053007626516e-06,2.1193438787552e-06,0.00070644795958505,0.0010351002542172,30.684294123767,0.0096694374178901,0.031179444386487,0.0050475720802809,-30.684294123767
4,3.2532790900789e-06,2.167669253113e-06,0.00072255641770434,0.0010844263633596,30.925864948559,0.0097596109332739,0.031179445098166,0.00513725705715,-30.925864948559
4.5,3.4158491616862e-06,2.2184016340399e-06,0.00073946721134663,0.0011386163872287,31.174792076407,0.009853854901521,0.031179445874695,0.0052309738044981,-31.174792076407
5,3.5949875521571e-06,2.271730477286e-06,0.00075724349242868,0.0011983291840524,31.43150469618,0.0099524840278536,0.031179446724104,0.0053290326337102,-31.43150469618
5.5,3.792986286452e-06,2.3278614706446e-06,0.00077595382354821,0.0012643287621507,31.696467850712,0.010055846936931,0.03117944765565,0.005431777142716,-31.696467850712
6,4.0125326246051e-06,2.3870365257741e-06,0.00079567884192472,0.0013375108748684,31.970186124337,0.010164330682205,0.031179448680131,0.0055395886198074,-31.970186124337
6.5,4.2567516298483e-06,2.4495170068828e-06,0.00081650566896092,0.0014189172099494,32.253207530688,0.010278365937171,0.031179449810067,0.0056528911075562,-32.253207530688
7,4.5292905499779e-06,2.5155902420675e-06,0.00083853008068917,0.0015097635166593,32.546127911462,0.010398432973142,0.031179451060056,0.0057721572315009,-32.546127911462
7.5,4.83442346754e-06,2.5855813573234e-06,0.00086186045244112,0.00161147448918,32.849595786321,0.010525068544725,0.031179452447225,0.0058979149083429,-32.849595786321
8,5.1771642305176e-06,2.6598597316484e-06,0.00088661991054947,0.0017257214101725,33.164317620225,0.010658873821848,0.031179453991734,0.0060307550685817,-33.164317620225
8.5,5.5633745362726e-06,2.7388278379324e-06,0.00091294261264413,0.0018544581787575,33.491063458772,0.010800523525637,0.031179455717303,0.0061713405426292,-33.491063458772
9,5.9999355084962e-06,2.8229453630747e-06,0.00094098178769156,0.0019999785028321,33.830673223105,0.010950776433896,0.031179457652107,0.0063204162742635,-33.830673223105
9.5,6.4949255976781e-06,2.9127435305903e-06,0.00097091451019677,0.002164975199226,34.184063368982,0.011110487442409,0.031179459829711,0.0064788210375356,-34.184063368982
10,7.0577646571932e-06,3.0087965636455e-06,0.0010029321878818,0.0023525882190644,34.552233709949,0.011280621383216,0.031179462290025,0.0066475008461858,-34.552233709949
10.5,7.6994697677888e-06,3.1117691894014e-06,0.0010372563964671,0.0025664899225963,34.936275022467,0.011462268784277,0.031179465080976,0.0068275242477807,-34.936275022467
11,8.4328584112544e-06,3.2224125239135e-06,0.0010741375079712,0.0028109528037515,35.337376528304,0.011656663764011,0.031179468260187,0.0070200996680317,-35.337376528304
11.5,9.2727646853433e-06,3.3415690169895e-06,0.0011138563389965,0.0030909215617811,35.75683346354,0.011865204218322,0.031179471897104,0.0072265949765989,-35.75683346354
12,1.0236249988953e-05,3.4701830880837e-06,0.0011567276960279,0.003412083329651,36.196054491773,0.012089474401154,0.031179476075729,0.0074485593602419,-36.196054491773
12.5,1.1342755527812e-05,3.6092948075901e-06,0.0012030982691967,0.0037809185092707,36.656568409352,0.012331269918058,0.031179480897669,0.0076877475274029,-36.656568409352
13,1.2614288101278e-05,3.7601170268308e-06,0.0012533723422769,0.004204762700426,37.140030693995,0.012592624988012,0.031179486487133,0.0079461461325865,-37.140030693995
13.5,1.4075384754784e-05,3.9240270307934e-06,0.0013080090102645,0.0046917949182613,37.648227795015,0.0128758416811,0.031179492995836,0.0082260020977952,-37.648227795015
14,1.5752872867197e-05,4.1025309135825e-06,0.0013675103045275,0.0052509576223991,38.183079207828,0.013183520576692,0.031179500608784,0.0085298523532109,-38.183079207828
14.5,1.7675511221363e-05,4.2973252712065e-06,0.0014324417570688,0.0058918370737877,38.746637674065,0.013518591926808,0.031179509563263,0.0088605541222903,-38.746637674065
15,1.9873244846526e-05,4.5102984567111e-06,0.0015034328189037,0.006624414948842,39.341085283059,0.013884346074014,0.031179520129072,0.009221314536649,-39.341085283059
15.5,2.2376053113756e-05,4.7435096134248e-06,0.0015811698711416,0.007458684371252,39.968725234973,0.014284461453854,0.031179532645536,0.0096157180579584,-39.968725234973
16,2.5212496984307e-05,4.9992730632698e-06,0.0016664243544233,0.0084041656614355,40.631969508812,0.014723028052839,0.031179547529686,0.010047749608398,-40.631969508812
16.5,2.8407722241755e-05,5.2801533773267e-06,0.0017600511257756,0.0094692407472517,41.333320152391,0.015204563922871,0.03117956529138,0.010521811151169,-41.333320152391
17,3.1981081574571e-05,5.5889548206689e-06,0.001862984940223,0.010660360524857,42.075344805994,0.015734022141529,0.031179586552231,0.011042729209344,-42.075344805994
17.5,3.5943288729029e-05,5.9285032801505e-06,0.0019761677600502,0.01198109624301,42.860644682287,0.016316785741263,0.031179612063803,0.011615750880062,-42.860644682287
18,4.0294414110671e-05,6.3021407581092e-06,0.0021007135860364,0.013431471370224,43.691823904127,0.016958648240169,0.031179642741526,0.012246526189917,-43.691823904127
18.5,4.5021287670276e-05,6.7134108914891e-06,0.0022378036304964,0.015007095890092,44.571446944772,0.017665778674024,0.03117967968632,0.012941075362837,-44.571446944772
19,5.0095999921851e-05,7.1660563153932e-06,0.0023886854384644,0.016698666640617,45.501996683385,0.018444670829652,0.031179724214353,0.013705740897871,-45.501996683385
19.5,5.5475682049499e-05,7.6641738117286e-06,0.0025547246039095,0.0184918940165,46.485833364098,0.019302077817692,0.031179777888605,0.014547125312694,-46.485833364098
20,6.1103119877845e-05,8.2118997043975e-06,0.0027372999014658,0.020367706625948,47.525151309547,0.020244934778597,0.031179842545378,0.015472017143895,-47.525151309547
20.5,6.6909041797418e-05,8.8132883776146e-06,0.0029377627925382,0.022303013932473,48.621941628697,0.021280273602463,0.031179920316242,0.016487308913299,-48.621941628697
21,7.2816693452718e-05,9.4731064491586e-06,0.0031577021497195,0.024272231150906,49.777970258112,0.02241513423464,0.031180013669629,0.017599911535052,-49.777970258112
21.5,7.8745886119444e-05,1.0196341474185e-05,0.0033987804913949,0.026248628706481,50.994749374928,0.023656478100779,0.031180125418038,0.018816670099583,-50.994749374928
22,8.4617576805404e-05,1.0987865136996e-05,0.0036626217123321,0.028205858935135,52.273524347634,0.025011108206642,0.031180258722645,0.02014428594025,-52.273524347634
22.5,9.0359041992873e-05,1.1852879400978e-05,0.0039509598003261,0.030119680664291,53.615272105174,0.026485599711182,0.031180417099122,0.021589248518554,-53.615272105174
23,9.5907566836911e-05,1.2796738271511e-05,0.004265579423837,0.031969188945637,55.020705780708,0.0280862435632,0.031180604404668,0.02315777971222,-55.020705780708
23.5,0.00010121323265238,1.3825012046428e-05,0.0046083373488092,0.033737744217459,56.490287662799,0.029819004316598,0.031180824816624,0.02485579172523,-56.490287662799
24,0.00010624041938551,1.4943583982311e-05,0.0049811946607704,0.035413473128504,58.024248151858,0.031689491945468,0.031181082801361,0.026688858492492,-58.024248151858
24.5,0.00011096768115892,1.6158400121519e-05,0.0053861333738398,0.036989227052975,59.622608114791,0.033702946431193,0.031181383151022,0.028662199476511,-59.622608114791
