time,Fx,Fy
0,0,0
1e-08,0,0
2e-08,0,0
3e-08,0.062151733938388,1.1097233201807e-10
4e-08,0.23413529567211,4.1673294329247e-10
5e-08,0.53843314161793,9.5416530579429e-10
6e-08,0.96807703205852,1.7061002610674e-09
7e-08,1.4898435813869,2.6085400020581e-09
8e-08,2.0538774726763,3.5698823341868e-09
9e-08,2.6070328783504,4.4965016154919e-09
1e-07,3.1063045994303,5.3174125658195e-09
1.1e-07,3.5288113381685,6.0012299851753e-09
1.2e-07,3.8758486408238,6.5610605559652e-09
1.3e-07,4.1702334474761,7.0465603907444e-09
1.4e-07,4.4480251211276,7.526113982026e-09
1.5e-07,4.7472049902747,8.064826639842e-09
1.6e-07,5.0966194740728,8.7049493446845e-09
1.7e-07,5.5082620326581,9.4544219952919e-09
1.8e-07,5.9748830254193,1.0286457713393e-08
1.9e-07,6.4733115295539,1.1149773770924e-08
2e-07,6.9722248034348,1.1985809567072e-08
2.1e-07,7.4418826919077,1.2747366218147e-08
2.2e-07,7.8628906504637,1.3412880139896e-08
2.3e-07,8.2314695751118,1.3992095815318e-08
2.4e-07,8.5598417829473,1.4521753299856e-08
2.5e-07,8.8718352969491,1.5052952884176e-08
2.6e-07,9.1952139245413,1.5634508632179e-08
2.7e-07,9.5531493201553,1.6297565852419e-08
2.8e-07,9.9574129341585,1.7046266731491e-08
2.9e-07,10.405257958637,1.7857270717681e-08
3e-07,10.880789486296,1.8687935809947e-08
3.1e-07,11.36025121616,1.9490422331625e-08
3.2e-07,11.819503024137,2.0227056751754e-08
3.3e-07,12.241362997861,2.0882070184136e-08
3.4e-07,12.62060285714,2.1466119437541e-08
3.5e-07,12.965161324598,2.2012290212814e-08
3.6e-07,13.29332424589,2.2565047164136e-08
3.7e-07,13.627845779751,2.3165756646293e-08
3.8e-07,13.988881938845,2.3839549334603e-08
3.9e-07,14.387914827583,2.4587539781962e-08
4e-07,14.82448608942,2.5386916457926e-08
4.1e-07,15.286657311242,2.6198657021581e-08
4.2e-07,15.754959520787,2.6980346401473e-08
4.3e-07,16.208539572279,2.7699875615461e-08
4.4e-07,16.631575141912,2.8345690794573e-08
4.5e-07,17.017995204568,2.8930301154695e-08
4.6e-07,17.373105800513,2.9486014407887e-08
4.7e-07,17.711696943346,3.0054386201961e-08
4.8e-07,18.05328964611,3.0672794415487e-08
4.9e-07,18.416040326189,3.1362372476806e-08
5e-07,18.811196799297,3.2121326487555e-08
5.1e-07,19.239791019639,3.292555983414e-08
5.2e-07,19.692534568277,3.3736464510881e-08
5.3e-07,20.152883403487,3.4513267355152e-08
5.4e-07,20.602269223255,3.5226030314917e-08
5.5e-07,21.025851296304,3.5865128755752e-08
5.6e-07,21.417015091323,3.6444215645304e-08
5.7e-07,21.779261643771,3.699575479299e-08
5.8e-07,22.124956445735,3.7560600740782e-08
5.9e-07,22.471378887706,3.8175041350286e-08
6e-07,22.835332702842,3.8859288675752e-08
6.1e-07,23.227996340337,3.9611274704754e-08
6.2e-07,23.651588665063,4.0407536539e-08
6.3e-07,24.098840701724,4.1210863832575e-08
6.4e-07,24.555385836522,4.1982457843481e-08
6.5e-07,25.004283282174,4.2694213275851e-08
6.6e-07,25.431248373137,4.333781600252e-08
6.7e-07,25.828970905854,4.3927140813693e-08
6.8e-07,26.199210944954,4.4493692286096e-08
6.9e-07,26.552067467561,4.5076318455628e-08
7e-07,26.902695556472,4.5708531404287e-08
7.1e-07,27.266529087892,4.6407659937131e-08
7.2e-07,27.654509124735,4.7169129269165e-08
7.3e-07,28.069792173107,4.7967873006982e-08
7.4e-07,28.506932079053,4.8766277016554e-08
7.5e-07,28.95374928165,4.9526268641742e-08
7.6e-07,29.39526618937,5.0221584890764e-08
7.7e-07,29.818455997845,5.084626830687e-08
7.8e-07,30.216316586043,5.1416726432052e-08
7.9e-07,30.590009006032,5.1966683178861e-08
8e-07,30.948415505867,5.2536492711752e-08
8.1e-07,31.305280335456,5.3160305268918e-08
8.2e-07,31.674845845705,5.3855137682746e-08
8.3e-07,32.067355672648,5.461545704577e-08
8.4e-07,32.485827095154,5.5414802746512e-08
8.5e-07,32.92509071184,5.6214203958405e-08
8.6e-07,33.37338609956,5.6974686524214e-08
8.7e-07,33.816008736394,5.7669689246254e-08
8.8e-07,34.239871621947,5.8293918359098e-08
8.9e-07,34.637568158145,5.8865128105268e-08
9e-07,35.009683439189,5.9418853837201e-08
9.1e-07,35.364646337263,5.9997159240766e-08
9.2e-07,35.716174086563,6.0635337195691e-08
9.3e-07,36.079099617094,6.1350515556668e-08
9.4e-07,36.46486325447,6.2135809164587e-08
9.5e-07,36.878045971315,6.2962044022896e-08
9.6e-07,37.314995149934,6.3786498971652e-08
9.7e-07,37.764949160321,6.4565896185087e-08
9.8e-07,38.21330375147,6.5269895044295e-08
9.9e-07,38.646015366525,6.5890592315654e-08
1e-06,39.053800441108,6.6445130286752e-08
1.01e-06,39.434864673346,6.6970696988022e-08
1.02e-06,39.795354842282,6.7513299617517e-08
1.03e-06,40.147424029919,6.8113740425702e-08
1.04e-06,40.505523815371,6.8795285690371e-08
1.05e-06,40.882064200938,6.955665599051e-08
1.06e-06,41.283756211061,7.0372621729931e-08
1.07e-06,41.709725447376,7.1201855300629e-08
1.08e-06,42.151932261044,7.1999713524562e-08
1.09e-06,42.597728570632,7.2731928923986e-08
1.1e-06,43.033739516188,7.3384873733318e-08
1.11e-06,43.449873944212,7.3969478320279e-08
1.12e-06,43.842253279267,7.4517494175197e-08
1.13e-06,44.2142011748,7.5071322491738e-08
1.14e-06,44.575042077433,7.5670806953809e-08
1.15e-06,44.937126119249,7.6340896493221e-08
1.16e-06,45.312025438835,7.7084207017464e-08
1.17e-06,45.707075260328,7.7880653703843e-08
1.18e-06,46.123298668419,7.8694023519787e-08
1.19e-06,46.555306077487,7.9483557957616e-08
1.2e-06,46.993142968276,8.0216857156756e-08
1.21e-06,47.425465509134,8.0879683395096e-08
1.22e-06,47.843034766232,8.1480179270343e-08
1.23e-06,48.241450913761,8.2045867877412e-08
1.24e-06,48.622312842985,8.2614544316684e-08
1.25e-06,48.992496456182,8.3222226443525e-08
1.26e-06,49.361834031943,8.3891742885811e-08
1.27e-06,49.739963209724,8.4625853880027e-08
1.28e-06,50.133349230375,8.5406639538377e-08
1.29e-06,50.543401177065,8.6201699556199e-08
1.3e-06,50.966235518337,8.6974695001629e-08
1.31e-06,51.394109581232,8.7697036743606e-08
1.32e-06,51.818023299838,8.835692133502e-08
1.33e-06,52.230633707019,8.896280245807e-08
1.34e-06,52.628550392046,8.95403520218e-08
1.35e-06,53.013299469928,9.0123913221163e-08
1.36e-06,53.390683169239,9.0745260195035e-08
1.37e-06,53.768778693717,9.1423356884945e-08
1.38e-06,54.155248641622,9.2158501274753e-08
1.39e-06,54.554841751246,9.2932423534364e-08
1.4e-06,54.967885414105,9.3714620508223e-08
1.41e-06,55.390239528425,9.4472590195238e-08
1.42e-06,55.814704471285,9.5182504100677e-08
1.43e-06,56.233408370943,9.5837070279714e-08
1.44e-06,56.640389621868,9.6447811515077e-08
1.45e-06,57.033536594861,9.7041106261742e-08
1.46e-06,57.415262166751,9.7649263786082e-08
1.47e-06,57.791704241252,9.8299650641565e-08
1.48e-06,58.170720554811,9.900526709572e-08
1.49e-06,58.559333291968,9.9760222305179e-08
1.5e-06,58.961452829616,1.0054124599534e-07
1.51e-06,59.376615870143,1.0131525440826e-07
1.52e-06,59.800142950468,1.0205016520715e-07
1.53e-06,60.224660944767,1.0272544859191e-07
1.54e-06,60.642495727053,1.0333944189256e-07
1.55e-06,61.048160068276,1.0391017690736e-07
1.56e-06,61.440131784338,1.0447006104641e-07
1.57e-06,61.82134647658,1.0505578540432e-07
1.58e-06,62.19824408207,1.0569645159109e-07
1.59e-06,62.578675554785,1.0640429515263e-07
1.6e-06,62.969345186216,1.0717059950593e-07
1.61e-06,63.373616415961,1.0796823479708e-07
1.62e-06,63.790394868253,1.0876065070775e-07
1.63e-06,64.214457506852,1.0951339879384e-07
1.64e-06,64.638131103882,1.1020571033526e-07
1.65e-06,65.053785798999,1.1083714968052e-07
1.66e-06,65.456341229353,1.1142795619534e-07
1.67e-06,65.844971006166,1.1201253480309e-07
1.68e-06,66.223442013087,1.1262774535226e-07
1.69e-06,66.598959875712,1.1330068572235e-07
1.7e-06,66.979873126913,1.1403903110718e-07
1.71e-06,67.372962120471,1.1482762651838e-07
1.72e-06,67.781183610851,1.1563273094595e-07
1.73e-06,68.202608941764,1.1641248409688e-07
1.74e-06,68.630922000215,1.171305643588e-07
1.75e-06,69.057348201481,1.1776849850875e-07
1.76e-06,69.473424152697,1.1833250912474e-07
1.77e-06,69.873737082693,1.1885309847415e-07
1.78e-06,70.257755763715,1.1937613786372e-07
1.79e-06,70.630147068805,1.1994905735335e-07
1.8e-06,70.999442377422,1.2060613174825e-07
1.81e-06,71.375439796727,1.2135703064686e-07
1.82e-06,71.766137146341,1.2218312939183e-07
1.83e-06,72.175155618119,1.2304257968054e-07
1.84e-06,72.600478803093,1.2388269832186e-07
1.85e-06,73.034933999854,1.2465624665836e-07
1.86e-06,73.468303231128,1.2533618454214e-07
1.87e-06,73.890437419375,1.2592460985061e-07
1.88e-06,74.294420436305,1.2645267055689e-07
1.89e-06,74.678795695199,1.2697101992032e-07
1.9e-06,75.048141981785,1.2753437905744e-07
1.91e-06,75.411786610754,1.281839066003e-07
1.92e-06,75.781019884893,1.289338267263e-07
1.93e-06,76.165646952479,1.2976628571693e-07
1.94e-06,76.570933065744,1.306358292652e-07
1.95e-06,76.995893917534,1.3148326072354e-07
1.96e-06,77.433481916797,1.3225377504256e-07
1.97e-06,77.872642057346,1.3291456912867e-07
1.98e-06,78.301633732264,1.3346583838114e-07
1.99e-06,78.711615944224,1.3394165154779e-07
2e-06,79.099398313523,1.3440067281323e-07
2.01e-06,79.468502112736,1.3490855765852e-07
2.02e-06,79.828183664379,1.3551786448573e-07
2.03e-06,80.190693354684,1.362518333714e-07
2.04e-06,80.567587434293,1.3709648305493e-07
2.05e-06,80.966208725613,1.3800411613474e-07
2.06e-06,81.387412147587,1.3890751837664e-07
2.07e-06,81.825240821565,1.3973993340244e-07
2.08e-06,82.268669077837,1.404556617679e-07
2.09e-06,82.704898782507,1.4104408885274e-07
2.1e-06,83.123217652457,1.4153347649426e-07
2.11e-06,83.518249946241,1.4198264208787e-07
2.12e-06,83.891607641767,1.4246305068966e-07
2.13e-06,84.251431768656,1.4303690898387e-07
2.14e-06,84.609953451301,1.4373826839886e-07
2.15e-06,84.979807698428,1.4456183983214e-07
2.16e-06,85.370215501478,1.4546440674224e-07
2.17e-06,85.784193608654,1.4637796086348e-07
2.18e-06,86.217641781524,1.4723045849152e-07
2.19e-06,86.660587779802,1.4796784197912e-07
2.2e-06,87.100213922445,1.4857126995338e-07
2.21e-06,87.524746055744,1.4906312317819e-07
2.22e-06,87.92702218875,1.4950044446849e-07
2.23e-06,88.306654937253,1.4995773156556e-07
2.24e-06,88.670130202818,1.5050408563866e-07
2.25e-06,89.02881377023,1.5118154239602e-07
2.26e-06,89.395475658596,1.5199227165752e-07
2.27e-06,89.780394088775,1.5289712607114e-07
2.28e-06,90.18822856616,1.5382792017959e-07
2.29e-06,90.616615700163,1.5470777547932e-07
2.3e-06,91.056914075933,1.5547536014182e-07
2.31e-06,91.49686706252,1.5610366377317e-07
