time,Fx,Fy
0,0,0
1e-08,0,0
2e-08,0,0
3e-08,0.015489789181581,2.7442432102231e-11
4e-08,0.061060409075021,1.0810178620313e-10
5e-08,0.14956339780885,2.6452955375223e-10
6e-08,0.29138208143953,5.1471646042578e-10
7e-08,0.49386137942766,8.7106164642359e-10
8e-08,0.76093187642182,1.3397168791007e-09
9e-08,1.0929508168131,1.9203452283206e-09
1e-07,1.4867681119648,2.6063094495099e-09
1.1e-07,1.9360104220155,3.3852675020846e-09
1.2e-07,2.4315619222452,4.2401353365917e-09
1.3e-07,2.9622074807577,5.1503381837126e-09
1.4e-07,3.5153935375329,6.0932653783707e-09
1.5e-07,4.078054686655,7.0458252877936e-09
1.6e-07,4.6374503010659,7.9859842593011e-09
1.7e-07,5.1819557229111,8.8941886841609e-09
1.8e-07,5.7017565219021,9.7545798313781e-09
1.9e-07,6.1894017829708,1.0555901194809e-08
2e-07,6.6401827653981,1.1292062909729e-08
2.1e-07,7.0523158210957,1.1962330299931e-08
2.2e-07,7.4269222676811,1.2571100937997e-08
2.3e-07,7.7678120008722,1.3127358429454e-08
2.4e-07,8.0810910101073,1.3643778093431e-08
2.5e-07,8.3746247023776,1.4135626578982e-08
2.6e-07,8.657398240454,1.4619489618894e-08
2.7e-07,8.9388213444608,1.5111947332391e-08
2.8e-07,9.2280277967777,1.5628297184156e-08
2.9e-07,9.5332190870174,1.6181444559282e-08
3e-07,9.8610973518812,1.6780939318672e-08
3.1e-07,10.216425366281,1.7432381788085e-08
3.2e-07,10.60174140711,1.8137074703217e-08
3.3e-07,11.017245092563,1.8892083772371e-08
3.4e-07,11.460857667889,1.9690549191154e-08
3.5e-07,11.928447585381,2.0522354038377e-08
3.6e-07,12.414200520137,2.1374993122714e-08
3.7e-07,12.91110300142,2.2234619312389e-08
3.8e-07,13.411501310981,2.3087166303726e-08
3.9e-07,13.907692706451,2.3919443079001e-08
4e-07,14.39250465063,2.4720177266291e-08
4.1e-07,14.85981960898,2.5480846765902e-08
4.2e-07,15.305007922386,2.6196284655389e-08
4.3e-07,15.725238854449,2.6865035168688e-08
4.4e-07,16.119649549356,2.7489379092471e-08
4.5e-07,16.489362574479,2.8075074764988e-08
4.6e-07,16.837354134711,2.8630846249378e-08
4.7e-07,17.168186084143,2.9167623302739e-08
4.8e-07,17.487624717556,2.9697648271099e-08
4.9e-07,17.802177291281,3.0233470449392e-08
5e-07,18.118582743066,3.0786946714212e-08
5.1e-07,18.443295786137,3.1368318956226e-08
5.2e-07,18.782003290282,3.1985413997959e-08
5.3e-07,19.139208701635,3.2643082195638e-08
5.4e-07,19.517914476261,3.3342856226026e-08
5.5e-07,19.91942458433,3.4082854788453e-08
5.6e-07,20.343279707386,3.4858029823726e-08
5.7e-07,20.787327530809,3.566058248694e-08
5.8e-07,21.247920304346,3.6480651111059e-08
5.9e-07,21.720222372603,3.7307103434303e-08
6e-07,22.198602363521,3.8128470797316e-08
6.1e-07,22.677078746108,3.8933846230327e-08
6.2e-07,23.149783948073,3.9713766414318e-08
6.3e-07,23.611411388235,4.0460922307028e-08
6.4e-07,24.057611651627,4.1170750281205e-08
6.5e-07,24.485308436845,4.1841702658196e-08
6.6e-07,24.89291146722,4.2475413492005e-08
6.7e-07,25.280411753658,4.3076432143518e-08
6.8e-07,25.649353784853,4.3651890657692e-08
6.9e-07,26.002688690836,4.421084448536e-08
7e-07,26.344521456705,4.4763549422733e-08
7.1e-07,26.679773175633,4.5320590197351e-08
7.2e-07,27.013785537275,4.5892047800811e-08
7.3e-07,27.351898799394,4.6486655191913e-08
7.4e-07,27.69903610538,4.7111115342169e-08
7.5e-07,28.059326094992,4.7769606936754e-08
7.6e-07,28.43579240977,4.8463388857556e-08
7.7e-07,28.830133201418,4.9190804402022e-08
7.8e-07,29.242606554067,4.9947408653495e-08
7.9e-07,29.672029397794,5.0726333244988e-08
8e-07,30.115888669287,5.1518916022175e-08
8.1e-07,30.570554844928,5.2315382359502e-08
8.2e-07,31.031580189073,5.310567643968e-08
8.3e-07,31.494057712233,5.3880298084286e-08
8.4e-07,31.95301239137,5.4631056872756e-08
8.5e-07,32.403793989284,5.5351784405966e-08
8.6e-07,32.842440970777,5.6038796214519e-08
8.7e-07,33.265987516273,5.6691268512932e-08
8.8e-07,33.672690266599,5.7311218493172e-08
8.9e-07,34.062157822841,5.7903412148397e-08
9e-07,34.435373668693,5.8474945330289e-08
9.1e-07,34.794611483967,5.9034714450235e-08
9.2e-07,35.143250135989,5.9592637796646e-08
9.3e-07,35.485503333101,6.0158892117856e-08
9.4e-07,35.82608541635,6.0743082758163e-08
9.5e-07,36.169839562838,6.1353431862754e-08
9.6e-07,36.521357421313,6.199612070934e-08
9.7e-07,36.884619700538,6.2674804929275e-08
9.8e-07,37.262685459954,6.3390234950056e-08
9.9e-07,37.657453959632,6.4140249250721e-08
1e-06,38.069517223363,6.4919870257363e-08
1.01e-06,38.498114401616,6.5721706410393e-08
1.02e-06,38.941191138495,6.6536518794624e-08
1.03e-06,39.39555905592,6.735394342261e-08
1.04e-06,39.857142788812,6.8163324318249e-08
1.05e-06,40.321295322049,6.8954535525911e-08
1.06e-06,40.783157199089,6.9718798179075e-08
1.07e-06,41.238031882197,7.0449374778292e-08
1.08e-06,41.681748387736,7.1142127910928e-08
1.09e-06,42.110983375869,7.1795854927892e-08
1.1e-06,42.523518052228,7.2412414064971e-08
1.11e-06,42.918410288617,7.2996563127425e-08
1.12e-06,43.296068898036,7.3555649127144e-08
1.13e-06,43.658224503219,7.4099020697105e-08
1.14e-06,44.007799342272,7.4637338531858e-08
1.15e-06,44.348686056833,7.5181666059354e-08
1.16e-06,44.685452422329,7.5742728644634e-08
1.17e-06,45.022994583559,7.632996618101e-08
1.18e-06,45.366165230953,7.6950899929873e-08
1.19e-06,45.719405005399,7.7610421811425e-08
1.2e-06,46.086405118921,7.8310512130475e-08
1.21e-06,46.469826755067,7.9049992163238e-08
1.22e-06,46.871098457431,7.9824697074571e-08
1.23e-06,47.290306764097,8.0627681697809e-08
1.24e-06,47.726188255884,8.1449876343509e-08
1.25e-06,48.176223497717,8.2280681268365e-08
1.26e-06,48.636825648874,8.3108912141139e-08
1.27e-06,49.103609382018,8.3923504201611e-08
1.28e-06,49.571719720086,8.4714542214481e-08
1.29e-06,50.036195926291,8.547397312153e-08
1.3e-06,50.492342998162,8.6196198345601e-08
1.31e-06,50.936082810261,8.6878580440874e-08
1.32e-06,51.364258552976,8.7521651481737e-08
1.33e-06,51.774869698266,8.8128998487758e-08
1.34e-06,52.167220010201,8.8707090284412e-08
1.35e-06,52.541967704022,8.9264771963027e-08
1.36e-06,52.901074241312,8.9812452197524e-08
1.37e-06,53.247655871656,9.0361459426092e-08
1.38e-06,53.585749318201,9.0923024997913e-08
1.39e-06,53.92000940863,9.1507480426412e-08
1.4e-06,54.255361496033,9.212336882225e-08
1.41e-06,54.596634822117,9.2776834548225e-08
1.42e-06,54.94820430665,9.3471028583814e-08
1.43e-06,55.31366751006,9.4205942990921e-08
1.44e-06,55.695580774998,9.4978329201467e-08
1.45e-06,56.095274021907,9.5781912790027e-08
1.46e-06,56.512757701588,9.6607889410461e-08
1.47e-06,56.946728449181,9.7445589153367e-08
1.48e-06,57.394672566037,9.8283226446227e-08
1.49e-06,57.853059137601,9.9108885820431e-08
1.5e-06,58.317607925515,9.991138200105e-08
1.51e-06,58.783611648394,1.0068111028216e-07
1.52e-06,59.246288296978,1.0141087036786e-07
1.53e-06,59.701137006009,1.0209637046898e-07
1.54e-06,60.144270877312,1.0273655037807e-07
1.55e-06,60.572702015685,1.0333379296679e-07
1.56e-06,60.984557751045,1.038936345843e-07
1.57e-06,61.379212288617,1.0442448666881e-07
1.58e-06,61.757324450205,1.0493685853596e-07
1.59e-06,62.120779255662,1.0544275891311e-07
1.6e-06,62.472538309062,1.0595469346342e-07
1.61e-06,62.816410756383,1.0648467951846e-07
1.62e-06,63.156762462422,1.0704351099955e-07
1.63e-06,63.498185577663,1.0763979163553e-07
1.64e-06,63.845153498977,1.082793377738e-07
1.65e-06,64.201687168216,1.089648357655e-07
1.66e-06,64.571057640072,1.096954700408e-07
1.67e-06,64.955546972508,1.1046722092622e-07
1.68e-06,65.356284976464,1.1127301818847e-07
1.69e-06,65.773173555511,1.1210331640754e-07
1.7e-06,66.204903714323,1.1294688867514e-07
1.71e-06,66.649063322378,1.1379169367887e-07
1.72e-06,67.102326913642,1.146257068152e-07
1.73e-06,67.560712694887,1.1543790928714e-07
1.74e-06,68.019886979826,1.1621912837656e-07
1.75e-06,68.475492829338,1.1696273038986e-07
1.76e-06,68.923478009306,1.1766504193211e-07
1.77e-06,69.36039759195,1.1832572061055e-07
1.78e-06,69.783668596743,1.1894770712839e-07
1.79e-06,70.191757826166,1.195369151441e-07
1.8e-06,70.584289206486,1.2010185357347e-07
1.81e-06,70.962063098006,1.2065291510321e-07
1.82e-06,71.32698672319,1.2120149478489e-07
1.83e-06,71.68192156791,1.217591520386e-07
1.84e-06,72.030459835289,1.2233664259398e-07
1.85e-06,72.376647306737,1.2294312057293e-07
1.86e-06,72.724673898688,1.2358533213463e-07
1.87e-06,73.078555507461,1.2426717865832e-07
1.88e-06,73.441831244178,1.2498931151184e-07
1.89e-06,73.817298848861,1.2574910951413e-07
1.9e-06,74.206808047142,1.2654084768915e-07
1.91e-06,74.611127112627,1.2735618382109e-07
1.92e-06,75.029892270948,1.281847473722e-07
1.93e-06,75.461643259005,1.2901495072271e-07
1.94e-06,75.903941816183,1.2983493125063e-07
1.95e-06,76.353563628235,1.3063345916109e-07
1.96e-06,76.806748740089,1.3140082666396e-07
1.97e-06,77.259491112822,1.3212959759645e-07
1.98e-06,77.707845144233,1.328151689739e-07
1.99e-06,78.148225809813,1.3345631388884e-07
2e-06,78.577679690486,1.3405511578579e-07
2.01e-06,78.994106479991,1.3461697156991e-07
2.02e-06,79.396414423702,1.3515003671749e-07
2.03e-06,79.784598232356,1.3566488388239e-07
2.04e-06,80.159733947626,1.3617349048367e-07
2.05e-06,80.523891558775,1.3668845721959e-07
2.06e-06,80.879972400783,1.3722189995402e-07
2.07e-06,81.231484033504,1.3778480134619e-07
2.08e-06,81.582269982486,1.3838587764603e-07
2.09e-06,81.936215065567,1.3903108353475e-07
2.1e-06,82.296948788544,1.3972319490296e-07
2.11e-06,82.667569342232,1.4046137342127e-07
2.12e-06,83.050409075958,1.4124144898098e-07
2.13e-06,83.446859091918,1.4205607312689e-07
2.14e-06,83.857266051901,1.4289539462808e-07
2.15e-06,84.280908762715,1.4374764933933e-07
2.16e-06,84.716056031097,1.4460023256557e-07
2.17e-06,85.160101114627,1.4544049842247e-07
2.18e-06,85.609762308654,1.4625674937818e-07
2.19e-06,86.061334236486,1.4703925388382e-07
2.2e-06,86.510970623756,1.4778076762312e-07
2.21e-06,86.954977019571,1.4847723928124e-07
2.22e-06,87.390091246394,1.4912804580103e-07
2.23e-06,87.813730362824,1.4973602513457e-07
2.24e-06,88.224185526494,1.503073043807e-07
2.25e-06,88.620750145627,1.5085087490263e-07
2.26e-06,89.00377180001,1.5137766729012e-07
2.27e-06,89.374624206608,1.5189996904752e-07
2.28e-06,89.735601561723,1.524303784306e-07
2.29e-06,90.089743452102,1.529807607259e-07
2.3e-06,90.440603750047,1.5356155647073e-07
2.31e-06,90.791981100365,1.5418063203931e-07
