time,Fy,Jint,max_disp_y,max_psie,max_s1
0,0,0,0,0,0
5e-07,63.324557985416,-1.7465249861311e-11,4.167608033131e-05,1.1661223742262e-05,0.90488189532398
1e-06,112.00635528846,-9.9614794643837e-11,0.00010411138697713,2.1659615804146e-05,1.2127981822294
1.5e-06,99.273223741096,8.78039464866e-11,0.00015946634160492,2.0889603324557e-05,1.1962801457255
2e-06,97.739386125229,5.7474703165153e-12,0.00021726683670121,2.2868994529386e-05,1.2445228614427
2.5e-06,102.18214488532,2.4330364898359e-11,0.00027486483508866,2.3081297767703e-05,1.2363007836875
3e-06,98.682274037151,1.0616732963142e-09,0.00033159601717636,2.388189100286e-05,1.2597633014372
3.5e-06,100.27224091695,2.335017315158e-08,0.00038934252126445,2.3694059909853e-05,1.2579141034372
4e-06,100.27577370842,3.3262994316639e-07,0.00044637338106633,2.4836439925106e-05,1.2827581917615
4.5e-06,99.508779420112,3.1520777674067e-06,0.00050363545809234,2.4763632233253e-05,1.2785638338357
5e-06,100.28238397039,2.0155131386672e-05,0.00056102564502201,2.5375034292877e-05,1.2972183470992
5.5e-06,99.882414918196,8.7670099272111e-05,0.00061815041445308,2.6816216275427e-05,1.332039088299
6e-06,99.897980753289,0.00026096460709939,0.00067547327362694,6.9238088638124e-05,1.9869390912361
6.5e-06,100.08457252824,0.00053968308936148,0.00073273816339968,0.00015212162841999,2.7390283871133
7e-06,99.887626693002,0.00081672927670009,0.00078997389015501,0.00024988313976695,2.9954326208713
7.5e-06,99.990400290692,0.0010239815965671,0.0008473350934879,0.0003524717458915,3.028016575878
8e-06,99.983677942234,0.0012289634186497,0.00090483050105182,0.00044013707449869,2.9931962554302
8.5e-06,99.929350669805,0.0014557456877705,0.00096286806857872,0.00049110193455203,2.9571431360122
9e-06,99.97228224271,0.0016764068912654,0.0010223092032414,0.00051201161720413,2.9990395214145
9.5e-06,99.927170958287,0.0019037543274332,0.0010849759087072,0.00054973698904512,3.052380852241
1e-05,99.900460235297,0.0021252452814428,0.001154354893837,0.00063856248125267,3.0363672095593
1.05e-05,99.877858321912,0.0023417388208861,0.0012359401673256,0.00075790627305276,2.992564994111
1.1e-05,99.827963612732,0.0025567058473526,0.0013369010982829,0.00085620335323564,3.0135694040045
1.15e-05,99.821373922893,0.0027692886589338,0.0014641750718901,0.00089819125265287,3.0270063658075
1.2e-05,99.858017125019,0.0029877111809418,0.0016209795544995,0.00090673226372087,3.0244188298924
1.25e-05,99.964251291417,0.003214930595152,0.001803199726694,0.00093403631967486,3.0071035230047
1.3e-05,100.13602176638,0.0034509870760167,0.0019983899154671,0.00099656517175508,3.0281621996806
1.35e-05,100.28020158324,0.0036845642461954,0.0021898429596068,0.0010623519442939,3.0243823789875
1.4e-05,100.28679731012,0.0038986939294189,0.0023648324069557,0.0010992182621179,2.9946971747933
1.45e-05,100.09397205217,0.0040871278951749,0.0025217952442492,0.0011114237495292,3.0211627334138
1.5e-05,99.7928805016,0.0042761535314567,0.0026702632379321,0.0011149071504912,2.9719284412173
1.55e-05,99.600842128909,0.0045157820268367,0.0028225207082658,0.0011141310116354,2.9974199347562
1.575e-05,99.591759198857,0.0046681008225163,0.0029023503964037,0.0011116682166372,2.9715060348752
1.625e-05,99.746687294404,0.0050274500439314,0.0030672277100108,0.0011206992997954,2.9267287444475
1.675e-05,99.872469253517,0.0054271821168901,0.0032331413711481,0.0011449257605849,2.8745120081236
1.725e-05,99.772536345175,0.0058388720125621,0.0033957983950241,0.0011622182167554,2.8224147381987
1.775e-05,99.505121561374,0.0062635143957582,0.0035571426164682,0.0011763796323151,2.7984351709951
1.825e-05,99.27030093501,0.006697738030254,0.0037210500221374,0.0011753582677662,2.7950162198814
1.875e-05,99.089693990885,0.0071209271971401,0.0038880136399124,0.0011579275232473,2.8058891646766
1.925e-05,98.741090919992,0.007526486802353,0.0040561517874877,0.0011779298161007,2.8245529419754
1.975e-05,98.01736738679,0.0079262934574331,0.0042262380433233,0.0011645622496866,2.8426514262193
2.025e-05,96.918659747819,0.0083170169452441,0.0044030613397806,0.0011338472456694,2.8308735088934
2.075e-05,95.558873981992,0.0086860952430493,0.0045916952862625,0.0011054503212272,2.8111238842945
2.125e-05,94.057714561042,0.0090467132370901,0.0047947934934078,0.0010898872800844,2.7761049565555
2.175e-05,92.665025656809,0.0094247031693761,0.0050144133693679,0.0010851741702373,2.7609571234618
2.225e-05,91.900191174941,0.0098471711007365,0.0052542624445382,0.0010895748526944,2.7981609260935
2.275e-05,92.384886157633,0.010360849435864,0.0055178552732443,0.0011039361963949,2.8640331396425
2.3e-05,93.431076101467,0.010666179701743,0.0056588504389369,0.0011145852673156,2.8732389165609
2.35e-05,96.035148942406,0.011353912295756,0.0059550818247532,0.0011365521560007,2.9526450659223
2.4e-05,99.708345481952,0.012094371089321,0.0062628141972047,0.0011529369203406,2.921792697336
2.45e-05,103.00326520171,0.012795599894735,0.0065711693607619,0.0011642439850868,2.930053044952
2.5e-05,104.49983663145,0.013334570976163,0.0068705359479644,0.0011742278418276,2.9350095011163
2.55e-05,103.38048204533,0.013631419420824,0.0071562078623395,0.0011798748774514,2.9358642159184
2.6e-05,100.16971804005,0.013758150446804,0.0074308777505651,0.0011727807110637,2.9206931631068
2.65e-05,96.722204571934,0.013941225111385,0.007703680571965,0.0011484695494444,2.9499035245851
2.7e-05,95.16826879568,0.014421901367154,0.0079854774657823,0.001101854658832,2.8996384044147
2.75e-05,96.434207541817,0.015275298777812,0.0082893650645733,0.001034406334048,2.9597453487951
