time,Fx,disp_x,max_d
5.9e-05,9558.3869610595,0.96525,1
5.95e-05,9466.2540609524,0.9735,1
6e-05,9143.1213957705,0.98175,1
6.05e-05,9188.5471697682,0.99,1
6.1e-05,9469.263677685,0.99825,1
6.15e-05,9513.354793695,1.0065,1
6.2e-05,9251.6585784216,1.01475,1
6.25e-05,9095.185153119,1.023,1
6.3e-05,9207.1846167281,1.03125,1
6.35e-05,9191.1024326354,1.0395,1
6.4e-05,8921.4331965167,1.04775,1
6.45e-05,8730.2457612445,1.056,1
6.5e-05,8843.0829136158,1.06425,1
6.55e-05,8994.2123054472,1.0725,1
6.6e-05,8771.7239661494,1.08075,1
6.65e-05,8241.6768478955,1.089,1
6.7e-05,7734.9947818687,1.09725,1
6.75e-05,7381.6469278428,1.1055,1
6.8e-05,7047.0259176193,1.11375,1
6.85e-05,6645.7784631657,1.122,1
6.9e-05,6351.0634335369,1.13025,1
6.95e-05,6113.1349643646,1.1385,1
7e-05,5728.8095138439,1.14675,1
7.05e-05,5187.115239793,1.155,1
7.1e-05,4654.236432202,1.16325,1
7.15e-05,4184.8299998809,1.1715,1
7.2e-05,3631.8216022961,1.17975,1
7.25e-05,3088.4203141788,1.188,1
7.3e-05,2756.4437703645,1.19625,1
7.35e-05,2538.3181162924,1.2045,1
7.4e-05,2198.9187549979,1.21275,1
7.45e-05,1739.1938739698,1.221,1
7.5e-05,1408.8393118383,1.22925,1
7.55e-05,1262.6509015544,1.2375,1
7.6e-05,1106.1090130288,1.24575,1
7.65e-05,893.26685842185,1.254,1
7.7e-05,729.44147619863,1.26225,1
7.75e-05,746.98311804173,1.2705,1
7.8e-05,924.83381498595,1.27875,1
7.85e-05,1233.8798440512,1.287,1
7.9e-05,1711.6149453892,1.29525,1
7.95e-05,2251.2430107272,1.3035,1
8e-05,2775.0351687247,1.31175,1
8.05e-05,3288.3449589396,1.32,1
8.1e-05,3759.6110283702,1.32825,1
8.15e-05,4043.8918637868,1.3365,1
8.2e-05,4135.2354427643,1.34475,1
8.25e-05,4153.5741328555,1.353,1
8.3e-05,3943.2246324797,1.36125,1
8.35e-05,3420.7032100802,1.3695,1
8.4e-05,2953.7402061396,1.37775,1
8.45e-05,2769.0024489225,1.386,1
8.5e-05,2793.7114575353,1.39425,1
