time,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_d,max_disp_y,strain_energy
7.9375,-0.050234510994397,256.0162274967,-0.0008018316235824,2.1447659649896,0.02257967656245,1.9938171690643,1,0.0042296066546622,0.16190557605614
8.0625,-0.052503534533774,269.13829838025,-0.0011564850733644,2.2305843686767,0.023580304074921,2.0673244361285,1,0.0044182887770869,0.18430851951613
8.125,-0.054157798222526,279.88105133156,-0.0013861372482241,2.2769462931446,0.024115055373702,2.1218628690629,1,0.0045169754200516,0.19851115055462
8.25,-0.056108703803879,296.17372848351,-0.0020053220910405,2.3766190595097,0.025189924740773,2.1727547625317,1,0.0047190083464799,0.23092292130834
8.375,-0.05857610175921,314.7162812423,-0.0027666973789448,2.4822688029781,0.026347149412041,2.2392365584217,1,0.0049227930763672,0.2647661570345
8.5,-0.060978864212615,329.07242070056,-0.0035319318575766,2.5893575350506,0.027519529528921,2.3053045346059,1,0.0051225905608457,0.29445419746479
8.5625,-0.062559608806046,335.12788996268,-0.0038817769548611,2.6418562915173,0.028149069274209,2.356610032342,1,0.005219576879362,0.30631661869076
8.6875,-0.064375947192833,334.87690316096,-0.0044739645922287,2.7418029178847,0.029362670647453,2.4086028346066,1,0.0054052595616661,0.32333668556336
8.8125,-0.066474088581231,326.14304455209,-0.0048959504997511,2.8332195137198,0.030591943762874,2.480409379877,1,0.0055798930168032,0.33350478063616
8.9375,-0.06842295314826,310.09219551788,-0.0051656229418221,2.9164102840074,0.031831396434933,2.5523960584527,1,0.0057457457241839,0.34114425994138
9.0625,-0.070279994671682,292.36827185662,-0.0053818790278581,2.9940515677697,0.033040088883368,2.6229392653862,1,0.0059071864823838,0.34970236389547
9.1875,-0.072161119352809,279.57261605338,-0.0056664128174341,3.0701099639074,0.034194846030907,2.6924203691583,1,0.0060690980803491,0.36076176359641
9.3125,-0.07413622051401,276.41733664735,-0.0060665058276358,3.1486708236388,0.035411198558398,2.7620608832237,1,0.006234933075435,0.37484425273825
9.375,-0.075564475265309,279.39149546219,-0.0063026069121091,3.1897812712674,0.036040235641383,2.8152295425557,1,0.0063197490286468,0.38332515750405
9.5,-0.077199403441411,289.53683771497,-0.0067822718347621,3.2769804146739,0.037306671638097,2.8667416072068,1,0.0064918922753558,0.40292619231987
9.625,-0.07919778037621,302.09025727686,-0.0072375946447398,3.3690783466842,0.038562167398476,2.9354342058797,1,0.0066646385212245,0.42455238090368
9.75,-0.081146865665215,310.01554585115,-0.0076487278410884,3.4627400929397,0.039891866117999,3.0034026323255,1,0.0068344766422541,0.44574912419949
9.875,-0.083082660133124,310.02932219449,-0.0080302609183506,3.554574699606,0.041260310171926,3.0710972423906,1,0.0069994835766718,0.46503328796225
9.9375,-0.084473251586523,306.55033879921,-0.0082245637134491,3.5993057161477,0.04197528673656,3.1225255335105,1,0.0070801497773622,0.47398789696311
10.0625,-0.086151835541648,299.72879359035,-0.0087006451619734,3.68641182416,0.043342795780264,3.1725374743869,1,0.0072396823668091,0.49168053034897
10.125,-0.087702619964413,295.20524971535,-0.0090052276357872,3.7293730642284,0.044034229201016,3.2237781190756,1,0.0073191419981286,0.50064664981799
10.25,-0.08978004376423,293.47439114632,-0.0098047392989642,3.8156315806909,0.04535198114119,3.2739258467093,1,0.0074796331037985,0.5190627685342
10.375,-0.092611024249635,295.79004106094,-0.010840976074436,3.9036164672693,0.046657734259377,3.3420367586335,1,0.0076429712590844,0.53797687064769
10.4375,-0.094622938145225,298.83363785315,-0.011430746265589,3.9483081699327,0.047339011989057,3.3943384013311,1,0.00772571067017,0.54734980031065
10.5625,-0.09735817603941,301.9738186059,-0.012679098289236,4.0384469028549,0.048688463974907,3.4460901619186,1,0.007892353821962,0.56481389060284
10.6875,-0.10074771987105,302.72668160086,-0.013977872609547,4.1282426384357,0.050029729494534,3.5172897966812,1,0.0080596400885142,0.57982922912644
10.8125,-0.10428454899689,300.97674877988,-0.015305612849772,4.2170163331274,0.051378381804638,3.591029943472,1,0.0082269305208082,0.59138763161305
10.9375,-0.10793707545837,299.27000910782,-0.016629201920528,4.3051583908834,0.052757788800503,3.6682769441577,1,0.0083941511600216,0.59888609191141
11.0625,-0.11157816504265,299.34625130537,-0.01780904474129,4.3934321237844,0.05419045702437,3.7500512629196,1,0.008561337971204,0.60147419880537
11.1875,-0.11492113717757,300.72254706239,-0.018539184706877,4.4821220552479,0.055652388331376,3.8370608062466,1,0.0087283340252083,0.59849130733938
11.3125,-0.11757651327394,301.74031580007,-0.018418744932826,4.5708772929023,0.057138906138407,3.9295903959027,1,0.0088949270942803,0.59007249260147
11.4375,-0.11922217694169,301.53828271752,-0.017138831648998,4.6592446812551,0.058679663909254,4.0264874831495,1,0.0090611316655992,0.5777273484292
11.5625,-0.1197495820205,300.72577007973,-0.014635114686165,4.7471629493343,0.060278492996113,4.1257058233938,1,0.0092272215789965,0.56410732478451
11.6875,-0.11928407283291,300.34440378626,-0.011096613541723,4.8349053527841,0.061893325424383,4.2245730694759,1,0.0093935012548954,0.55200366609017
11.8125,-0.11814648116225,300.64964809474,-0.0069018410868807,4.9226836308639,0.063535581712546,4.3211043053156,1,0.0095601318607329,0.54271987813966
11.9375,-0.11687266035467,301.07297153184,-0.0026108314064983,5.0104299680511,0.065184743959466,4.4151263464301,1,0.0097272176702237,0.53527608751281
12,-0.11714266883626,301.17163908251,-0.00062356923600451,5.0542294103601,0.066062763677771,4.4856099711079,1,0.0098109801414396,0.5314966048035
12.125,-0.11643513452856,300.94726178886,0.0023371370884525,5.1415915616902,0.067773199590824,4.5553328890002,1,0.0099792655969679,0.52210694812324
12.1875,-0.11792993845719,300.73806866035,0.0031465729978062,5.1851714536234,0.068672912339159,4.6277591251445,1,0.010063876403202,0.51609791489783
12.3125,-0.12040644507036,300.65287303344,0.0030196021209098,5.2722266384909,0.070432406849357,4.7010210750447,1,0.010234318477941,0.50155767864784
12.4375,-0.12598355866337,300.76499500308,0.00065687427831391,5.3592033119866,0.07220331749619,4.8012084359952,1,0.010408911757291,0.48558666460539
12.5625,-0.13309883307328,300.88774271488,-0.0032001924815094,5.4460621482032,0.074002989223118,4.901636296216,1,0.010599533637723,0.47034793994841
12.6875,-0.14033222191867,300.81416398617,-0.0071843749056081,5.5327139813157,0.075786431308183,5.0008040268766,1,0.010788621953441,0.45636680069256
12.8125,-0.14611321928416,300.53016643608,-0.0097473443492124,5.6191158026125,0.077589887835848,5.0990366089371,1,0.010976271110625,0.44264035374111
12.9375,-0.14939167252018,300.11287401813,-0.0098285178798879,5.705291400693,0.079456457698409,5.1973203364632,1,0.011163961424685,0.42849001329141
13.0625,-0.15018419754428,299.61385499568,-0.007425354890395,5.7913068094186,0.081276475607038,5.2955342250977,1,0.01135039251923,0.41465443469214
13.1875,-0.14966063299302,299.06029407726,-0.0036915521531978,5.8772414018525,0.083100652422171,5.3930521896522,1,0.011534955891597,0.40191161661178
13.25,-0.15021888737916,298.68166504227,-0.0018110652692018,5.9202065623675,0.084052110696495,5.4663305527589,1,0.011626637643301,0.39595283369956
13.375,-0.15025549712806,298.12140833595,0.00061114712570802,6.006149253858,0.085903839032505,5.5375739230528,1,0.011809177593128,0.38466666042366
13.5,-0.15345712202574,297.23726479127,0.00077974999411866,6.0921329820854,0.08776367795027,5.633149739643,1,0.011990895661535,0.37385638110802
13.625,-0.15854604480204,295.83094971138,-0.00083457382149583,6.1781377443248,0.089613055887457,5.7288075896867,1,0.012174261374491,0.36348486162838
13.75,-0.16407611335025,293.64157894372,-0.0028032490363368,6.2641600370411,0.09153798288129,5.8244679752206,1,0.012358468604619,0.35353850684395
13.875,-0.16859387215651,290.53629378174,-0.0037037714546616,6.3502787454451,0.093431720165025,5.9204961484683,1,0.012545179846938,0.34422858473154
13.9375,-0.17115889562842,288.08521611504,-0.0035208734315073,6.3934735764721,0.094433704812015,5.9936683659617,1,0.012639079253733,0.33976993551135
14.0625,-0.17263738440192,284.10686844481,-0.0022685512070555,6.4801176220689,0.096385569765448,6.0659847827988,1,0.012829661059417,0.33156085348419
14.1875,-0.174776710122,278.68027266946,-0.00070067906686204,6.5675387833236,0.098378186688908,6.1644033837782,1,0.013025032461299,0.32446847405787
14.3125,-0.17768197049465,272.51476899259,0.00025804765406404,6.6561857811258,0.10036203149468,6.2648714236689,1,0.013236995859301,0.31866035422816
14.4375,-0.18175837597315,265.97723501926,0.00038244850067866,6.7466483344176,0.10235969235148,6.3679673091481,1,0.013456487911044,0.31423302443235
14.5625,-0.18682601708886,259.66076174176,7.5640556580119e-05,6.839673413725,0.10442886586187,6.474803093421,1,0.013686059099821,0.31122266835292
14.6875,-0.19258537548581,254.39835846988,-0.00017589182346408,6.936216823047,0.10650795089327,6.585954093909,1,0.013929188821101,0.30992007742495
14.8125,-0.19896105557958,251.24932498227,-0.00023258004264687,7.0375224745411,0.10861362575486,6.7021628142621,1,0.014189453838572,0.31077620975832
14.875,-0.20415165567888,250.55341168089,-0.00023144670240494,7.0903879719284,0.10971208819248,6.793183103595,1,0.01432688524096,0.31227093218369
15,-0.20983091554399,252.93275973955,-0.00038799970343756,7.2019112118102,0.11184813209106,6.8852744315588,1,0.014617772443352,0.3186872609822
15.125,-0.21775413014201,259.60615375208,-0.00081926119148456,7.3225806115622,0.11398223334596,7.0107876036617,1,0.014929720584269,0.33092065891933
15.1875,-0.22366982521638,266.09550368811,-0.0011303945611836,7.3865878534862,0.11507512285557,7.1059940684434,1,0.015093176245985,0.33968711562202
15.3125,-0.22956497151975,277.8789025808,-0.0017899872313075,7.5236086641435,0.11713835466941,7.1990188638405,1,0.015432036969248,0.36234295163779
15.4375,-0.23677807519631,293.63585524741,-0.0024081770861542,7.6713698202227,0.11916497311039,7.321465950327,1,0.015782654114914,0.3903465454447
15.5625,-0.24339536717019,309.40674471916,-0.0029698002552837,7.827584902588,0.12113121416448,7.4424782426035,1,0.016138826356419,0.41978799600379
15.6875,-0.2495861789115,322.01179357444,-0.0035720743988434,7.9880478550971,0.12306597182398,7.5631932874119,1,0.016494134231239,0.44570408766703
15.75,-0.25393822717808,327.69652112177,-0.0039200872069254,8.0682431368118,0.12406564401713,7.6562354459285,1,0.01666983499258,0.45608638560802
15.875,-0.25849774748125,328.7739295917,-0.0047193336768168,8.2253533766965,0.12597301086984,7.7492935972843,1,0.01701379461968,0.47055788988998
16,-0.26421823446806,323.19873993656,-0.0055220598619247,8.3749770522757,0.12785420965196,7.8772756439564,1,0.017346375207152,0.47809659605943
16.125,-0.26972579797074,311.09847591421,-0.006161616371239,8.5156169703367,0.12974369736035,8.0065563479925,1,0.017667806975898,0.4819772411681
16.1875,-0.27365947106641,301.32475186648,-0.0063966712188772,8.5830308398973,0.13072282425971,8.1042019702726,1,0.017824920929945,0.48370998149275
16.3125,-0.27787718575182,289.03162931398,-0.0067618361414224,8.7128976662388,0.13260775410963,8.1992462780195,1,0.018135408954056,0.48860342643977
16.4375,-0.28359223360701,279.01451428038,-0.0070688612226114,8.8404106057133,0.13447843592569,8.3265961254561,1,0.018444648075629,0.49640285586895
16.5625,-0.28955358030091,276.47080130476,-0.0073790485253691,8.9700734434544,0.13631655575626,8.4540581226256,1,0.018756626911131,0.50766001971672
16.6875,-0.2955106399939,281.44604780009,-0.0077397767175472,9.1055282584212,0.13814626339787,8.5813065436893,1,0.019073063066831,0.52290503553795
16.8125,-0.30109446773975,290.96873733952,-0.0082141546095517,9.2481290478715,0.1399330064462,8.7079455831715,1,0.019392758927304,0.54164572284226
16.9375,-0.30597038499256,300.42905120235,-0.0088123215457647,9.3963951168041,0.14168755422502,8.8335709309561,1,0.019712346766953,0.56222415201846
17.0625,-0.31003036030578,305.82546127494,-0.0094695700606937,9.5469246621628,0.1434374717179,8.9585198450417,1,0.020028049437422,0.58272161684742
17.125,-0.31254734612173,306.6837900217,-0.0098063094141678,9.6219875080023,0.14432038787525,9.0529731849866,1,0.0201836278384,0.59260219596155
17.25,-0.31540323263755,303.75764180307,-0.010637794075135,9.7699329330111,0.14602772798169,9.1457088281283,1,0.020489904982908,0.611533102002
17.3125,-0.31811469768435,300.54319969651,-0.011200394145943,9.8428626386441,0.14692393852676,9.240121179952,1,0.02064090817863,0.62083768669187
17.4375,-0.32242581315456,296.63287418557,-0.012863085641996,9.9869966847418,0.14860724722126,9.3331578026436,1,0.020941211266876,0.63915978009632
17.5,-0.32651998109198,294.6686833611,-0.013982408042211,10.058807609514,0.14946224354953,9.4284022302219,1,0.02109120583138,0.64859841983335
17.625,-0.33279042072104,295.13247225387,-0.016653199123712,10.203334986589,0.15110944918504,9.5215788622466,1,0.021393493598524,0.66702595530773
17.75,-0.34111954057667,297.91304158717,-0.019713155110211,10.349903839866,0.15274905965892,9.6485855192896,1,0.021700208428657,0.68495591566598
17.8125,-0.34696159946018,300.33756231332,-0.021337944478322,10.4238943159,0.15358731464261,9.7463924685503,1,0.021855490450999,0.6932964880259
17.9375,-0.35471964931355,302.64369806897,-0.024714443590668,10.57271877235,0.15520354712393,9.8430688746727,1,0.022169794078,0.70777124723439
18.0625,-0.36413270138052,303.5357058846,-0.028157092143209,10.721344956428,0.15684521741052,9.9753414735631,1,0.022488749069209,0.71849291940194
18.1875,-0.37349591862861,302.86075843586,-0.03138410750958,10.868996368885,0.15846521442734,10.112470155604,1,0.022812127572364,0.72428012945577
18.4375,-0.38644274367026,302.08686861787,-0.034671953426446,11.162372657012,0.16148406542327,10.323831093509,1,0.023472268818389,0.72051657773967
18.5625,-0.39574078005753,302.50757021557,-0.03380675055786,11.308787135377,0.1630291610121,10.549706640864,1,0.023808997285911,0.71192736266672
18.625,-0.39968251855345,303.17201029329,-0.03245347681694,11.382006429709,0.1638264376293,10.66579652103,1,0.023978960533013,0.70652771444113
18.75,-0.40024269781466,303.74790379575,-0.027590361093774,11.528259255491,0.16543604810221,10.781364177881,1,0.024321786314331,0.69438091116081
18.875,-0.40007139589677,303.680099967,-0.020005063724844,11.673812051595,0.16710048845797,10.935947605592,1,0.0246682759941,0.68292391007218
19.125,-0.39338758343746,302.58819837315,-0.0017238271291042,11.962333245146,0.17006805754585,11.161371323332,1,0.02537139175942,0.66347151566207
19.25,-0.39682667448669,301.84275538285,0.0068304446027193,12.105619391376,0.17151577657687,11.390820237207,1,0.025727660395063,0.65377982988769
19.375,-0.3995057436293,301.61596353188,0.012380244429797,12.248477860842,0.17291549661872,11.543537015574,1,0.026086344987967,0.64157054518439
19.625,-0.41360310816941,301.19490911442,0.010643021699785,12.5328921229,0.17553466455644,11.774418697194,1,0.026806671306707,0.60741343988127
19.875,-0.44483025625681,300.20180547291,-0.0041717878868184,12.815621330779,0.17804618091418,12.092063310237,1,0.027526160504132,0.56964422361602
20.125,-0.4755242619615,298.96087540158,-0.018929867996816,13.097222883418,0.18046176621513,12.40881553743,1,0.02824009171273,0.53588885425544
20.25,-0.49013284627267,298.17985859012,-0.021866494845119,13.237869551027,0.18172228180113,12.647789713296,1,0.028594091406325,0.51958169463836
20.5,-0.49472416753911,296.90528458173,-0.015310204994569,13.518978791121,0.18414269592036,12.880754514912,1,0.029295480833339,0.48783057565234
20.625,-0.49805185214699,295.65189594855,-0.0074340551948675,13.659613180025,0.18537442074915,13.118444921669,1,0.029643201929053,0.47405355174513
20.875,-0.49816250096015,293.00284879087,0.0037649959028478,13.940871564239,0.18784251908867,13.349417478617,1,0.030338484753742,0.45006379848241
21.125,-0.51495495407224,288.22264913444,0.0024996592760207,14.222552744947,0.19036081371862,13.659115907918,1,0.03104409202298,0.43043047008551
21.25,-0.53180057085439,284.00233748225,-0.0023839137381855,14.363932647895,0.1916485644777,13.896675760179,1,0.031405073545217,0.42268913387484
21.5,-0.5500764869038,276.68799308219,-0.00874096075285,14.647738535052,0.19419938463945,14.131051132344,1,0.032156323315288,0.41133034669351
21.75,-0.5638015969889,267.95240079998,-0.0062737122193447,14.936842647547,0.19670030199546,14.453630260395,1,0.032977955629312,0.40565111293855
21.8125,-0.57234933298119,264.05957155218,-0.0043746679960906,15.010689530436,0.19734418495686,14.666506735189,1,0.033189449695591,0.40533119134194
21.9375,-0.57554590722517,261.62269455738,-0.0010658063816513,15.160740621806,0.19862648301968,14.794152121004,1,0.033609586850826,0.40494261460755
22.1875,-0.58765453909635,261.10887266436,0.00043470911743256,15.475898919645,0.20103375337138,15.052777478913,1,0.034500265713783,0.41152055497551
22.4375,-0.60983533600698,268.05745280248,-0.0029999672941746,15.819806247757,0.20332345907046,15.41390529128,1,0.035470273219904,0.43159543906956
22.6875,-0.63120383955765,283.6197143533,-0.0060181503217607,16.199918215861,0.20559100153699,15.779500734935,1,0.036492281302151,0.46861096224792
22.9375,-0.64868029120954,303.03946501909,-0.0064826256710614,16.613357865065,0.20784186115143,16.143686554911,1,0.03754267101565,0.51433608796434
23.1875,-0.66446222204405,317.50798053308,-0.0066944913693757,17.042731679737,0.21010358966821,16.508192462293,1,0.038591236838484,0.54970117282735
23.4375,-0.68049585940006,319.04060835421,-0.0082806153267514,17.463379565721,0.21224033957852,16.881381714725,1,0.03961265127536,0.56441327264083
