time,x,y,crack_length,vel_direct,vel_filtered
3.125,50.187,0.030473,0.0,0.0,0.0
3.375,50.437,0.030808,0.2500002244498992,1.0000008977995969,1.000000897799739
3.625,50.687,0.033294,0.5000125845363558,1.0000494403458262,1.0000494403458262
3.875,50.937,0.033714,0.7500129373361069,1.0000014111990043,1.0000014111990043
4.125,51.187,0.032753,1.0000147843712837,1.0000073881407077,1.0000073881407077
4.375,51.437,0.032302,1.2500151911729527,1.000001627206676,1.000001627206676
4.625,51.687,0.034668,1.500026386834267,1.0000447826452574,1.0000447826452574
4.75,51.812,0.03956,1.6251220768639398,1.000765520237383,1.000765520237383
4.875,51.937,0.043822,1.750194714335131,1.000581099769529,1.000581099769529
5.0,52.125,0.0027247,1.9426342842455082,1.5395165592830165,1.5395165592830165
5.125,52.25,0.015639,2.0682996300831338,1.0053227667010034,1.0053227667010034
5.25,52.375,0.023668,2.193557224028571,1.0020607515634967,1.0020607515634967
5.375,52.5,0.028184,2.318638774450686,1.0006524033769169,1.0006524033769169
5.5,52.625,0.036998,2.443949135538666,1.0024828887038422,1.0024828887038422
5.625,52.75,0.05257,2.5699153499931775,1.0077297156360925,1.0077297156360925
5.875,53.027,0.062614,2.847097387535296,1.1087281501684751,1.1087281501684751
6.0,53.16,0.062603,2.980097387990179,1.0640000036390622,1.0640000036390622
6.25,53.462,0.062595,3.2820973880961457,1.2080000004238678,1.2080000004238678
6.5,53.749,0.034204,3.5704982356694486,1.1536033902932112,1.1536033902932112
6.625,53.874,0.057701,3.697687500188904,1.0175141161556434,1.0175141161556434
6.875,54.193,0.062597,4.016725069788468,1.276150278398259,1.276150278398259
7.0,54.342,0.062591,4.165725069909275,1.1920000009664504,1.1920000009664504
7.25,54.717,0.062589,4.5407250699146084,1.5000000000213334,1.5000000000213334
7.375,54.892,0.062563,4.715725071846041,1.4000000154514625,1.4000000154514625
7.5,55.086,0.062541,4.909725073093459,1.5520000099793454,1.5520000099793454
7.5625,55.187,0.062546,5.010725073217221,1.6160000019801835,1.6160000019801835
7.8125,55.605,0.062533,5.428725073419373,1.6720000008086096,1.6720000008086096
7.9375,55.823,0.06254,5.646725073531762,1.7440000008991108,1.7440000008991108
8.0625,56.04,0.062538,5.863725073540977,1.7360000000737228,1.7360000000737228
8.125,56.153,0.062538,5.976725073540977,1.8079999999999927,1.8079999999999927
8.375,56.607,0.062539,6.430725073542079,1.8160000000044079,1.8160000000044079
8.5,56.829,0.062536,6.65272507356235,1.7760000001621725,1.7760000001621725
8.5625,56.933,0.062531,6.756725073682542,1.6640000019230643,1.6640000019230643
8.8125,57.267,0.12509,7.09653329677463,1.3592328923683512,1.3592328923683512
8.9375,57.423,0.25017,7.296485807136465,1.5996200828946778,1.5996200828946783
9.0625,57.614,0.37522,7.524780578211052,1.8263581685966988,1.826358168596699
9.1875,57.804,0.50024,7.752222879465682,1.8195384100370395,1.8195384100370398
9.3125,57.973,0.56266,7.932381854818005,1.441271802818585,1.441271802818585
9.375,58.063,0.62515,8.041949186171838,1.7530773016613257,1.7530773016613257
9.625,58.349,0.87519,8.42183864588347,1.5195578388465336,1.5195578388465338
9.75,58.482,1.0002,8.604366726188942,1.460224642443773,1.4602246424437737
9.875,58.62,1.1252,8.790562859338907,1.4895690651997195,1.4895690651997195
9.9375,58.691,1.1877,8.885152763662786,1.5134384691820755,1.5134384691820755
10.125,58.888,1.3752,9.157118294566978,1.4504828314890166,1.4504828314890166
10.375,59.141,1.6253,9.512869626258091,1.4230053267644505,1.4230053267644511
10.438,59.202,1.6878,9.600203754753199,1.38625600785884,1.38625600785884
10.688,59.446,1.9378,9.94954026873363,1.3973460559217241,1.3973460559217241
10.812,59.571,2.0628,10.126316964030266,1.4256185104567642,1.4256185104567656
10.938,59.696,2.1878,10.303093659326903,1.4029896452113904,1.4029896452113904
11.062,59.824,2.3128,10.482004251523117,1.4428273564210958,1.4428273564210958
11.188,59.945,2.4378,10.655975513517737,1.3807243015445858,1.3807243015445858
11.312,60.072,2.5628,10.83417203424696,1.437068715558269,1.437068715558269
11.438,60.2,2.6878,11.013082626443174,1.4199253348905745,1.4199253348905745
11.562,60.334,2.8128,11.196333820163707,1.477832207423663,1.477832207423663
11.688,60.461,3.0004,11.42287909157761,1.797978344554764,1.7979783445547668
11.812,60.603,3.1254,11.612058900225364,1.5256436181270643,1.5256436181270643
11.938,60.742,3.2504,11.798997392783741,1.4836388298283842,1.4836388298283842
12.0,60.815,3.3128,11.895032594663054,1.548954869021166,1.548954869021166
12.188,61.024,3.5629,12.220963584291228,1.7336754767456035,1.7336754767456035
12.438,61.323,3.8754,12.653464740359047,1.7300046242712748,1.7300046242712748
12.562,61.453,4.0629,12.881623128326705,1.839986999739201,1.839986999739204
12.688,61.598,4.1879,13.073065025517469,1.519380136434616,1.519380136434616
12.812,61.745,4.3129,13.266026161500857,1.5561381934144345,1.5561381934144345
12.938,61.889,4.5004,13.502441579779788,1.8763128434835556,1.8763128434835556
13.062,62.024,4.6254,13.686425274709528,1.4837394752398496,1.4837394752398496
13.188,62.171,4.813,13.92475857074682,1.8915340955340452,1.8915340955340452
13.25,62.251,4.8754,14.02621673946674,1.6364220761277584,1.6364220761277584
13.5,62.537,5.1879,14.449834786768788,1.6944721892081949,1.6944721892081949
13.625,62.678,5.3755,14.684514909489055,1.8774409817621331,1.8774409817621673
13.75,62.814,5.563,14.916144462871175,1.8530364270569666,1.8530364270569666
13.875,62.963,5.688,15.110633537114435,1.5559125939460794,1.5559125939460794
13.938,63.04,5.7505,15.209806366054622,1.574171887939471,1.574171887939471
14.188,63.343,6.1255,15.691920460434783,1.9284563775206434,1.9284563775206462
14.312,63.504,6.2505,15.895748819600033,1.643777090042355,1.643777090042355
14.438,63.649,6.438,16.13277466207296,1.8811574799438484,1.8811574799438484
14.562,63.795,6.6256,16.370492477980815,1.9170791605472304,1.9170791605472304
14.688,63.949,6.8131,16.6131285222941,1.9256828913752668,1.9256828913752668
14.812,64.102,6.938,16.81063550951228,1.592798284017582,1.592798284017582
14.875,64.179,7.0005,16.909808338452468,1.574171887939471,1.574171887939471
15.125,64.494,7.313,17.353521365081164,1.774852106514787,1.774852106514787
15.188,64.562,7.4058,17.46856848586217,1.8261447743016928,1.8261447743016928
15.438,64.816,7.7505,17.896743788746402,1.7127012115369202,1.7127012115369202
15.562,64.941,7.8755,18.07352048404304,1.4256185104567631,1.425618510456768
15.688,65.062,8.1005,18.328992596023976,2.02755644429311,2.02755644429311
15.75,65.135,8.1881,18.44302224129222,1.839187826907148,1.839187826907148
16.0,65.405,8.5006,18.8560068051684,1.6519382555047164,1.6519382555047164
16.125,65.531,8.6881,19.081909992396913,1.8072254978281146,1.8072254978281146
16.188,65.601,8.7506,19.175751614292526,1.489549553898634,1.489549553898634
16.438,65.853,9.0631,19.577199307024713,1.605790770928754,1.605790770928754
16.562,65.996,9.1881,19.767130873648064,1.5317061824463456,1.5317061824463456
16.688,66.128,9.3756,19.996434711383067,1.8198717280556256,1.8198717280556256
