time,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_d,max_disp_y,strain_energy
15,-0.0015697262184369,22.243768780329,-0.00012980095927573,0.047031548801365,0,0.040016016354024,0,0.0012201150133705,0.0073525127283794
15.25,-0.0016807342821973,22.329183065007,-0.00015107402175762,0.048456138914671,0,0.041259343194856,0,0.0012691729355627,0.0077052064027673
15.5,-0.0017487834799654,22.882562064704,-0.00012085044084787,0.050029649863151,0,0.042547042522651,0,0.0013226229517228,0.0081594220575752
15.75,-0.0017860981818701,23.899521492385,-5.588597689797e-05,0.051762380005884,0,0.043829539562518,0,0.0013798457024855,0.0087331517284389
16,-0.0018247348787387,25.143527621295,5.0551989987956e-06,0.053627194869365,0,0.045074043842799,0,0.001439438982603,0.0093786685066705
16.25,-0.0018850631477804,26.198576770739,3.548803582213e-05,0.05555151461172,0,0.046298310618771,0,0.001499403888915,0.0099960955351231
16.5,-0.0019650526931425,26.652896438851,3.5100984805113e-05,0.057440954222298,0,0.04753878819464,0,0.0015576904025725,0.010513464949569
16.75,-0.0020573411554122,26.30535055122,1.4185521515926e-05,0.059223546658032,0,0.048795049792917,0,0.0016129473481258,0.010950249786422
17,-0.0021627876344028,25.317210096673,-2.1656680783596e-05,0.060883668611086,0,0.050020667857525,0,0.0016651182693258,0.011390716634276
17.25,-0.0022796396485521,24.206611255214,-6.4135331599505e-05,0.062464315337183,0,0.051184984691337,0,0.0017154880615973,0.011887649655045
17.5,-0.0023891360332574,23.605455605233,-9.0556265036414e-05,0.064043087260511,0,0.052320037589614,0,0.0017660445658387,0.012431179296971
17.75,-0.0024671101320531,23.87504689741,-7.6541614691461e-05,0.065695709191559,0,0.05347679979848,0,0.0018184739544288,0.01299970845549
18,-0.0025145269227671,24.844962402645,-2.5464405008428e-05,0.067453323795856,0,0.054671877270499,0,0.0018734112313017,0.01356857880932
18.25,-0.0025681784718593,25.897870555689,2.4191859236167e-05,0.069275516953259,0,0.05591103838923,0,0.0019304209608409,0.014071299785695
18.5,-0.0026702647806648,26.382799538671,3.1762048181251e-05,0.071074663860219,0,0.057220740667651,0,0.0019886500078558,0.014431696855663
18.75,-0.0028242217811229,26.076073585553,-3.1182277923122e-06,0.07278159480489,0,0.058615274336728,0,0.002047590403813,0.0146444522161
19,-0.0029848357415377,25.329850717069,-3.4582226449826e-05,0.074390687504504,0,0.060069575360593,0,0.0021073503736801,0.014771858448372
19.25,-0.0030965987745838,24.766105749544,-1.014348581843e-05,0.075949040104999,0,0.061546074129896,0,0.0021683008234896,0.014882531801042
19.5,-0.0031434852144211,24.757851709089,8.184032955075e-05,0.077511550113013,0,0.063015624927274,0,0.0022305188857245,0.015019898343774
19.75,-0.0031635662532844,25.146234046662,0.00020058128647006,0.079098647570486,0,0.064463603288353,0,0.0022935813558215,0.015179609069633
20,-0.003219244175664,25.439515355171,0.00028406502906341,0.080686848090576,0,0.065905763865969,0,0.0023568751044337,0.015311710955695
20.25,-0.0033519022053245,25.290333908209,0.00029321144159053,0.082240536149402,0,0.067369775637908,0,0.0024200921769807,0.015391155568179
20.5,-0.0035559016237794,24.787634064009,0.00023494943539538,0.08375114208887,0,0.068845886563794,0,0.002483445812683,0.015467974578713
20.75,-0.0037878568339469,24.300325087117,0.00015137796982166,0.085244315226889,0,0.070288308666733,0,0.0025474673202975,0.015616295285261
21,-0.0040000919623173,24.071747040861,8.804242760119e-05,0.086755961072783,0,0.07167226997278,0,0.0026126632049704,0.015854502758594
21.25,-0.0041696387128118,24.001987231734,6.8164972709867e-05,0.088305231132037,0,0.073028164976279,0,0.0026794068123864,0.016137138816469
21.5,-0.0043027021245657,23.820026116809,8.945426633464e-05,0.089889563650375,0,0.074410400260935,0,0.002748144526009,0.016421448626379
21.75,-0.0044216973330715,23.41526040363,0.00013532735341065,0.091503835935364,0,0.075846534250796,0,0.0028196844866155,0.016713111498496
22,-0.0045550661425391,22.956716559176,0.00018244772168704,0.093160488857558,0,0.077339068133482,0,0.0028975717666713,0.017031972365952
22.25,-0.004732988201382,22.709987540397,0.00020314845163631,0.094890184042057,0,0.0788992831786,0,0.0029754968809445,0.01737885100547
22.5,-0.0049734122732299,22.802276140076,0.00017796508029663,0.096725823328595,5.3246645472478e-09,0.080536706878165,0,0.0030604138845611,0.017764442107196
22.75,-0.0052572460255909,23.187688838101,0.00011966865812027,0.09868699449733,1.3699551808455e-08,0.082225478906436,0.0002914227843718,0.0031508102663406,0.018224210765533
23,-0.0055230389569123,23.777541931438,7.978137220782e-05,0.10077654083677,2.2523361157731e-08,0.083920123348321,0.00073599717727985,0.0032453397513376,0.018776068897931
23.25,-0.0057043170956638,24.51591448321,0.0001142577042726,0.1029832570111,3.1363647613577e-08,0.085597595112594,0.0011878459837212,0.0033426088673077,0.019392765092029
23.5,-0.0057868796353137,25.310111049268,0.00022910352502594,0.1052782287883,3.9661503405027e-08,0.087263160445759,0.0016252041127699,0.0034409139332123,0.020021340104145
23.75,-0.0058299637863848,25.954204989437,0.00036079220276855,0.10760878251057,4.6893178979079e-08,0.08893213818059,0.0020230674719941,0.0035384733392452,0.020607351922312
24,-0.0059230989022774,26.198788123697,0.00041985293050333,0.10990777154342,5.2843794532521e-08,0.090614096826402,0.0023606439455309,0.0036337795485244,0.021123357716547
24.25,-0.0061143010510344,25.926346257337,0.00036231329006635,0.11212101344064,5.7753428730569e-08,0.092292063941589,0.0026324661855488,0.0037260198266024,0.021600483342883
24.5,-0.0063739907925651,25.260643948725,0.00022491885048353,0.11423194314157,6.2217612234391e-08,0.093923864079969,0.0028529195783278,0.0038153807628131,0.022103039589183
24.75,-0.0066231268934031,24.517021429092,9.6013210103705e-05,0.11626554446439,6.6912771750805e-08,0.095489577122183,0.0030505152221327,0.0039030507283308,0.022659316251037
25,-0.0067950216173225,24.050627024672,5.2187203994764e-05,0.1182745867082,7.2983552086488e-08,0.097024356219034,0.0032555214330386,0.0039908601222121,0.023244166554216
25.25,-0.0068774898876771,24.101373315908,0.00011336742628607,0.12031848239434,8.4241949865831e-08,0.098585954121366,0.0034927599864922,0.0040806579670395,0.023821408314337
25.5,-0.0069092594254069,24.684770742117,0.00024324824234357,0.12243846304213,9.6676495117247e-08,0.1002059734752,0.0037909803484625,0.004173650081531,0.024367864687127
25.75,-0.0069458129601545,25.557852410658,0.0003822796081787,0.12463378208336,1.2086454526703e-07,0.10188624906034,0.0041146276831264,0.0042699814813944,0.024854266303505
26,-0.007026361879776,26.306309994456,0.00048317916632061,0.12685509148722,1.4814659887953e-07,0.10362527992185,0.0045176744665173,0.0043687774907833,0.025236162574572
26.25,-0.0071603205857504,26.556076552607,0.00052910083923575,0.12902911491649,1.7537351983915e-07,0.10542116438045,0.0049326113955778,0.0044686388275674,0.025492386811617
26.5,-0.0073308583906518,26.199589154221,0.00053316232123558,0.13110155115776,2.0438545518211e-07,0.10724923224405,0.005339551122933,0.0045683183383372,0.025659653982076
26.75,-0.0075034567529748,25.469488200017,0.00052947947194162,0.13306495546847,2.3749526767833e-07,0.10906792741387,0.0057655925600834,0.004667190769707,0.025800638490792
27,-0.0076385806850342,24.785412391092,0.00055804505159638,0.13495468735202,2.7544795971195e-07,0.11085823511813,0.0062427503671557,0.0047652785523959,0.025949948845707
27.25,-0.007713893830247,24.473771107476,0.0006404410415279,0.13682337856964,3.238837302553e-07,0.11263483014284,0.0067785796197087,0.0048629174532221,0.026111802560102
27.5,-0.0077488018623965,24.560558185916,0.00075515497453055,0.13871107870693,3.8887682176668e-07,0.11441419189375,0.0073904856341966,0.0049603888493161,0.026288208099011
