time,Fy,Jint,Jint_over_Gc,max_disp_y
0,0,0,0,0
5e-07,63.324563924413,2.7997644316257e-10,9.3325481054191e-08,4.1675815880851e-05
1e-06,112.0063568318,3.9576087043213e-10,1.3192029014404e-07,0.00010411079839193
1.5e-06,99.273225174148,-3.2474419526629e-10,-1.0824806508876e-07,0.00015946567300007
2e-06,97.739389859991,-3.1867574486373e-10,-1.0622524828791e-07,0.0002172662271622
2.5e-06,102.18216933283,-5.9579668022086e-11,-1.9859889340695e-08,0.00027486412651136
3e-06,98.682318038776,1.368082170499e-09,4.5602739016633e-07,0.00033159499040179
3.5e-06,100.27214337721,2.3549844481289e-08,7.8499481604297e-06,0.00038934145975988
4e-06,100.2756044163,3.3282989344874e-07,0.00011094329781625,0.00044637232618191
4.5e-06,99.50883000878,3.1526285634883e-06,0.0010508761878294,0.00050363384232585
5e-06,100.28241885242,2.0155504222161e-05,0.0067185014073869,0.00056102377986564
5.5e-06,99.882326366754,8.767129485392e-05,0.029223764951307,0.0006181489757853
6e-06,99.89798673914,0.00026096914418285,0.086989714727617,0.00067547143163698
6.5e-06,100.08455370735,0.00053969005106116,0.17989668368705,0.00073273608965745
7e-06,99.887863316055,0.00081673170292197,0.27224390097399,0.00078997230826771
7.5e-06,99.992290294648,0.0010239797198264,0.34132657327546,0.0008473343719887
8e-06,99.989652148997,0.0012289646619058,0.40965488730193,0.00090482983620749
8.5e-06,99.944370747181,0.0014557463533818,0.48524878446059,0.00096286635339768
9e-06,100.00716171121,0.0016764043140541,0.55880143801805,0.0010223062302876
9.5e-06,100.00192839868,0.0019037463520484,0.63458211734948,0.0010849722234463
1e-05,100.04572468404,0.0021252303887921,0.70841012959736,0.0011543509600059
1.05e-05,100.13070069778,0.0023418128038543,0.78060426795145,0.0012359361345801
1.1e-05,100.21770118019,0.0025574339687481,0.8524779895827,0.0013368969592245
1.15e-05,100.34471012349,0.0027725828702895,0.92419429009652,0.0014641707706555
1.2e-05,100.45372772594,0.0029977539379628,0.99925131265426,0.0016209750952924
1.25e-05,100.51243388957,0.0032373189415052,1.0791063138351,0.001803195006227
1.3e-05,100.50967702172,0.0034887367076341,1.162912235878,0.0019983843171562
1.35e-05,100.44394592675,0.0037343830538461,1.244794351282,0.0021898354322434
1.4e-05,100.37141604258,0.0039540677525563,1.3180225841854,0.0023648222584041
1.45e-05,100.34349472667,0.0041477985324707,1.3825995108236,0.002521782848851
1.5e-05,100.37137441483,0.0043539441578032,1.4513147192677,0.0026702497139163
1.55e-05,100.42324955444,0.0046282026923953,1.5427342307984,0.0028225066668502
1.6e-05,100.44571934242,0.0049911803033534,1.6637267677845,0.0029838128346372
1.65e-05,100.42117259514,0.0054043160822951,1.8014386940984,0.0031501370434199
1.7e-05,100.37395946799,0.0058141578206507,1.9380526068836,0.0033148818817883
1.75e-05,100.32373043489,0.0062155238481359,2.071841282712,0.0034764833210887
1.8e-05,100.24392312802,0.0066438477388589,2.214615912953,0.0036385399164602
1.85e-05,100.06135018499,0.0071078823028691,2.3692941009564,0.0038039583176934
1.9e-05,99.691100744156,0.0075632011457414,2.5210670485805,0.0039718265230693
1.95e-05,99.054012794651,0.0079599284339174,2.6533094779725,0.0041408552733752
2e-05,98.070174352136,0.0082930832243377,2.7643610747792,0.0043136686410475
2.05e-05,96.68501483136,0.0085966267502931,2.8655422500977,0.0044957772716251
2.1e-05,94.955442223044,0.0089026001173061,2.9675333724354,0.0046915040069426
2.15e-05,93.148777936238,0.0092130362508265,3.0710120836088,0.004903096291829
2.2e-05,91.769911714797,0.009532408448789,3.1774694829297,0.0051333306244355
2.25e-05,91.458277139618,0.0099324421665261,3.3108140555087,0.0053862634677935
2.3e-05,92.743222505428,0.010510044395236,3.5033481317454,0.0056639533892226
2.35e-05,95.703750609752,0.011267205171439,3.7557350571465,0.0059630253820599
2.4e-05,99.686025145555,0.012106778307892,4.0355927692973,0.00627480248975
2.45e-05,103.3307820814,0.012903226419151,4.3010754730503,0.0065883305043151
2.5e-05,105.09058674893,0.013522764761266,4.5075882537554,0.0068940665549637
2.55e-05,104.10533203153,0.013882568843238,4.6275229477461,0.0071873803056442
2.6e-05,100.9254398771,0.014069202578802,4.6897341929341,0.0074709744671949
2.65e-05,97.46102028748,0.014346337583326,4.7821125277752,0.0077542203453624
2.7e-05,95.92976963264,0.014979495917922,4.9931653059738,0.0080487188149118
2.75e-05,97.345443624874,0.016017530642458,5.3391768808194,0.0083719758255707
2.8e-05,100.66498071065,0.017218949894306,5.7396499647687,0.0087134333425228
2.85e-05,103.44758384962,0.018189004033437,6.0630013444789,0.0090542668655568
2.9e-05,103.72051619458,0.018669982996425,6.2233276654749,0.00941439323937
2.95e-05,101.57704350582,0.018789771016258,6.2632570054194,0.0097905414500861
3e-05,99.048313347857,0.019004158600609,6.3347195335364,0.010180273678947
3.05e-05,98.256641612171,0.019705162251342,6.5683874171139,0.010586505760909
3.1e-05,99.525886056099,0.020841066654199,6.9470222180663,0.011009307721351
3.15e-05,101.26363869571,0.02196124498995,7.3204149966501,0.011445371600622
3.2e-05,101.69477336432,0.02268493594672,7.5616453155733,0.011890894245701
