"bounds_dummy","d","disp_x","GlobalElementId","K","ObjectId","PedigreeElementId","ce","delta","psie_active","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0132,133,3.3333,0,133,15.144,4.1452,0.2,1,0.066,0.066,0,0
0,0,0.0134,135,3.3333,0,135,15.144,4.1452,0.2,1,0.067,0.067,0,0
0,0,0.0136,137,3.3333,0,137,15.144,4.1452,0.2,1,0.068,0.068,0,0
0,0,0.0138,139,3.3333,0,139,15.144,4.1452,0.2,1,0.069,0.069,0,0
0,0,0.014,141,3.3333,0,141,15.144,4.1452,0.2,1,0.07,0.07,0,0
0,0,0.0142,143,3.3333,0,143,15.144,4.1452,0.2,1,0.071,0.071,0,0
0,0,0.0144,145,3.3333,0,145,15.144,4.1452,0.2,1,0.072,0.072,0,0
0,0,0.0146,147,3.3333,0,147,15.144,4.1452,0.2,1,0.073,0.073,0,0
0,0,0.0148,149,3.3333,0,149,15.144,4.1452,0.2,1,0.074,0.074,0,0
0,0,0.015,151,3.3333,0,151,15.144,4.1452,0.2,1,0.075,0.075,0,0
0,0,0.0152,153,3.3333,0,153,15.144,4.1452,0.2,1,0.076,0.076,0,0
0,0,0.0154,155,3.3333,0,155,15.144,4.1452,0.2,1,0.077,0.077,0,0
0,0,0.0156,157,3.3333,0,157,15.144,4.1452,0.2,1,0.078,0.078,0,0
0,0,0.0158,159,3.3333,0,159,15.144,4.1452,0.2,1,0.079,0.079,0,0
0,0,0.016,161,3.3333,0,161,15.144,4.1452,0.2,1,0.08,0.08,0,0
0,0,0.0162,163,3.3333,0,163,15.144,4.1452,0.2,1,0.081,0.081,0,0
0,0,0.0164,165,3.3333,0,165,15.144,4.1452,0.2,1,0.082,0.082,0,0
0,0,0.0166,167,3.3333,0,167,15.144,4.1452,0.2,1,0.083,0.083,0,0
0,0,0.0168,169,3.3333,0,169,15.144,4.1452,0.2,1,0.084,0.084,0,0
0,0,0.017,171,3.3333,0,171,15.144,4.1452,0.2,1,0.085,0.085,0,0
0,0,0.0172,173,3.3333,0,173,15.144,4.1452,0.2,1,0.086,0.086,0,0
0,0,0.0174,175,3.3333,0,175,15.144,4.1452,0.2,1,0.087,0.087,0,0
0,0,0.0176,177,3.3333,0,177,15.144,4.1452,0.2,1,0.088,0.088,0,0
0,0,0.0178,179,3.3333,0,179,15.144,4.1452,0.2,1,0.089,0.089,0,0
0,0,0.018,181,3.3333,0,181,15.144,4.1452,0.2,1,0.09,0.09,0,0
0,0,0.0182,183,3.3333,0,183,15.144,4.1452,0.2,1,0.091,0.091,0,0
0,0,0.0184,185,3.3333,0,185,15.144,4.1452,0.2,1,0.092,0.092,0,0
0,0,0.0186,187,3.3333,0,187,15.144,4.1452,0.2,1,0.093,0.093,0,0
0,0,0.0188,189,3.3333,0,189,15.144,4.1452,0.2,1,0.094,0.094,0,0
0,0,0.019,191,3.3333,0,191,15.144,4.1452,0.2,1,0.095,0.095,0,0
0,0,0.0192,193,3.3333,0,193,15.144,4.1452,0.2,1,0.096,0.096,0,0
0,0,0.0194,195,3.3333,0,195,15.144,4.1452,0.2,1,0.097,0.097,0,0
0,0,0.0196,197,3.3333,0,197,15.144,4.1452,0.2,1,0.098,0.098,0,0
0,0,0.0198,199,3.3333,0,199,15.144,4.1452,0.2,1,0.099,0.099,0,0
0,0,0.02,201,3.3333,0,201,15.144,4.1452,0.2,1,0.1,0.1,0,0
0,0,0.0202,203,3.3333,0,203,15.144,4.1452,0.2,1,0.101,0.101,0,0
0,0,0.0204,205,3.3333,0,205,15.144,4.1452,0.2,1,0.102,0.102,0,0
0,0,0.0206,207,3.3333,0,207,15.144,4.1452,0.2,1,0.103,0.103,0,0
0,0,0.0208,209,3.3333,0,209,15.144,4.1452,0.2,1,0.104,0.104,0,0
0,0,0.021,211,3.3333,0,211,15.144,4.1452,0.2,1,0.105,0.105,0,0
