time,Fx,Fy
5.3740912483765e-05,2582.2013433542,0.84268698847961
5.3740914391113e-05,2582.2035996186,0.84268960715782
5.3740916298462e-05,2582.2058559583,0.8426922259505
5.3740918205811e-05,2582.208112373,0.84269484486038
5.3740920113159e-05,2582.2103688629,0.8426974638832
5.3740922020508e-05,2582.2126254277,0.84270008302088
5.3740923927856e-05,2582.2148820676,0.84270270227035
5.3740925835205e-05,2582.2171387827,0.84270532163182
5.3740927742554e-05,2582.2193955729,0.84270794110834
5.3740929649902e-05,2582.221652438,0.84271056069474
5.3740931557251e-05,2582.2239093782,0.84271318039688
5.37409334646e-05,2582.2261663934,0.84271580021525
5.3740935371948e-05,2582.2284234837,0.84271842014941
5.3740937279297e-05,2582.230680649,0.84272104017825
5.3740939186646e-05,2582.2329378893,0.84272366030833
5.3740941093994e-05,2582.2351952046,0.84272628055045
5.3740943001343e-05,2582.237452595,0.84272890090779
5.3740944908691e-05,2582.2397100603,0.84273152136629
5.374094681604e-05,2582.2419676005,0.84273414192805
5.3740948723389e-05,2582.2442252157,0.84273676260198
5.3740950630737e-05,2582.246482906,0.8427393833934
5.3740952538086e-05,2582.2487406712,0.84274200429884
5.3740954445435e-05,2582.2509985115,0.84274462530895
5.3740956352783e-05,2582.2532564268,0.84274724642955
5.3740958260132e-05,2582.2555144173,0.84274986765633
5.3740960167481e-05,2582.2577724828,0.842752488999
5.3740962074829e-05,2582.2600306236,0.84275511045632
5.3740963982178e-05,2582.2622888394,0.84275773203688
5.3740965889526e-05,2582.2645471304,0.84276035373463
5.3740967796875e-05,2582.2668054964,0.84276297554129
5.3740969704224e-05,2582.2690639373,0.84276559746088
5.3740971611572e-05,2582.2713224532,0.84276821949383
5.3740973518921e-05,2582.273581044,0.84277084164043
5.374097542627e-05,2582.2758397097,0.84277346390244
5.3740977333618e-05,2582.27809845,0.84277608627193
5.3740979240967e-05,2582.2803572653,0.84277870874489
5.3740981148316e-05,2582.2826161555,0.84278133132083
5.3740983055664e-05,2582.2848751207,0.84278395399532
5.3740984963013e-05,2582.2871341609,0.84278657677546
5.3740986870361e-05,2582.2893932761,0.84278919965746
5.374098877771e-05,2582.2916524662,0.84279182264797
5.3740990685059e-05,2582.2939117312,0.84279444575145
5.3740992592407e-05,2582.2961710711,0.84279706898155
5.3740994499756e-05,2582.2984304859,0.84279969233303
5.3740996407105e-05,2582.3006899757,0.84280231580592
5.3740998314453e-05,2582.3029495403,0.84280493939487
5.3741000221802e-05,2582.30520918,0.84280756309594
5.3741002129151e-05,2582.3074688946,0.8428101869016
5.3741004036499e-05,2582.3097286843,0.84281281081371
5.3741005943848e-05,2582.311988549,0.84281543483762
5.3741007851196e-05,2582.3142484888,0.84281805896775
5.3741009758545e-05,2582.3165085036,0.84282068319966
5.3741011665894e-05,2582.3187685933,0.842823307539
5.3741013573242e-05,2582.3210287581,0.84282593197304
5.3741015480591e-05,2582.3232889978,0.84282855650466
5.374101738794e-05,2582.3255493123,0.8428311811383
5.3741019295288e-05,2582.3278097016,0.84283380589563
5.3741021202637e-05,2582.3300701659,0.84283643076961
5.3741023109985e-05,2582.3323307052,0.84283905575808
5.3741025017334e-05,2582.3345913194,0.84284168085745
5.3741026924683e-05,2582.3368520086,0.84284430607604
5.3741028832031e-05,2582.3391127726,0.84284693141452
5.374103073938e-05,2582.3413736116,0.84284955687417
5.3741032646729e-05,2582.3436345255,0.84285218245341
5.3741034554077e-05,2582.3458955144,0.84285480815358
5.3741036461426e-05,2582.3481565783,0.84285743396207
5.3741038368775e-05,2582.3504177171,0.84286005987883
5.3741040276123e-05,2582.3526789309,0.84286268590602
5.3741042183472e-05,2582.3549402197,0.84286531204598
5.374104409082e-05,2582.3572015835,0.84286793830524
5.3741045998169e-05,2582.3594630222,0.84287056467997
5.3741047905518e-05,2582.361724536,0.84287319117596
5.3741049812866e-05,2582.3639861248,0.84287581778047
5.3741051720215e-05,2582.3662477886,0.84287844450055
5.3741053627564e-05,2582.3685095274,0.84288107133605
5.3741055534912e-05,2582.3707713412,0.84288369829101
5.3741057442261e-05,2582.3730332302,0.84288632536202
5.374105934961e-05,2582.375295194,0.84288895254486
5.3741061256958e-05,2582.3775572328,0.84289157983879
5.3741063164307e-05,2582.3798193464,0.84289420724193
5.3741065071655e-05,2582.3820815349,0.84289683475803
5.3741066979004e-05,2582.3843437983,0.84289946237962
5.3741068886353e-05,2582.3866061365,0.84290209010614
5.3741070793701e-05,2582.3888685495,0.84290471793353
5.374107270105e-05,2582.3911310375,0.8429073458689
5.3741074608399e-05,2582.3933936004,0.84290997391655
5.3741076515747e-05,2582.3956562382,0.84291260206616
5.3741078423096e-05,2582.3979189509,0.84291523032298
5.3741080330445e-05,2582.4001817385,0.84291785868562
5.3741082237793e-05,2582.4024446008,0.84292048715562
5.3741084145142e-05,2582.4047075379,0.84292311573787
5.374108605249e-05,2582.4069705497,0.84292574443393
5.3741087959839e-05,2582.4092336362,0.84292837324782
5.3741089867188e-05,2582.4114967976,0.8429310021692
5.3741091774536e-05,2582.413760034,0.84293363119476
5.3741093681885e-05,2582.4160233452,0.84293626033171
5.3741095589234e-05,2582.4182867315,0.84293888958295
5.3741097496582e-05,2582.4205501928,0.84294151894919
5.3741099403931e-05,2582.4228137292,0.84294414843393
5.374110131128e-05,2582.4250773404,0.84294677803076
5.3741103218628e-05,2582.4273410266,0.84294940774302
5.3741105125977e-05,2582.4296047877,0.84295203756253
5.3741107033325e-05,2582.4318686236,0.84295466749117
5.3741108940674e-05,2582.4341325344,0.84295729753141
5.3741110848023e-05,2582.43639652,0.84295992767593
5.3741112755371e-05,2582.4386605805,0.84296255793002
5.374111466272e-05,2582.4409247159,0.84296518829482
5.3741116570069e-05,2582.4431889261,0.8429678187658
5.3741118477417e-05,2582.4454532114,0.84297044935677
5.3741120384766e-05,2582.4477175715,0.84297308006729
5.3741122292114e-05,2582.4499820064,0.84297571089348
5.3741124199463e-05,2582.4522465162,0.84297834183575
5.3741126106812e-05,2582.4545111007,0.84298097289827
5.374112801416e-05,2582.45677576,0.84298360408039
5.3741129921509e-05,2582.4590404942,0.84298623539154
5.3741131828858e-05,2582.4613053032,0.84298886683748
5.3741133736206e-05,2582.4635701871,0.84299149841308
5.3741135643555e-05,2582.4658351457,0.84299413011856
5.3741137550904e-05,2582.4681001791,0.84299676194516
5.3741139458252e-05,2582.4703652875,0.84299939388933
5.3741141365601e-05,2582.4726304708,0.84300202594947
5.3741143272949e-05,2582.474895729,0.84300465812378
5.3741145180298e-05,2582.477161062,0.84300729041074
5.3741147087647e-05,2582.4794264697,0.84300992281086
5.3741148994995e-05,2582.4816919523,0.84301255532618
5.3741150902344e-05,2582.4839575098,0.84301518795996
5.3741152809693e-05,2582.4862231421,0.84301782071088
5.3741154717041e-05,2582.4884888492,0.84302045357328
5.374115662439e-05,2582.490754631,0.84302308654519
5.3741158531739e-05,2582.4930204876,0.84302571962515
5.3741160439087e-05,2582.4952864188,0.84302835281434
5.3741162346436e-05,2582.4975524247,0.84303098612289
5.3741164253784e-05,2582.4998185055,0.84303361955319
5.3741166161133e-05,2582.5020846612,0.84303625309178
5.3741168068482e-05,2582.5043508917,0.84303888673115
5.374116997583e-05,2582.5066171969,0.84304152047193
5.3741171883179e-05,2582.5088835768,0.84304415431631
5.3741173790528e-05,2582.5111500314,0.84304678826769
5.3741175697876e-05,2582.5134165609,0.84304942233345
5.3741177605225e-05,2582.515683165,0.84305205651279
5.3741179512574e-05,2582.517949844,0.84305469080158
5.3741181419922e-05,2582.5202165979,0.84305732519534
5.3741183327271e-05,2582.5224834265,0.84305995968803
5.3741185234619e-05,2582.52475033,0.84306259428592
5.3741187141968e-05,2582.5270173082,0.84306522898902
5.3741189049317e-05,2582.5292843614,0.84306786380037
5.3741190956665e-05,2582.5315514894,0.84307049872599
5.3741192864014e-05,2582.5338186923,0.84307313376909
5.3741194771363e-05,2582.5360859699,0.84307576892273
5.3741196678711e-05,2582.5383533225,0.84307840418542
5.374119858606e-05,2582.5406207498,0.84308103955647
5.3741200493409e-05,2582.5428882519,0.84308367503553
