time,max_d,max_disp_z,min_disp_z
1.17e-05,1,0.0014108023051664,-0.117
1.18e-05,1,0.0014473753029545,-0.118
1.19e-05,1,0.0014647235911781,-0.119
1.2e-05,1,0.0014612336704041,-0.12
1.21e-05,1,0.0014364340980889,-0.121
1.22e-05,1,0.0013910606212877,-0.122
1.23e-05,1,0.0013339131058632,-0.123
1.24e-05,1,0.0013249134287838,-0.124
1.25e-05,1,0.0013216936646376,-0.125
1.26e-05,1,0.0013499678933831,-0.126
1.27e-05,1,0.0014126104658356,-0.127
1.28e-05,1,0.0015255937050181,-0.128
1.29e-05,1,0.0016749659894294,-0.129
1.3e-05,1,0.0018536660153871,-0.13
1.31e-05,1,0.0020442211775765,-0.131
1.32e-05,1,0.0022217832876334,-0.132
1.33e-05,1,0.0024313649461384,-0.133
1.34e-05,1,0.0026670874871871,-0.134
1.35e-05,1,0.0028394165046657,-0.135
1.36e-05,1,0.0029425610525451,-0.136
1.37e-05,1,0.0029797496928458,-0.137
1.38e-05,1,0.0029656937240853,-0.138
1.39e-05,1,0.0029203576648175,-0.139
1.4e-05,1,0.0028643045310191,-0.14
1.41e-05,1,0.0030207951531557,-0.141
1.42e-05,1,0.003237158171884,-0.142
1.43e-05,1,0.0034356321937849,-0.143
1.44e-05,1,0.00360864271294,-0.144
1.45e-05,1,0.0037518525878452,-0.145
1.46e-05,1,0.0038652125593688,-0.146
1.47e-05,1,0.0039529020865581,-0.147
1.48e-05,1,0.0040324468160245,-0.148
1.49e-05,1,0.0041066566736706,-0.149
1.5e-05,1,0.0041744563362059,-0.15
1.51e-05,1,0.0042504154039756,-0.151
1.52e-05,1,0.00432788090189,-0.152
1.53e-05,1,0.0044381810942684,-0.153
1.54e-05,1,0.0045357922379469,-0.154
1.55e-05,1,0.0046187749689208,-0.155
1.56e-05,1,0.004684791060726,-0.156
1.57e-05,1,0.0047315196810548,-0.157
1.58e-05,1,0.0048319684275651,-0.158
1.59e-05,1,0.0049200364014364,-0.159
1.6e-05,1,0.0049754494851142,-0.16
1.61e-05,1,0.0050120766157243,-0.161
1.62e-05,1,0.0050425884395215,-0.162
1.63e-05,1,0.0050757364200744,-0.163
1.64e-05,1,0.0051149354636928,-0.164
1.65e-05,1,0.0051767186232903,-0.165
1.66e-05,1,0.005305029538318,-0.166
1.67e-05,1,0.0054372139052337,-0.167
1.68e-05,1,0.005547734330235,-0.168
1.69e-05,1,0.0056404199135931,-0.169
1.7e-05,1,0.0057212675043037,-0.17
1.71e-05,1,0.0058345437433731,-0.171
1.72e-05,1,0.0060158582889545,-0.172
1.73e-05,1,0.00618912209123,-0.173
1.74e-05,1,0.006386234838279,-0.174
1.75e-05,1,0.0066039205123904,-0.175
