time,max_d,max_disp_z,min_disp_z
0,0,0,0
1e-07,0,0.00026090852732595,-0.001
2e-07,0,0.00049300753814614,-0.002
3e-07,0,0.0006758646913547,-0.003
4e-07,0,0.00079844686299573,-0.004
5e-07,0,0.00085994523676768,-0.005
6e-07,0,0.00086675018012353,-0.006
7e-07,0,0.0008271744955122,-0.007
8e-07,0,0.00074638935636332,-0.008
9e-07,0,0.00062351930520318,-0.009
1e-06,0.0069138225274527,0.00043648796584366,-0.01
1.1e-06,0.13823658872856,0.00061335365545714,-0.011
1.2e-06,0.076169237728398,0.00071695035229563,-0.012
1.3e-06,0.15243712058162,0.00068621652764279,-0.013
1.4e-06,0.16160067881553,0.0005254212969622,-0.014
1.5e-06,0.13604752490922,0.00055925011371706,-0.015
1.6e-06,0.17536551782333,0.00073930780920112,-0.016
1.7e-06,0.19389113632324,0.00083002036784862,-0.017
1.8e-06,0.2375621662732,0.00077965405236313,-0.018
1.9e-06,0.23423327743679,0.00057733400015692,-0.019
2e-06,0.23388892016041,0.00068385367231277,-0.02
2.1e-06,0.25172325263085,0.00087973642596668,-0.021
2.2e-06,0.26031359549446,0.00097360808299512,-0.022
2.3e-06,0.25398275092753,0.00092020203777113,-0.023
2.4e-06,0.2440361721265,0.00067628605788908,-0.024
2.5e-06,0.25859794094667,0.00081063178170708,-0.025
2.6e-06,0.27161269173649,0.0010119791907315,-0.026
2.7e-06,0.28202622681129,0.0011123405870757,-0.027
2.8e-06,0.29635802035124,0.0010459080213019,-0.028
2.9e-06,0.31413079105991,0.00078134161029709,-0.029
3e-06,0.32986439656964,0.00092856430782897,-0.03
3.1e-06,0.34156128133857,0.0011438614008865,-0.031
3.2e-06,0.34587847700741,0.0012331583226713,-0.032
3.3e-06,0.3432355155387,0.0011433292824928,-0.033
3.4e-06,0.35068645939607,0.00088908804263197,-0.034
3.5e-06,0.36156750031295,0.0010430444447302,-0.035
3.6e-06,0.37556583391674,0.0012578823306486,-0.036
3.7e-06,0.3866855531233,0.0013246442658585,-0.037
3.8e-06,0.39266459914758,0.0012351064780359,-0.038
3.9e-06,0.39727966183135,0.00098508377471904,-0.039
4e-06,0.3941538945259,0.0011483017091237,-0.04
4.1e-06,0.39293828184783,0.0013444834938672,-0.041
4.2e-06,0.40378022043466,0.0014023324608819,-0.042
4.3e-06,0.41335101267147,0.0013186807214301,-0.043
4.4e-06,0.42616294836891,0.0010873708922486,-0.044
4.5e-06,0.43437752577831,0.0012314410834293,-0.045
4.6e-06,0.44071677177693,0.0014129150080099,-0.046
4.7e-06,0.44474783841654,0.0014822795165327,-0.047
4.8e-06,0.44888844837797,0.0013919164316834,-0.048
4.9e-06,0.4584325880114,0.0011619712465835,-0.049
5e-06,0.46378783869279,0.0012969894233113,-0.05
5.1e-06,0.47123708909456,0.0014960782352709,-0.051
5.2e-06,0.47188865157833,0.0015390604614702,-0.052
5.3e-06,0.472624412989,0.0014561277409301,-0.053
5.4e-06,0.49679199947765,0.0011887549293362,-0.054
5.5e-06,0.53155503728225,0.0013872463361223,-0.055
5.6e-06,0.54425159227702,0.0015554936253171,-0.056
5.7e-06,0.53698087380536,0.0016072918287327,-0.057
5.8e-06,0.53477602015495,0.0014790804874218,-0.058
5.9e-06,0.53954664031671,0.0011831210589439,-0.059
6e-06,0.54316161746615,0.0014599074644216,-0.06
6.1e-06,0.54450868248752,0.0016345264028425,-0.061
6.2e-06,0.55613253462848,0.0016410249415632,-0.062
6.3e-06,0.57425926350419,0.0014577222896885,-0.063
6.4e-06,0.60592563588121,0.001267491969724,-0.064
6.5e-06,0.63041343099633,0.0015525447332093,-0.065
6.6e-06,0.64606193332306,0.0016864683893516,-0.066
6.7e-06,0.66925973724497,0.0016369889572855,-0.067
6.8e-06,0.70065835751925,0.001400094578071,-0.068
6.9e-06,0.72927110315806,0.0013732373925856,-0.069
7e-06,0.75396270805881,0.0016227730971716,-0.07
7.1e-06,0.77709599756428,0.0017048436648693,-0.071
7.2e-06,0.79545618302495,0.0016012167953165,-0.072
7.3e-06,0.80908887300542,0.0013221653222958,-0.073
7.4e-06,0.82106852607887,0.0014571546583288,-0.074
7.5e-06,0.83326843666446,0.001662467088333,-0.075
7.6e-06,0.8449945703721,0.0016938556868257,-0.076
7.7e-06,0.84641523936992,0.0015459513573312,-0.077
7.8e-06,0.85391175271446,0.0012400625540101,-0.078
7.9e-06,0.85951200036107,0.0015144850861365,-0.079
8e-06,0.86561343831311,0.0016748552830716,-0.08
8.1e-06,0.87175705433093,0.0016621293266883,-0.081
8.2e-06,0.8832769680678,0.0014814580968563,-0.082
8.3e-06,0.89782136317388,0.0012737172776746,-0.083
8.4e-06,0.91811399417648,0.0015477091343868,-0.084
8.5e-06,0.93648367943654,0.0016657580055788,-0.085
8.6e-06,0.95222395728249,0.0016159455419087,-0.086
8.7e-06,0.96539531021176,0.0014112477278614,-0.087
8.8e-06,0.97805628731043,0.0013257349526194,-0.088
8.9e-06,0.98864590743535,0.0015606757959895,-0.089
9e-06,0.99653524623245,0.0016387400920736,-0.09
9.1e-06,1,0.0015564454684217,-0.091
9.2e-06,1,0.0013332124210605,-0.092
9.3e-06,1,0.0013605554878517,-0.093
9.4e-06,1,0.0015547385907302,-0.094
9.5e-06,1,0.0015937407836004,-0.095
9.6e-06,1,0.0014821946274956,-0.096
9.7e-06,1,0.0012456058710062,-0.097
9.8e-06,1,0.001377518275405,-0.098
9.9e-06,1,0.0015289265240817,-0.099
1e-05,1,0.0015300833346101,-0.1
1.01e-05,1,0.0013938365787172,-0.101
1.02e-05,1,0.001205533186217,-0.102
1.03e-05,1,0.0013744608609146,-0.103
1.04e-05,1,0.001482674781169,-0.104
1.05e-05,1,0.001449865502003,-0.105
1.06e-05,1,0.0012966118912238,-0.106
1.07e-05,1,0.0012985335306802,-0.107
1.08e-05,1,0.0013501367918106,-0.108
1.09e-05,1,0.0014178816083032,-0.109
1.1e-05,1,0.0013583570544539,-0.11
1.11e-05,1,0.0013373569399006,-0.111
1.12e-05,1,0.0013275190905164,-0.112
1.13e-05,1,0.001324167901784,-0.113
1.14e-05,1,0.0013419916560197,-0.114
1.15e-05,1,0.0013020307398266,-0.115
1.16e-05,1,0.0013218078865518,-0.116
1.17e-05,1,0.0013502032983752,-0.117
1.18e-05,1,0.0013723597855747,-0.118
1.19e-05,1,0.0013875308258482,-0.119
1.2e-05,1,0.0013982222880532,-0.12
1.21e-05,1,0.0014181440845931,-0.121
1.22e-05,1,0.0014284341130819,-0.122
1.23e-05,1,0.0014174014152223,-0.123
1.24e-05,1,0.0013916157836251,-0.124
1.25e-05,1,0.0013516678048723,-0.125
1.26e-05,1,0.0013065962351136,-0.126
1.27e-05,1,0.0013743233135917,-0.127
1.28e-05,1,0.0014714824488416,-0.128
1.29e-05,1,0.001567669167567,-0.129
1.3e-05,1,0.0016632796259164,-0.13
1.31e-05,1,0.001758421871562,-0.131
