time,Fx,Fy,max_d
0,0,0,0
5e-08,0.084267900596908,0.14230551271161,0
1e-07,0.36061179891242,0.5948558872874,0
1.5e-07,0.84384320339443,1.3489198171101,2.6653866950976e-07
2e-07,1.4631571594577,2.2523016130379,1.310928242525e-06
2.5e-07,2.1321495164076,3.1534859030386,3.8182585194973e-06
3e-07,2.7987062429618,3.992521069093,8.0842148149928e-06
3.5e-07,3.4517665605189,4.7958594232199,1.4138481668998e-05
4e-07,4.0998967607686,5.6147930810774,2.2161824226917e-05
4.5e-07,4.7497007256099,6.4728359297277,3.2367950657915e-05
5e-07,5.3997679697483,7.3564474865097,4.4989516683768e-05
5.5e-07,6.0468674904828,8.2385104122677,6.0132144803172e-05
6e-07,6.6925017081102,9.1035936900629,7.7775140582683e-05
6.5e-07,7.3425195666047,9.954712810084,9.7974376174307e-05
7e-07,8.0016038538727,10.803459307742,0.00012157022571889
7.5e-07,8.6688911948653,11.657647804529,0.00014844370047599
8e-07,9.3385652106601,12.517120390827,0.0001787065033144
8.5e-07,10.004176194271,13.377717550842,0.00021250294482266
9e-07,10.662710854038,14.236821095664,0.00024985478039363
9.5e-07,11.315587900063,15.095142468998,0.0002907770374953
1e-06,11.966723819724,15.954640357943,0.00033534483472538
1.05e-06,12.619766337569,16.81586407035,0.00038366608978049
1.1e-06,13.27642309595,17.67740653251,0.0004358681563633
1.15e-06,13.936397790644,18.537415308796,0.00049204025203633
1.2e-06,14.59825782403,19.395290214443,0.00055221884337633
1.25e-06,15.260356274283,20.252031129618,0.00061644553675723
1.3e-06,15.921389745271,21.109249937675,0.00068476172840558
1.35e-06,16.580646525425,21.967944277485,0.00075722804425238
1.4e-06,17.238100528178,22.828014826215,0.00083392149062688
1.45e-06,17.894374177013,23.688648372403,0.00091489537062331
1.5e-06,18.550491634976,24.549023471332,0.0010001814748143
1.55e-06,19.20745305462,25.408749463751,0.0010898067682905
1.6e-06,19.865802850473,26.267872217466,0.0011838112827737
1.65e-06,20.525426326825,27.126642258108,0.0012822502156551
1.7e-06,21.185675177197,27.985315822778,0.0013851835037803
1.75e-06,21.845730008362,28.84409019273,0.0014926601391964
1.8e-06,22.504982400927,29.703113346802,0.0016047079408503
1.85e-06,23.163259361129,30.562468167707,0.0017213327171848
1.9e-06,23.820808554233,31.422132351447,0.0018425403056316
1.95e-06,24.47811518536,32.281961212281,0.0019683288319178
2e-06,25.135658510128,33.141745741324,0.0020986891569512
2.05e-06,25.793730578174,34.00131238687,0.002233598590744
2.1e-06,26.45236610168,34.860604567234,0.00237302964077
