time,tip_velocity,tip_x,tip_y,tip_z
9.35e-06,0,27,0,0
9.4e-06,0,27,0,0
9.45e-06,0,27,0,0
9.5e-06,0,27,0,0
9.55e-06,0,27,0,0
9.6e-06,0,27,0,0
9.65e-06,0,27,0,0
9.7e-06,0,27,0,0
9.75e-06,0,27,0,0
9.8e-06,0,27,0,0
9.85e-06,0,27,0,0
9.9e-06,0,27,0,0
9.95e-06,0,27,0,0
1e-05,0,27,0,0
1.005e-05,0,27,0,0
1.01e-05,0,27,0,0
1.015e-05,0,27,0,0
1.02e-05,0,27,0,0
1.025e-05,0,27,0,0
1.03e-05,0,27,0,0
1.035e-05,0,27,0,0
1.04e-05,0,27,0,0
1.045e-05,0,27,0,0
1.05e-05,0,27,0,0
1.055e-05,0,27,0,0
1.06e-05,0,27,0,0
1.065e-05,0,27,0,0
1.07e-05,0,27,0,0
1.075e-05,0,27,0,0
1.08e-05,0,27,0,0
1.085e-05,0,27,0,0
1.09e-05,0,27,0,0
1.095e-05,0,27,0,0
1.1e-05,0,27,0,0
1.105e-05,0,27,0,0
1.11e-05,0,27,0,0
1.115e-05,0,27,0,0
1.12e-05,0,27,0,0
1.125e-05,0,27,0,0
1.13e-05,0,27,0,0
1.135e-05,0,27,0,0
1.14e-05,0,27,0,0
1.145e-05,0,27,0,0
1.15e-05,0,27,0,0
1.155e-05,0,27,0,0
1.16e-05,0,27,0,0
1.165e-05,0,27,0,0
1.17e-05,0,27,0,0
1.175e-05,0,27,0,0
1.18e-05,0,27,0,0
1.185e-05,0,27,0,0
1.19e-05,0,27,0,0
1.195e-05,0,27,0,0
1.2e-05,0,27,0,0
1.205e-05,0,27,0,0
1.21e-05,0,27,0,0
1.215e-05,0,27,0,0
1.22e-05,0,27,0,0
1.225e-05,0,27,0,0
1.23e-05,0,27,0,0
1.235e-05,0,27,0,0
1.24e-05,0,27,0,0
1.245e-05,0,27,0,0
1.25e-05,0,27,0,0
1.255e-05,0,27,0,0
1.26e-05,0,27,0,0
1.265e-05,0,27,0,0
1.27e-05,0,27,0,0
1.275e-05,0,27,0,0
1.28e-05,0,27,0,0
1.285e-05,0,27,0,0
1.29e-05,0,27,0,0
1.295e-05,0,27,0,0
1.3e-05,0,27,0,0
1.305e-05,0,27,0,0
1.31e-05,0,27,0,0
1.315e-05,0,27,0,0
1.32e-05,0,27,0,0
1.325e-05,0,27,0,0
1.33e-05,0,27,0,0
1.335e-05,0,27,0,0
1.34e-05,0,27,0,0
1.345e-05,0,27,0,0
1.35e-05,0,27,0,0
1.355e-05,0,27,0,0
1.36e-05,0,27,0,0
1.365e-05,0,27,0,0
1.37e-05,0,27,0,0
1.375e-05,0,27,0,0
1.38e-05,0,27,0,0
1.385e-05,0,27,0,0
1.39e-05,0,27,0,0
1.395e-05,0,27,0,0
1.4e-05,0,27,0,0
1.405e-05,0,27,0,0
1.41e-05,0,27,0,0
1.415e-05,0,27,0,0
1.42e-05,0,27,0,0
1.425e-05,0,27,0,0
1.43e-05,0,27,0,0
1.435e-05,0,27,0,0
1.44e-05,0,27,0,0
1.445e-05,0,27,0,0
1.45e-05,0,27,0,0
1.455e-05,0,27,0,0
1.46e-05,0,27,0,0
1.465e-05,0,27,0,0
1.47e-05,1593443.5979992,27.078125,0.01562499999997,0
1.475e-05,937500.00000099,27.125,0.01562499999997,0
1.48e-05,625000.00000064,27.15625,0.01562499999997,0
1.485e-05,625000.00000064,27.1875,0.01562499999997,0
1.49e-05,625000.00000064,27.21875,0.01562499999997,0
1.495e-05,937500.00000092,27.265625,0.01562499999997,0
1.5e-05,625000.00000057,27.296875,0.01562499999997,0
1.505e-05,625000.00000064,27.328125,0.01562499999997,0
1.51e-05,937500.00000092,27.375,0.01562499999997,0
1.515e-05,625000.00000071,27.40625,0.01562499999997,0
1.52e-05,937500.00000092,27.453125,0.01562499999997,0
1.525e-05,625000.00000057,27.484375,0.01562499999997,0
1.53e-05,937500.00000107,27.531250000001,0.01562499999997,0
1.535e-05,625000.00000057,27.562500000001,0.01562499999997,0
1.54e-05,937500.00000099,27.609375000001,0.01562499999997,0
1.545e-05,625000.00000071,27.640625000001,0.01562499999997,0
1.55e-05,937500.00000085,27.687500000001,0.01562499999997,0
1.555e-05,937500.00000092,27.734375000001,0.01562499999997,0
1.56e-05,937500.00000092,27.781250000001,0.01562499999997,0
1.565e-05,625000.00000064,27.812500000001,0.01562499999997,0
1.57e-05,937500.00000092,27.859375000001,0.01562499999997,0
1.575e-05,937500.00000099,27.906250000001,0.01562499999997,0
1.58e-05,937500.00000099,27.953125000001,0.01562499999997,0
1.585e-05,937500.00000092,28.000000000001,0.01562499999997,0
1.59e-05,698771.24296905,28.031250000001,0.03124999999994,0
1.595e-05,937500.00000092,28.078125000001,0.03124999999994,0
1.6e-05,988211.7688033,28.125000000001,0.01562499999997,0
1.605e-05,937500.00000092,28.171875000001,0.01562499999997,0
1.61e-05,988211.76880337,28.218750000001,0.03124999999994,0
1.615e-05,937500.00000085,28.265625000001,0.03124999999994,0
1.62e-05,937500.00000099,28.312500000001,0.03124999999994,0
1.625e-05,937500.00000099,28.359375000001,0.03124999999994,0
1.63e-05,1288470.5080065,28.421875000001,0.01562499999997,0
1.635e-05,937500.00000092,28.468750000001,0.01562499999997,0
1.64e-05,937500.00000099,28.515625000002,0.01562499999997,0
1.645e-05,937500.00000092,28.562500000002,0.01562499999997,0
1.65e-05,937500.00000092,28.609375000002,0.01562499999997,0
1.655e-05,988211.76880351,28.656250000002,0.03124999999994,0
1.66e-05,1288470.5080065,28.718750000002,0.01562499999997,0
1.665e-05,937500.00000099,28.765625000002,0.01562499999997,0
1.67e-05,988211.76880337,28.812500000002,0.03124999999994,0
1.675e-05,1288470.5080065,28.875000000002,0.01562499999997,0
1.68e-05,937500.00000099,28.921875000002,0.01562499999997,0
1.685e-05,937500.00000092,28.968750000002,0.01562499999997,0
1.69e-05,988211.76880337,29.015625000002,0.03124999999994,0
1.695e-05,1288470.5080065,29.078125000002,0.01562499999997,0
1.7e-05,988211.76880344,29.125000000002,0.03124999999994,0
1.705e-05,1288470.5080065,29.187500000002,0.01562499999997,0
1.71e-05,937500.00000099,29.234375000002,0.01562499999997,0
1.715e-05,988211.76880337,29.281250000002,0.03124999999994,0
