time,Fx,tip_velocity,tip_x,tip_y,tip_z
6.35e-06,66.221360546685,0,27,0,0
6.4e-06,66.746222079976,0,27,0,0
6.45e-06,67.271110451433,0,27,0,0
6.5e-06,67.796029071774,0,27,0,0
6.55e-06,68.320980689467,0,27,0,0
6.6e-06,68.845967385601,0,27,0,0
6.65e-06,69.370990559313,0,27,0,0
6.7e-06,69.896050900387,0,27,0,0
6.75e-06,70.421148350846,0,27,0,0
6.8e-06,70.946282062941,0,27,0,0
6.85e-06,71.471450364643,0,27,0,0
6.9e-06,71.996650743969,0,27,0,0
6.95e-06,72.521879860258,0,27,0,0
7e-06,73.047133585194,0,27,0,0
7.05e-06,73.57240707088,0,27,0,0
7.1e-06,74.097694838449,0,27,0,0
7.15e-06,74.622990879588,0,27,0,0
7.2e-06,75.148288764704,0,27,0,0
7.25e-06,75.673581754374,0,27,0,0
7.3e-06,76.198862913562,0,27,0,0
7.35e-06,76.724125229601,0,27,0,0
7.4e-06,77.249361734527,0,27,0,0
7.45e-06,77.774565630105,0,27,0,0
7.5e-06,78.299730410887,0,27,0,0
7.55e-06,78.824849977906,0,27,0,0
7.6e-06,79.349918734379,0,27,0,0
7.65e-06,79.874931655486,0,27,0,0
7.7e-06,80.399884326894,0,27,0,0
7.75e-06,80.92477295049,0,27,0,0
7.8e-06,81.449594319931,0,27,0,0
7.85e-06,81.974345772166,0,27,0,0
7.9e-06,82.499025123367,0,27,0,0
7.95e-06,83.023630598682,0,27,0,0
8e-06,83.548160764798,0,27,0,0
8.05e-06,84.072614472961,0,27,0,0
8.1e-06,84.596990818192,0,27,0,0
8.15e-06,85.121289118189,0,27,0,0
8.2e-06,85.645508913075,0,27,0,0
8.25e-06,86.169649984742,0,27,0,0
8.3e-06,86.693712392223,0,27,0,0
8.35e-06,87.2176965174,0,27,0,0
8.4e-06,87.741603113656,0,27,0,0
8.45e-06,88.265433349219,0,27,0,0
8.5e-06,88.789188837033,0,27,0,0
8.55e-06,89.312871644266,0,27,0,0
8.6e-06,89.836484276906,0,27,0,0
8.65e-06,90.360029637967,0,27,0,0
8.7e-06,90.883510961233,0,27,0,0
