time,Fx,Fy,max_d
0,0,0,0
5e-08,0.061072333980071,0.10436406246554,0
1e-07,0.29755580230388,0.49923882640255,0
1.5e-07,0.76682880106164,1.2526181167355,1.0172721186833e-10
2e-07,1.4158099294606,2.2309683237605,5.3025745846941e-10
2.5e-07,2.1311499587684,3.2141145845573,1.5338797603332e-09
3e-07,2.8221292681651,4.0633989127925,3.1201006483949e-09
3.5e-07,3.4663729087289,4.7990208865367,5.159197748618e-09
4e-07,4.0942868223882,5.5421976146378,7.6840580062238e-09
4.5e-07,4.7395001033726,6.3903248330368,1.079092111239e-08
5e-07,5.4037980677882,7.3367269108219,1.4698466076638e-08
5.5e-07,6.0628018411003,8.292868741101,1.9525349062876e-08
6e-07,6.6980988087492,9.176891680478,2.5170024022543e-08
6.5e-07,7.3200819653305,9.9821896849071,3.1406587542432e-08
7e-07,7.9594597404612,10.770116281122,3.8162838471104e-08
7.5e-07,8.6374853379727,11.604929499269,4.566335809805e-08
8e-07,9.344393438563,12.496837434865,5.4258533199882e-08
8.5e-07,10.046087604726,13.402326053013,6.4124144839334e-08
9e-07,10.712164848476,14.273017070176,7.5106484453406e-08
9.5e-07,11.339785813411,15.101878781804,8.6883353723917e-08
1e-06,11.953491953025,15.924696440634,9.9300684239595e-08
1.05e-06,12.583513367328,16.78084807056,1.125387465328e-07
1.1e-06,13.242932834299,17.674482970734,1.2696476009584e-07
1.15e-06,13.92225655525,18.572469755392,1.4279896483659e-07
1.2e-06,14.602515783538,19.437810765386,1.5990764771073e-07
1.25e-06,15.272260092344,20.264503617678,1.7794430534815e-07
1.3e-06,15.933278082939,21.081516205756,1.9668550957374e-07
1.35e-06,16.592818259098,21.924700893094,2.1626704016663e-07
1.4e-06,17.25286552488,22.804787066106,2.370744028131e-07
1.45e-06,17.90798415293,23.700531128893,2.593856500237e-07
1.5e-06,18.553043956864,24.580608451212,2.8310972005983e-07
1.55e-06,19.191775268973,25.431683940189,3.0786538816294e-07
1.6e-06,19.836530889872,26.267054401491,3.3333869345068e-07
1.65e-06,20.49866061545,27.110640449748,3.5958977988104e-07
1.7e-06,21.178260761587,27.973917167127,3.8701349483529e-07
1.75e-06,21.862836744386,28.847618279557,4.1599082714591e-07
1.8e-06,22.536302555211,29.713892337051,4.465557052536e-07
1.85e-06,23.190641134377,30.565043150369,4.783822728361e-07
1.9e-06,23.830698999407,31.410387539516,5.111048553086e-07
1.95e-06,24.469060215964,32.265809619468,5.4466239738996e-07
2e-06,25.116329700831,33.137433568082,5.7934641495924e-07
2.05e-06,25.77501800549,34.015470242026,6.1550769397438e-07
2.1e-06,26.440818758287,34.883521586328,6.5320879003337e-07
2.15e-06,27.108253144787,35.733795896514,6.9214652298335e-07
2.2e-06,27.774737407455,36.573864272373,7.3191976472905e-07
2.25e-06,28.440047513433,37.419361680958,7.7239190445821e-07
2.3e-06,29.10328633733,38.280189002428,8.1380393195992e-07
2.35e-06,29.761643829869,39.152930188351,8.5653088569697e-07
2.4e-06,30.412753429211,40.025440165775,9.0071375972221e-07
2.45e-06,31.058228368469,40.888169732216,9.4611255062955e-07
2.5e-06,31.704365775982,41.741512705848,9.9231770607329e-07
2.55e-06,32.358541744902,42.593363257641,1.0391236861296e-06
2.6e-06,33.02392838759,43.450570113229,1.0867154205009e-06
2.65e-06,33.696906082001,44.312942581195,1.1354935803779e-06
2.7e-06,34.369359693791,45.174932039068,1.18570394919e-06
2.75e-06,35.03402586388,46.032319163889,1.2372151720565e-06
2.8e-06,35.6887829316,46.886843079516,1.2896470489256e-06
2.85e-06,36.337012806725,47.744400771308,1.3427273020064e-06
2.9e-06,36.98449681175,48.608980657656,1.3965453411388e-06
2.95e-06,37.635725114536,49.47841753842,1.4514718679569e-06
3e-06,38.292201048298,50.345968084238,1.5078287645117e-06
3.05e-06,38.953090100762,51.206070416276,1.5656224454627e-06
3.1e-06,39.616677644794,52.058943447741,1.6245858021373e-06
3.15e-06,40.281090124419,52.91009048645,1.6844822004644e-06
3.2e-06,40.944151228088,53.765546868557,1.7453812245322e-06
3.25e-06,41.603403357633,54.627270531662,1.8076454346656e-06
3.3e-06,42.25707328861,55.492424863424,1.8716423695513e-06
3.35e-06,42.905504508078,56.356523454457,1.9374538618467e-06
3.4e-06,43.551711828361,57.217189544678,2.0048540425319e-06
3.45e-06,44.200179548077,58.075333973056,2.0735752654507e-06
3.5e-06,44.854436161646,58.933337464037,2.1436135049947e-06
3.55e-06,45.515017709694,59.792484313982,2.2152883070406e-06
3.6e-06,46.179226525852,60.652119001489,2.2890017702585e-06
3.65e-06,46.842798949484,61.51097514023,2.3649199235029e-06
3.7e-06,47.502297559901,62.36901608626,2.4428683780415e-06
3.75e-06,48.156719269674,63.227847943672,2.5225342262688e-06
3.8e-06,48.807556922173,64.089325048511,2.6037842382551e-06
3.85e-06,49.457643546701,64.95372370295,2.6868061453705e-06
3.9e-06,50.109711113654,65.819206366036,2.771948106426e-06
