time,Fx,Fy,external_work,fracture_energy,kinetic_energy,kinetic_energy_p,max_d,max_f_nu,strain_energy,strain_energy_p
0,0,0,0,0,0,0,0,0,0,0
5e-08,0.066426545096812,0.11465774345427,2.0602612948301e-08,0,4.5796926833473e-08,7.2051257152401e-100,0,0,6.4360120431094e-09,3.6932969347035e-104
1e-07,0.35567870657085,0.603514512707,4.01614961826e-07,0,5.8133325238932e-07,3.8844448217561e-97,0,0,1.7716162511869e-07,2.3031932213033e-101
1.5e-07,0.95319602858836,1.574402257485,2.2274985147019e-06,0,2.1436282465552e-06,4.1989233282021e-95,0,0,1.2068774962912e-06,3.8597847713473e-99
2e-07,1.7762228055564,2.8235749794769,6.7660968002596e-06,0,4.9428657344301e-06,1.1436154835594e-93,0,0,3.9787337781029e-06,2.7385594968734e-97
2.5e-07,2.6640360091377,4.0358167722375,1.4642963325822e-05,0,9.3239629510701e-06,6.3079809714707e-93,0,0,8.7016674593e-06,8.4691830128625e-96
3e-07,3.5038919573901,5.0429021137791,2.6141620649322e-05,0,1.5773865336086e-05,1.4194503909634e-90,0,0,1.5249752240838e-05,5.7463512659365e-95
3.5e-07,4.2885856827089,5.9193882665396,4.1998137243839e-05,0,2.4711586639392e-05,6.7836366979771e-89,0,0,2.3970323546972e-05,2.6170287428089e-93
4e-07,5.0741818671374,6.8582350538093,6.3555141805777e-05,0,3.659600761511e-05,5.5666483721794e-88,0,0,3.5686987163872e-05,1.4931155327021e-91
4.5e-07,5.8971932875979,7.9677356155125,9.220076646264e-05,0,5.1808927484013e-05,9.8965259757369e-87,0,0,5.1294111323116e-05,1.3173503075815e-90
5e-07,6.7355605476426,9.1821676606386,0.00012867979250357,0,7.0626372949215e-05,4.0224631534614e-85,0,0,7.1232459361029e-05,1.6982128550903e-89
5.5e-07,7.5420479614275,10.349296157626,0.00017308810049547,0,9.3437291156974e-05,2.6514133883633e-84,0,0,9.5344243754149e-05,5.3148031973743e-88
6e-07,8.3039104217228,11.386450145301,0.00022569037493094,0,0.00012067265808452,5.619832273613e-83,0,0,0.00012359579273231,3.5095093540873e-87
6.5e-07,9.0622563852304,12.347664802787,0.0002875994930918,0,0.00015271066799452,8.0318131912113e-82,0,0,0.00015667942985225,6.4808227134417e-86
7e-07,9.8721863312304,13.349940275363,0.00036050597331116,0,0.0001899255867311,6.512553636993e-81,0,0,0.00019573144883345,7.3934344024882e-85
7.5e-07,10.746937289825,14.448973010612,0.00044574684288785,0,0.00023261930519834,1.0778377792334e-79,0,0,0.00024164050273452,6.5366199125538e-84
8e-07,11.643188788632,15.592674156901,0.00054368032848483,0,0.00028107174268396,8.2997977150973e-79,0,0,0.00029452607140207,8.4044967247232e-83
8.5e-07,12.500643077554,16.688954188682,0.00065407441609577,0,0.00033565398546061,9.9902428899632e-78,0,0,0.00035397623185252,6.6197265503193e-82
9e-07,13.295155493858,17.706516189556,0.00077715225672147,0,0.00039673858952275,8.3707492864747e-77,0,0,0.0004199640015643,6.8278227655528e-81
9.5e-07,14.054769464563,18.702821057852,0.00091415562540101,0,0.00046466289947379,7.7487530188123e-76,0,0,0.00049331626900099,5.6149019894362e-80
1e-06,14.827911154157,19.757297910877,0.0010668276156116,0,0.00053975880872076,6.4681437930378e-75,0,0,0.00057526123558038,4.5873003046146e-79
1.05e-06,15.639227153631,20.886136015943,0.0012363883991614,0,0.00062230675181889,5.1676854802112e-74,0,0,0.00066664531117884,3.83772941755e-78
1.1e-06,16.475521022172,22.027557801169,0.0014230801025593,0,0.00071258165051764,4.0822988102106e-73,0,0,0.00076753021093401,2.6473283240275e-77
1.15e-06,17.309423908209,23.107958606352,0.0016267616568157,0,0.00081090018838151,2.9214113912448e-72,0,0,0.00087762603316006,2.1824753446906e-76
1.2e-06,18.130703674849,24.116411354046,0.0018478989434839,0,0.00091756376550029,2.2136067195166e-71,0,0,0.00099713048770109,1.3200921344038e-75
1.25e-06,18.952155663074,25.111806905235,0.0020878492587375,0,0.0010328638721963,1.3929884358706e-70,0,0,0.0011269563305443,1.0623267975712e-74
1.3e-06,19.787842867722,26.160326607191,0.0023481403883081,0,0.0011570899153673,1.0587529534275e-69,0,0,0.0012681615781113,5.7531406530522e-74
1.35e-06,20.631128904804,27.270976870667,0.002629542244619,0,0.001290492893512,5.6685471386124e-69,0,0,0.0014212512845849,4.4787295980429e-73
1.4e-06,21.458024462571,28.393295033594,0.0029319441578552,0,0.0014333248046201,4.475653145174e-68,0,0,0.001586043263058,2.2447701129225e-72
1.45e-06,22.252422488746,29.473663931881,0.0032552026540211,0,0.0015858638401049,2.0408606807062e-67,0,0,0.0017623081849141,1.635103043352e-71
1.5e-06,23.02588789341,30.508363110211,0.0036000674769851,0,0.0017483797450599,1.6418186857458e-66,0,0,0.0019505235551586,8.0616296537501e-71
1.55e-06,23.810452271066,31.540530000558,0.0039681832535969,0,0.0019211302271777,6.9096726017405e-66,0,0,0.0021518734109064,5.1623770578407e-70
1.6e-06,24.630903304891,32.609791051254,0.0043611501590952,0,0.0021043485633832,5.1003583572361e-65,0,0,0.0023675180589471,2.6920943409027e-69
1.65e-06,25.483582132965,33.710654886818,0.0047796137353425,0,0.002298234541146,2.2955490297772e-64,0,0,0.0025978876310232,1.4292387494933e-68
1.7e-06,26.341358919491,34.801921293485,0.0052233150310584,0,0.0025030003257398,1.3353556547988e-63,0,0,0.0028426857605736,8.1906920805228e-68
1.75e-06,27.178257869852,35.853392390383,0.0056920339701631,0,0.0027188869349804,7.2280725088624e-63,0,0,0.0031016247666804,3.6255753816024e-67
1.8e-06,27.989365342174,36.878566847503,0.0061864355125056,0,0.0029461346167658,3.1064685835521e-62,0,0,0.0033751247273914,2.1917771927395e-66
1.85e-06,28.78895205924,37.919895343825,0.0067079610828108,0,0.0031849678354605,1.9839386592501e-61,0,0,0.0036642428957017,8.9419816627424e-66
1.9e-06,29.592587777302,39.004245354042,0.007257937133792,0,0.0034355879944169,7.2487900542001e-61,0,0,0.0039699734843758,5.0618044266136e-65
1.95e-06,30.403329353264,40.115849799276,0.0078368752542108,0,0.0036981797565447,4.4878060568976e-60,0,0,0.0042926816434426,2.1762618278749e-64
2e-06,31.214640883947,41.213382525755,0.008444688344617,0,0.003972936088612,1.7984728306172e-59,0,0,0.0046322422247537,1.0314804815684e-63
2.05e-06,32.023522495792,42.271410381959,0.0090815471914181,0,0.0042600579338343,8.5367256264973e-59,0,0,0.0049887115523094,4.9634905605979e-63
2.1e-06,32.837264522209,43.303281511928,0.0097484234555643,0,0.0045597301683533,4.2495756214354e-58,0,0,0.005362781125002,1.9801557614114e-62
2.15e-06,33.66585463865,44.344322998144,0.010446723893641,0,0.004872115238329,1.5437983576021e-57,0,0,0.0057555041131194,1.0026528817543e-61
2.2e-06,34.508744203447,45.41554936161,0.011177412406012,0,0.005197362257372,8.4639545530121e-57,0,0,0.0061676043978369,3.8059012326827e-61
2.25e-06,35.351203348136,46.505656244478,0.011940567617894,0,0.005535613021435,3.0168792902993e-56,0,0,0.0065991271833445,1.7722238270159e-60
2.3e-06,36.175416709918,47.587153081421,0.012735858922232,0,0.0058870102058527,1.3986004056807e-55,0,0,0.0070498043044227,7.2598742095943e-60
2.35e-06,36.976005054296,48.646631258287,0.013563457579848,0,0.0062516984336179,5.9924849907382e-55,0,0,0.0075197628127438,2.8485585816818e-59
2.4e-06,37.765006272863,49.696889652009,0.014424450793486,0,0.0066298071109746,2.1262926456137e-54,0,0,0.0080098573966863,1.2882839017938e-58
2.45e-06,38.56180079194,50.760306347035,0.015320347968319,0,0.0070214443792107,1.0416969255404e-53,0,0,0.008521282266782,4.5129729037417e-58
2.5e-06,39.377810224882,51.843391722454,0.016252198981664,0,0.0074267054137229,3.4724819321703e-53,0,0,0.0090548723860682,1.9991362125209e-57
2.55e-06,40.209715652682,52.929914984465,0.017220209719479,0,0.0078456710873644,1.4932286143058e-52,0,0,0.0096108104916053,7.442660256169e-57
2.6e-06,41.045570019959,53.998669461487,0.018224188288059,0,0.0082784171518932,5.9960260509134e-52,0,0,0.010188976058592,2.7239391473075e-56
2.65e-06,41.875947376926,55.046016199385,0.019264305207463,0,0.008725026134187,1.9432953597224e-51,0,0,0.010789531417376,1.1762017138199e-55
2.7e-06,42.699267493737,56.089703902044,0.020341382380694,0,0.009185572082554,9.0415758386115e-51,0,0,0.011413157384515,3.7499736511776e-55
2.75e-06,43.518249534544,57.151056807209,0.021456470613193,0,0.0096601145380379,2.8707254616908e-50,0,0,0.012060723051666,1.5528531234019e-54
2.8e-06,44.33379372653,58.234602637796,0.022610228936553,0,0.010148706759697,1.0762295173184e-49,0,0,0.012732793541789,5.7222214019436e-54
2.85e-06,45.143877386815,59.325280115464,0.023802785924817,0,0.010651390565917,4.5008823988855e-49,0,0,0.013429532452146,1.7922228252593e-53
2.9e-06,45.948108445929,60.404294900283,0.025034205801091,0,0.011168205849187,1.2569708984605e-48,0,0,0.01415105931286,7.8082534040034e-53
