time,Fx,Fy,max_d
0,0,0,0
5e-08,0.080358229099169,0.13732096362668,0
1e-07,0.39152001991862,0.65689199621772,0
1.5e-07,1.0089823810116,1.6481775611256,0
2e-07,1.8629008174929,2.9354755198273,0
2.5e-07,2.8041326243477,4.2290848590815,0
3e-07,3.7133122892061,5.3465649700254,0
3.5e-07,4.5610008116855,6.3144953038483,0
4e-07,5.3872053149723,7.2923676673355,0
4.5e-07,6.2361723139937,8.4083278893454,0
5e-07,7.1102495574566,9.6535899964006,0
5.5e-07,7.9773603365369,10.911664525618,0
6e-07,8.8132785479955,12.074848184765,0
6.5e-07,9.6316778091742,13.134448825011,0
7e-07,10.472963831984,14.171195858481,0
7.5e-07,11.365101470921,15.269638617339,0
8e-07,12.295242475321,16.443206862777,0
8.5e-07,13.218524033285,17.634642365851,0
9e-07,14.094943731223,18.780289337708,0
9.5e-07,14.920766859728,19.870898247696,0
1e-06,15.728282981324,20.9535548672,0
1.05e-06,16.557265677427,22.080071444037,0
1.1e-06,17.424926904294,23.255906744716,0
1.15e-06,18.318774156421,24.437466905554,0
1.2e-06,19.213850414508,25.576073292051,0
1.25e-06,20.095091501368,26.663829504576,0
1.3e-06,20.964850561621,27.738847944768,0
1.35e-06,21.832662981708,28.848297272549,0
1.4e-06,22.701143193398,30.006299647026,0
1.45e-06,23.563144778326,31.184913747756,0
1.5e-06,24.41192037808,32.342928576187,0
1.55e-06,25.252374926831,33.462791901591,0
1.6e-06,26.100753500829,34.561984426087,0
1.65e-06,26.97198221662,35.671968520501,0
1.7e-06,27.866175253295,36.807825595064,0
1.75e-06,28.766888037008,37.957363558597,0
1.8e-06,29.652967954131,39.097121801155,0
1.85e-06,30.513893538141,40.217018257604,0
1.9e-06,31.35606229689,41.329333650012,0
1.95e-06,32.196031025844,42.454947473868,0
2e-06,33.047733447848,43.60187055241,0
2.05e-06,33.91445005954,44.757185166839,0
2.1e-06,34.790503893156,45.899313459527,0
