time,Fx,Fy,external_work,fracture_energy,kinetic_energy,kinetic_energy_p,max_d,max_f_nu,strain_energy,strain_energy_p
0,0,0,0,0,0,0,0,0,0,0
5e-08,0.053572138370652,0.11788599409668,1.9385014743152e-08,0,4.1623277726815e-08,4.2379057701422e-100,0,0,6.053468696374e-09,5.7707006331418e-104
1e-07,0.28293860721426,0.62276236755392,3.7660043617758e-07,0,5.2425617959453e-07,1.4185225364229e-97,0,0,1.6593013882e-07,2.6933887664706e-101
1.5e-07,0.74211125722201,1.6340797534911,2.07729785238e-06,0,1.912774024487e-06,1.8814580166846e-95,0,0,1.1223102322404e-06,4.2390837711003e-99
2e-07,1.3414274482121,2.9555458009752,6.2611171529332e-06,0,4.3752127154378e-06,6.056059696566e-94,0,0,3.6599703525211e-06,2.8168423587411e-97
2.5e-07,1.9368967586909,4.2713050582464,1.3424761675503e-05,0,8.239538771209e-06,4.7502660854585e-93,0,0,7.8948626636744e-06,8.2550844363752e-96
3e-07,2.4471268452976,5.4028638684531,2.3752420869129e-05,0,1.3971988018404e-05,1.3921465422887e-90,0,0,1.3652122617111e-05,5.2829849927541e-95
3.5e-07,2.8984871414244,6.4083660409533,3.7912064052165e-05,0,2.1949075077911e-05,6.4701816959579e-89,0,0,2.127275636142e-05,2.5715013696116e-93
4e-07,3.3720191640659,7.4656786543131,5.7196548826125e-05,0,3.2570462957604e-05,5.153372456672e-88,0,0,3.1589220741812e-05,1.4286396336063e-91
4.5e-07,3.9144482744198,8.6763202925858,8.2944672004719e-05,0,4.6169388538024e-05,9.4411786546415e-87,0,0,4.5482229772038e-05,1.2234383968951e-90
5e-07,4.4985382474207,9.9781857183411,0.00011583914195025,0,6.2989431038979e-05,3.8154883457918e-85,0,0,6.3346466601413e-05,1.6034045991434e-89
5.5e-07,5.0607868741738,11.229255152561,0.00015588721774874,0,8.3382328490823e-05,2.4453438954702e-84,0,0,8.495795314341e-05,5.0346463229126e-88
6e-07,5.568723675283,12.357095788551,0.00020322312505386,0,0.00010773421777004,5.2933363269411e-83,0,0,0.00011019308359876,3.2426024088564e-87
6.5e-07,6.0487298723154,13.421020422623,0.0002587946000105,0,0.00013638622603182,7.5350582982118e-82,0,0,0.00013962876113885,6.1102645629027e-86
7e-07,6.5523264681739,14.537270616711,0.00032413547901738,0,0.00016969128122242,6.0241920653747e-81,0,0,0.00017429142246474,6.9156136666624e-85
7.5e-07,7.1015101206372,15.756751579855,0.00040048916242103,0,0.00020793772151839,1.0146881108659e-79,0,0,0.00021501443192053,6.0925625359399e-84
8e-07,7.6696524906253,17.021294124342,0.0004882053296564,0,0.00025138123355208,7.6638416641282e-79,0,0,0.0002619421168632,7.8895517574303e-83
8.5e-07,8.213173755,18.233398416191,0.00058709267219645,0,0.00030035343015809,9.3995052895876e-78,0,0,0.00031473102493706,6.1530437615354e-82
9e-07,8.7171725650796,19.35826255951,0.00069739227475168,0,0.00035518899016148,7.7498746986856e-77,0,0,0.00037338558541678,6.4128974614124e-81
9.5e-07,9.2079325996069,20.45282374248,0.00082028629165767,0,0.00041619848685246,7.2960052467267e-76,0,0,0.00043867673742164,5.2280077849759e-80
1e-06,9.7228623036283,21.599640413498,0.00095737864631235,0,0.00048369051763342,5.9964599001152e-75,0,0,0.00051170654782258,4.3123600394501e-79
1.05e-06,10.271949019395,22.820949883973,0.0011097128924249,0,0.00055791957600664,4.8813077244437e-74,0,0,0.00059317860496191,3.5830079314658e-78
1.1e-06,10.830209503311,24.061351320338,0.0012773682532007,0,0.00063913586273412,3.7880163317491e-73,0,0,0.00068303955539527,2.4923949488533e-77
1.15e-06,11.365940994495,25.250611304484,0.0014600867044893,0,0.00072764041586514,2.7717181233668e-72,0,0,0.00078092629189496,2.0457529341365e-76
1.2e-06,11.87316255403,26.376218737995,0.0016582730064442,0,0.00082372735787647,2.0587320007075e-71,0,0,0.00088700216628231,1.2439248397053e-75
1.25e-06,12.375210362588,27.491398579696,0.0018732759481211,0,0.00092767681958274,1.3263568955148e-70,0,0,0.0010021840128489,1.001772490868e-74
1.3e-06,12.898412276116,28.655769508103,0.0021066528294854,0,0.0010397566232601,9.9027772364195e-70,0,0,0.0011275650243078,5.4165674191741e-74
1.35e-06,13.445062352658,29.874288680912,0.0023592102676463,0,0.001160194744835,5.3971062954373e-69,0,0,0.0012636869360587,4.2574365071389e-73
1.4e-06,13.993133264304,31.096568242379,0.0026308373077735,0,0.0012892268712723,4.228727859043e-68,0,0,0.0014103638686853,2.1090502161769e-72
1.45e-06,14.520789039567,32.272451316218,0.0029213139309947,0,0.0014271193230341,1.9315793728046e-67,0,0,0.0015672917544346,1.5678200194929e-71
1.5e-06,15.02876895936,33.402957724803,0.0032312297180131,0,0.0015741287685773,1.5719580802905e-66,0,0,0.0017348041398211,7.5741693567498e-71
1.55e-06,15.538036927035,34.535196422629,0.0035620249923622,0,0.0017304992346179,6.4844860158332e-66,0,0,0.0019139128113788,4.9814461212025e-70
1.6e-06,16.066989096382,35.710792196903,0.0039151232088816,0,0.0018964567878039,4.9443280209004e-65,0,0,0.0021056395463419,2.5451505443626e-69
1.65e-06,16.612933330126,36.923897790309,0.00429108579466,0,0.0020722023090737,2.1548311277973e-64,0,0,0.0023103605654043,1.3796541911059e-68
1.7e-06,17.156311402241,38.130793296854,0.0046896812510604,0,0.0022579480892923,1.3009848780326e-63,0,0,0.002527819441278,7.841805873626e-68
1.75e-06,17.681649354645,39.29735880664,0.0051107881553013,0,0.00245392598875,6.8824697506739e-63,0,0,0.0027578182035361,3.4780962108192e-67
1.8e-06,18.192741497343,40.433191580454,0.005555164789593,0,0.0026603610178135,3.0002222052077e-62,0,0,0.003000844186654,2.1274431761106e-66
1.85e-06,18.707179217189,41.578615586877,0.006024271347329,0,0.002877464832116,1.9270571717726e-61,0,0,0.0032579466896963,8.5389707413576e-66
1.9e-06,19.23743034763,42.761346425897,0.0065193512229175,0,0.0031054312472348,6.9033345823451e-61,0,0,0.0035300318535526,4.951380264103e-65
1.95e-06,19.778717727832,43.969206875405,0.0070407529424969,0,0.003344438536305,4.4180629350494e-60,0,0,0.0038173291346267,2.0933504523864e-64
2e-06,20.315419824768,45.165450427863,0.0075881992857214,0,0.0035946717990092,1.7212633668612e-59,0,0,0.0041195700560621,1.0064259741926e-63
2.05e-06,20.837973651994,46.327886673727,0.0081617014021668,0,0.0038563265500919,8.3809075114482e-59,0,0,0.0044366896453333,4.8464442228022e-63
2.1e-06,21.352229638644,47.470231669159,0.0087621438501964,0,0.0041295892236297,4.1530658430366e-58,0,0,0.0047693034294232,1.919157903432e-62
2.15e-06,21.872313954036,48.625376415435,0.0093909351072065,0,0.0044146278789148,1.4937306640975e-57,0,0,0.0051184549453602,9.8877991345407e-62
2.2e-06,22.405538702499,49.81054126913,0.010049115820174,0,0.0047115943579797,8.3960857736025e-57,0,0,0.0054849273186556,3.7025476074288e-61
2.25e-06,22.945336621668,51.011112027826,0.010736873423802,0,0.005020628911506,2.9245550128112e-56,0,0,0.0058688576910802,1.7456711662712e-60
2.3e-06,23.478817875331,52.19805511035,0.011453956686058,0,0.0053418732527591,1.3835824206095e-55,0,0,0.0062700360426736,7.1572649381291e-60
2.35e-06,24.000202814765,53.358521380425,0.012200529490777,0,0.0056754758412366,5.9229178919625e-55,0,0,0.0066885560674174,2.7928967248017e-59
2.4e-06,24.516116983872,54.507521144715,0.012977560489896,0,0.0060215744603054,2.0798281406123e-54,0,0,0.0071251378391297,1.2795460355298e-58
2.45e-06,25.03806581735,55.670399240336,0.013786357547997,0,0.0063802878151696,1.0403186936198e-53,0,0,0.0075807861607957,4.4480250088128e-58
2.5e-06,25.570691842224,56.856309536692,0.014627761136374,0,0.0067517243297786,3.4182713253379e-53,0,0,0.0080561648098061,1.9819463632079e-57
2.55e-06,26.107902606906,58.050318544434,0.015501847104026,0,0.0071359839308061,1.4832332482472e-52,0,0,0.0085513603222752,7.4119799111526e-57
2.6e-06,26.639982197039,59.230552652092,0.016408424657205,0,0.0075331667306622,5.9952453999942e-52,0,0,0.0090662466141942,2.6990062079268e-56
2.65e-06,27.163525272514,60.390907652506,0.017347781330227,0,0.0079433800218233,1.921130704297e-51,0,0,0.0096010455024858,1.1745376059394e-55
2.7e-06,27.68401928799,61.545913726061,0.018320896647006,0,0.0083667200454077,9.0660221169226e-51,0,0,0.010156512278316,3.7423027616901e-55
2.75e-06,28.209287504744,62.714427858113,0.019328927275428,0,0.0088032675986318,2.8686372142837e-50,0,0,0.01073355502433,1.5499178720191e-54
2.8e-06,28.741338319556,63.900444868059,0.020372527709406,0,0.0092530999267832,1.0742403802451e-49,0,0,0.01133270941107,5.7380881481284e-54
2.85e-06,29.274966433899,65.090510770058,0.021451712204991,0,0.0097162875036945,4.5320805128109e-49,0,0,0.011954033309286,1.7959891365063e-53
2.9e-06,29.803787887871,66.268717794016,0.022566369082794,0,0.010192901921777,1.2584770392797e-48,0,0,0.012597483219219,7.8381597154572e-53
2.95e-06,30.326848920657,67.432589400554,0.0237168677746,0,0.010683022316316,5.5160561226054e-48,0,0,0.01326336468274,2.4161276334222e-52
3e-06,30.849093091849,68.593987226887,0.024904137767109,0,0.011186716089467,1.9024107162697e-47,0,0,0.01395241340581,8.2899106536588e-52
3.05e-06,31.375833908715,69.765758292888,0.02612917069678,0,0.011704039663298,5.3424464320755e-47,0,0,0.01466542643954,3.4134135593135e-51
3.1e-06,31.907356197487,70.948924360545,0.027392487989082,0,0.01223504962553,2.4776661318085e-46,0,0,0.015402856214937,9.2217699225713e-51
3.15e-06,32.438989664003,72.133012931779,0.028694116423852,0,0.012779795826075,6.995068176869e-46,0,0,0.016164796361887,3.5577156552162e-50
3.2e-06,32.966011129224,73.307676523416,0.030034061176527,0,0.013338330534673,2.1774442695177e-45,0,0,0.016951318149829,1.296208862431e-49
3.25e-06,33.488081952677,74.472832299741,0.031412767189687,0,0.013910712681984,9.7088008057362e-45,0,0,0.017762803381126,3.2907908499893e-49
3.3e-06,34.009027291858,75.637564328235,0.032831107752269,0,0.014496989680794,2.3337933348566e-44,0,0,0.018599955384687,1.3821899150041e-48
3.35e-06,34.532790803121,76.810256542502,0.034289944261936,0,0.01509720250744,8.2557501020394e-44,0,0,0.019463478396962,4.3886654018216e-48
3.4e-06,35.059923907248,77.990647756939,0.035789727536646,0,0.015711393186959,3.3732977639571e-43,0,0,0.020353784202945,1.1045350604367e-47
3.45e-06,35.58780026658,79.171204491979,0.037330531035132,0,0.016339596160466,7.2089822097567e-43,0,0,0.021271020857371,4.8292686737009e-47
3.5e-06,36.113723074994,80.345215635571,0.038912444352642,0,0.01698184816492,2.8490636595923e-42,0,0,0.022215337707165,1.3519793003812e-46
