time,max_disp_x
0,0
0.01,8.8818965721472e-07
0.02,3.4377778762379e-06
0.03,7.6170020810213e-06
0.04,1.3368359160414e-05
0.05,2.0625567871158e-05
0.06,2.9242462475998e-05
0.07,3.9103618455388e-05
0.08,5.0048441411339e-05
0.09,6.1899184850888e-05
0.1,7.4476670507092e-05
0.11,8.7577434050312e-05
0.12,0.00010099610289062
0.13,0.00011452248696972
0.14,0.00012794125826845
0.15,0.00014104214579887
0.16,0.00015361828793381
0.17,0.00016547094962486
0.18,0.00017641379095519
0.19,0.00018627388954135
0.2,0.000194895792529
0.21,0.00020214364235872
0.22,0.00020790295113788
0.23,0.00021208295208824
0.24,0.00021461767623973
0.25,0.0002154670675095
0.26,0.00021560205798501
0.27,0.00021573431580731
0.28,0.0002158238176614
0.29,0.00021588624411705
0.3,0.00021597598319998
0.31,0.00021605859746499
0.32,0.00021612635524483
0.33,0.00021618025449231
0.34,0.00021622847655214
0.35,0.00021631011609357
0.36,0.00021640374565158
0.37,0.00021658218895199
0.38,0.00021707338260903
0.39,0.0002187303374854
0.4,0.00022330066288249
0.41,0.00023251932208546
0.42,0.00024960048325254
0.43,0.00026788239674321
0.44,0.00028543918089917
0.45,0.00030110736073185
0.46,0.00031418979225121
0.47,0.00032429929223052
0.48,0.00033224411929094
0.49,0.00033837073049699
0.5,0.00034233378491886
0.51,0.00034552419997042
0.52,0.00035431661764916
0.53,0.00038229351765722
0.54,0.00040577731623396
0.55,0.00042532582802405
0.56,0.00044198608334394
0.57,0.00045564608693049
0.58,0.00046610691897661
0.59,0.00047307881925304
0.6,0.0004751606795618
0.61,0.00047107954987464
0.62,0.00046104115952727
0.63,0.00044550186553986
0.64,0.00042425441749514
0.65,0.00039778359867521
