time,max_disp_x
0,0
0.01,8.8818555368014e-07
0.02,3.4377609009368e-06
0.03,7.6169640931379e-06
0.04,1.3368292599574e-05
0.05,2.0625464884149e-05
0.06,2.9242316408349e-05
0.07,3.9103423139906e-05
0.08,5.0048191278122e-05
0.09,6.1898875499905e-05
0.1,7.4476298260572e-05
0.11,8.7576996261078e-05
0.12,0.00010099559803058
0.13,0.00011452191445444
0.14,0.00012794061864921
0.15,0.00014104144067962
0.16,0.00015361751991529
0.17,0.00016547012234008
0.18,0.00017641290895012
0.19,0.00018627295822367
0.2,0.00019489481809773
0.21,0.00020214263167952
0.22,0.00020790191165554
0.23,0.00021208189170436
0.24,0.0002146166031825
0.25,0.00021546599021363
0.26,0.00021560097983536
0.27,0.00021573323723428
0.28,0.00021582274035271
0.29,0.00021588516948397
0.3,0.00021597490248728
0.31,0.00021605752684051
0.32,0.00021612530316439
0.33,0.00021617931422116
0.34,0.00021622797786076
0.35,0.00021631276577149
0.36,0.00021642267520945
0.37,0.00021667220559463
0.38,0.00021753653585265
0.39,0.00022074031254662
0.4,0.0002381597949131
0.41,0.00027238565975987
0.42,0.00030455433798671
0.43,0.00033431208739257
0.44,0.00036128713339191
0.45,0.00038511307936935
0.46,0.00040555053094486
0.47,0.00042254197354995
0.48,0.00043615190477424
0.49,0.00044651795875038
0.5,0.00045376959954471
0.51,0.00045799617495653
0.52,0.00045923001995853
0.53,0.00045748937190579
0.54,0.00045292050259844
0.55,0.00044595980265665
0.56,0.00043745787609625
0.57,0.00043711420914665
0.58,0.00043706569799827
0.59,0.00043693277477031
0.6,0.00043704794412543
0.61,0.0004370131101457
0.62,0.0004370579210756
0.63,0.00043709721274562
0.64,0.00043726515937178
0.65,0.00043783165159607
