time,max_disp_x
0,0
0.01,8.8818968885574e-07
0.02,3.4377766638145e-06
0.03,7.6170017492902e-06
0.04,1.3368360512513e-05
0.05,2.0625563676986e-05
0.06,2.9242456809958e-05
0.07,3.9103598839446e-05
0.08,5.0048414669755e-05
0.09,6.1899159443004e-05
0.1,7.4476637079422e-05
0.11,8.757738195809e-05
0.12,0.00010099603111166
0.13,0.00011452239401898
0.14,0.00012794113336105
0.15,0.00014104197809262
0.16,0.00015361808131827
0.17,0.0001654707097214
0.18,0.00017641351415396
0.19,0.00018627357408872
0.2,0.00019489544549229
0.21,0.00020214327391237
0.22,0.00020790256907078
0.23,0.00021208256125012
0.24,0.00021461727773437
0.25,0.00021546665635697
0.26,0.00021560162245812
0.27,0.00021573384613927
0.28,0.0002158233066743
0.29,0.00021588579288157
0.3,0.00021597558407993
0.31,0.00021605825109352
0.32,0.00021612603485322
0.33,0.00021617979325819
0.34,0.0002162273289751
0.35,0.00021630444420161
0.36,0.00021637373746375
0.37,0.00021644850192204
0.38,0.00021659767176518
0.39,0.00021710037336353
0.4,0.00022737408048992
0.41,0.00025438625026714
0.42,0.00028072498627469
0.43,0.0003059250714892
0.44,0.00032966855141889
0.45,0.0003516708321023
0.46,0.00037158812471527
0.47,0.00038905256359444
0.48,0.00040377464304492
0.49,0.00041559271723632
0.5,0.0004244513968942
0.51,0.00043039681735978
0.52,0.00043363784634356
0.53,0.0004346188129216
0.54,0.00043401805726966
0.55,0.0004326766989653
0.56,0.00043299838362977
0.57,0.00043327291852177
0.58,0.00043310806768745
0.59,0.00043320111248042
0.6,0.00043323835010058
0.61,0.00043325512863569
0.62,0.00043329529293006
0.63,0.0004333465413087
0.64,0.00043342824904193
0.65,0.00043361378787956
