time,max_disp_x
0,0
0.01,8.3385028303608e-07
0.02,3.2169753763898e-06
0.03,7.1259078139524e-06
0.04,1.2507682140206e-05
0.05,1.929475961006e-05
0.06,2.7356215815538e-05
0.07,3.6581427707256e-05
0.08,4.6819329898608e-05
0.09,5.7906301325643e-05
0.1,6.9672304796216e-05
0.11,8.1927973157112e-05
0.12,9.4481563489368e-05
0.13,0.00010713539872423
0.14,0.00011968887648349
0.15,0.00013194491771872
0.16,0.00014370982580187
0.17,0.00015479802593813
0.18,0.00016503490005776
0.19,0.00017425880385424
0.2,0.00018232437686484
0.21,0.00018910440424594
0.22,0.00019449188359288
0.23,0.00019840188845976
0.24,0.00020077272764471
0.25,0.00020156702529117
0.26,0.00020168972590146
0.27,0.00020181195883926
0.28,0.00020190663878673
0.29,0.00020198679638338
0.3,0.00020205783664328
0.31,0.00020212246208091
0.32,0.00020218231320225
0.33,0.00020224090228839
0.34,0.00020231265320343
0.35,0.00020245350842211
0.36,0.00020284443768912
0.37,0.0002041117225244
0.38,0.00020842123881057
0.39,0.00021828663204381
0.4,0.00023335915649347
0.41,0.00025100746011774
0.42,0.00026834162864429
0.43,0.00028404426700011
0.44,0.00029757309346955
0.45,0.00030887319000965
0.46,0.00031769164068037
0.47,0.00032395862262661
0.48,0.00032767212068165
0.49,0.00032896266736422
0.5,0.00032829038921742
0.51,0.0003271339838124
0.52,0.0003273608066977
0.53,0.00032754141714253
0.54,0.0003273643105732
0.55,0.00032744141945509
0.56,0.00032740954032444
0.57,0.00032744295815232
0.58,0.00032752229159411
0.59,0.00032781731209756
0.6,0.00032864996017862
0.61,0.00033128591336402
0.62,0.00033941724294504
0.63,0.00035445114012048
0.64,0.00037186787453449
0.65,0.00038869890311023
