time,max_disp_x
0,0
0.01,8.3381794325771e-07
0.02,3.2168643469306e-06
0.03,7.125667829612e-06
0.04,1.250725952364e-05
0.05,1.9294106258495e-05
0.06,2.7355288892168e-05
0.07,3.6580187828448e-05
0.08,4.6817742346199e-05
0.09,5.7904337529822e-05
0.1,6.9669941697088e-05
0.11,8.1925193956183e-05
0.12,9.4478358273168e-05
0.13,0.00010713176397776
0.14,0.00011968481561281
0.15,0.00013194044089317
0.16,0.00014370494960867
0.17,0.00015479277338292
0.18,0.00016502930003992
0.19,0.00017425289074532
0.2,0.00018231819002532
0.21,0.0001890979872995
0.22,0.00019448528379094
0.23,0.00019839515593475
0.24,0.00020076591460646
0.25,0.000201560185236
0.26,0.00020168288052541
0.27,0.00020180510734759
0.28,0.00020189978429061
0.29,0.00020197994082596
0.3,0.00020205099699528
0.31,0.00020211560681747
0.32,0.00020217544818756
0.33,0.0002022341217624
0.34,0.00020230622226586
0.35,0.00020244950946837
0.36,0.00020285269731868
0.37,0.00020423953920981
0.38,0.00020964992535077
0.39,0.00022992008842339
0.4,0.00025170188081212
0.41,0.00027274361953187
0.42,0.00029457779172387
0.43,0.00031806897196588
0.44,0.00034420652384
0.45,0.00036863229232132
0.46,0.00038939592900445
0.47,0.00040541365777054
0.48,0.00041637364567658
0.49,0.00042240534872683
0.5,0.00042395953942531
0.51,0.00042156110119608
0.52,0.00041581878223692
0.53,0.00040791201607884
0.54,0.0004283549152803
0.55,0.0004467209300067
0.56,0.00046246530066362
0.57,0.00047504451183715
0.58,0.00048440838701929
0.59,0.00049081162436804
0.6,0.00049463574291803
0.61,0.00049619272513301
0.62,0.00049588048722778
0.63,0.00049411566573162
0.64,0.0004910454214768
0.65,0.00048659763769799
