time,max_disp_x
0,0
0.01,2.7814718977223e-17
0.02,1.1214002787788e-16
0.03,1.3274877349152e-16
0.04,1.793122593188e-16
0.05,3.0165403231797e-16
0.06,3.1668349250779e-16
0.07,3.861590301637e-16
0.08,3.8205659037091e-16
0.09,5.7739023687762e-16
0.1,7.9484466375491e-16
0.11,8.7059413142763e-16
0.12,2.1276341092018e-15
0.13,1.3297645347715e-14
0.14,7.9310798150215e-14
0.15,4.4193684857421e-13
0.16,2.2735336223168e-12
0.17,1.0752209654495e-11
0.18,4.678048759027e-11
0.19,1.8727849076065e-10
0.2,6.9023778726146e-10
0.21,2.3468030065597e-09
0.22,7.3726360371629e-09
0.23,2.1429296938842e-08
0.24,5.7690029738417e-08
0.25,1.4397610188913e-07
0.26,3.3335731401399e-07
0.27,7.1658228627483e-07
0.28,1.4311235980685e-06
0.29,2.6578309380471e-06
0.3,4.5956830985553e-06
0.31,7.4123461496447e-06
0.32,1.1183943461747e-05
0.33,1.5853614117913e-05
0.34,2.1238443300184e-05
0.35,2.7103226995486e-05
0.36,3.325643293231e-05
0.37,3.9606049361445e-05
0.38,4.6141091573492e-05
0.39,5.2851036309579e-05
0.4,5.9649327956707e-05
0.41,6.6368468421478e-05
0.42,7.2827867468178e-05
0.43,7.8905016245824e-05
0.44,8.4541288522425e-05
0.45,8.9687588544887e-05
0.46,9.4261218091934e-05
0.47,9.8154077604617e-05
0.48,0.00010128074655417
0.49,0.00010360974815601
0.5,0.00010514983805896
0.51,0.00010593000867381
0.52,0.00010601163041065
0.53,0.00010551929886194
0.54,0.00010464867713495
0.55,0.00010363207381001
0.56,0.00010267808508158
0.57,0.00010191243548876
0.58,0.00010134214144991
0.59,0.00010086368255421
0.6,0.00010032585257866
0.61,9.9623006899086e-05
0.62,9.8758457216911e-05
0.63,9.7827182247516e-05
0.64,9.6929472459996e-05
0.65,9.608922732473e-05
