time,max_disp_x
0,0
0.01,8.8819042348012e-07
0.02,3.4378091827976e-06
0.03,7.6171414760566e-06
0.04,1.336872144654e-05
0.05,2.0626308198722e-05
0.06,2.9243773325858e-05
0.07,3.9105695829642e-05
0.08,5.0051499129374e-05
0.09,6.190341847085e-05
0.1,7.4482245323703e-05
0.11,8.7584477651491e-05
0.12,0.0001010047024339
0.13,0.00011453268222627
0.14,0.00012795302849763
0.15,0.00014105542335515
0.16,0.00015363296584721
0.17,0.00016548687374552
0.18,0.00017643076816615
0.19,0.00018629170957474
0.2,0.00019491424686905
0.21,0.00020216252875606
0.22,0.00020792207374485
0.23,0.00021210213280525
0.24,0.00021463676797723
0.25,0.00021548596511181
0.26,0.00021562074276576
0.27,0.00021575292217181
0.28,0.00021584232984774
0.29,0.00021590460715674
0.3,0.00021599414213276
0.31,0.00021607664404487
0.32,0.0002161443725106
0.33,0.00021619824287352
0.34,0.00021624635418564
0.35,0.00021632891634689
0.36,0.0002164279093571
0.37,0.00021663114354674
0.38,0.0002172671958923
0.39,0.00021953750712337
0.4,0.00022803584952474
0.41,0.00025188183968527
0.42,0.00027509758217405
0.43,0.00029769770840636
0.44,0.00032061557741497
0.45,0.00034804894963937
0.46,0.00037569842309589
0.47,0.00040160729069315
0.48,0.00042354580905469
0.49,0.00044027059803529
0.5,0.00045153085752471
0.51,0.00045736820416352
0.52,0.00045824433970011
0.53,0.00045479465738238
0.54,0.00044750487225668
0.55,0.00046270694402754
0.56,0.00049277023030951
0.57,0.00052204767600603
0.58,0.00055024168756819
0.59,0.00057655943699949
0.6,0.00060075022615698
0.61,0.00062331441104573
0.62,0.00064484030302566
0.63,0.00066563596146759
0.64,0.0006861961784712
0.65,0.00070704039075645
