time,DJint,Jint,tip,tip_adv,tip_cum
0,0,0,0,0,0
1,6.168736493839e-10,6.5779409003097e-10,0,0,0
2,1.8543873731014e-07,1.9639544900085e-07,0,0,0
3,1.2030272980745e-05,1.2644897893072e-05,0,0,0
4,0.00029039655221763,0.00030303988406058,0,0,0
5,0.0032055334383415,0.0033197056423601,0,0,0
6,0.017789946555873,0.018265540108703,0,0,0
7,0.051637895648062,0.052496289578488,0,0,0
8,0.07916635924318,0.079659892569663,0,0,0
9,0.065710059466743,0.06576357203384,0,0,0
10,0.036397146352145,0.036717470913644,0,0,0
11,0.026613697264105,0.026778049134651,0,0,0
12,0.034886613607297,0.034907019233331,0,0,0
13,0.042353656701569,0.042341864004817,0,0,0
14,0.041330508402671,0.041253821981518,0,0,0
15,0.048148698110192,0.048195235887736,0,0,0
16,0.072251423886725,0.072612266879482,0,0,0
17,0.10612341409263,0.10669539200414,0,0,0
18,0.14527476380529,0.14587747629754,0,0,0
19,0.18914300606139,0.18951248735874,0,0,0
20,0.21292478840746,0.21292137771572,0,0,0
21,0.19427253063543,0.19442095599467,0,0,0
22,0.15638722278922,0.1569386487164,0,0,0
23,0.13308294167208,0.13348299461535,0,0,0
24,0.13593976411855,0.13587087801977,0,0,0
25,0.16126292907324,0.16106233822443,0,0,0
26,0.19404873311821,0.19401208161129,0,0,0
27,0.21892558864905,0.21914229743408,0,0,0
28,0.241262501373,0.24179414393336,0,0,0
29,0.27773824389114,0.27833484360689,0,0,0
30,0.32465225518433,0.32503958022411,0,0,0
31,0.35012951143451,0.35021295536212,0,0,0
32,0.33044484974353,0.33043319663905,0,0,0
33,0.2833279676503,0.28364859131604,0,0,0
34,0.24476992730283,0.24534065322191,0,0,0
35,0.23408059847434,0.23434989946278,0,0,0
36,0.2521890489998,0.25206145539072,0,0,0
37,0.2920258332016,0.29188448969795,0,0,0
38,0.3415779990601,0.34162345154956,0,0,0
39,0.38496888943468,0.385250990482,0,0,0
40,0.41316401030121,0.41363295135122,0,0,0
41,0.43180613829915,0.43217382207499,0,0,0
42,0.44678133657231,0.44685194092674,0,0,0
43,0.44751930345695,0.44746293896282,0,0,0
44,0.41867753745595,0.41878749913885,0,0,0
45,0.36766993307107,0.36804364535133,0,0,0
46,0.32425784999502,0.3246306396256,0,0,0
47,0.31299701917854,0.31308220525861,0,0,0
48,0.33724757309209,0.33724380782121,0,0,0
49,0.38129502079947,0.38149339567241,0,0,0
50,0.42151806895854,0.42182910351399,0,0,0
51,0.44273951361928,0.4430113192296,0,0,0
52,0.44560712915218,0.44579102597198,0,0,0
53,0.43813831079114,0.43814656664958,0,0,0
54,0.42465666014314,0.42455585438175,0,0,0
55,0.40407536469805,0.40413365375254,0,0,0
56,0.37577835213012,0.37607150700468,0,0,0
57,0.34528322048653,0.34558605664347,0,0,0
58,0.32459505722708,0.32467317541418,0,0,0
59,0.32689183927999,0.32677384784434,0,0,0
60,0.35883009366558,0.35885229117475,0,0,0
61,0.41374970169597,0.41418869567859,0,0.75,0.75
62,0.4697368647816,0.47039170818403,0.75,0.75,1.5
63,1.3551784892322,1.4756549852228,1.5,0.75,2.25
64,2.2011072759458,2.5762347720026,2.25,0.75,3
65,2.85628890148,3.333708157589,3,0.75,3.75
66,3.5769703634549,4.1115646319593,3.75,0.75,4.5
67,4.1845418774997,4.6844446497693,4.5,0.75,5.25
68,4.7584556965035,5.2629181382154,5.25,0.75,6
69,5.3206696607187,5.8951540774603,6,0.75,6.75
70,5.8750189843677,6.5883634705397,6.75,0.75,7.5
71,6.4144014932159,7.2722937428676,7.5,0.75,8.25
72,6.7828913981264,7.7633873343369,8.25,0.75,9
73,7.0338298717775,8.1693760099595,9,0.75,9.75
74,7.138297339613,8.3650851434156,9.75,0.75,10.5
75,7.1575216311123,8.3204140697187,10.5,0.75,11.25
76,7.1748252507436,8.1462537967285,11.25,0.75,12
77,7.1402801229099,7.8200234791523,12,0.75,12.75
78,7.1040941687378,7.4605217470968,12.75,0.75,13.5
79,7.0920232003131,7.1963057581717,13.5,0.75,14.25
80,7.0992374016755,7.0689001283362,14.25,0.75,15
81,7.1196788555013,7.071965266661,15,0.75,15.75
82,7.1628806309858,7.1830802260381,15.75,0.75,16.5
83,7.2643304912017,7.3939432869498,16.5,0.75,17.25
84,7.3645432790119,7.6307365773847,17.25,0.75,18
85,7.4278727603817,7.8199962131033,18,0.75,18.75
86,7.5313640863095,7.970288376424,18.75,0.75,19.5
87,7.7135152837499,8.1180276023241,19.5,0.75,20.25
88,7.9077262237323,8.2400587189618,20.25,0.75,21
89,8.0426733255965,8.2884301957681,21,0.75,21.75
90,8.1255884876864,8.3032067739244,21.75,0.75,22.5
91,8.1670659851981,8.3351912483663,22.5,0.75,23.25
92,8.1797290305153,8.3450931336747,23.25,0.75,24
93,8.2103075660402,8.3045245998374,24,0.75,24.75
94,8.2546325165545,8.261730143417,24.75,0.75,25.5
95,8.2597680869743,8.2675353223768,25.5,0.75,26.25
96,8.1985039729045,8.3045604223907,26.25,0.75,27
