time,DJint,Jint,tip,tip_adv,tip_cum
0,0,0,0,0,0
1,8.2727189681941e-11,8.8553470112274e-11,0,0,0
2,2.6342339226604e-08,2.7937388846766e-08,0,0,0
3,1.8319716447862e-06,1.9282878813039e-06,0,0,0
4,4.7592952198916e-05,4.9742374472382e-05,0,0,0
5,0.00056816568508997,0.00058943055896168,0,0,0
6,0.0034301024805639,0.003528675249249,0,0,0
7,0.01089735151823,0.011101060350435,0,0,0
8,0.018329371185121,0.018471803086712,0,0,0
9,0.016358084869762,0.0163603023096,0,0,0
10,0.0087518058496316,0.0088172399431976,0,0,0
11,0.0051074115500445,0.0051720302483897,0,0,0
12,0.0061229277840277,0.0061233609763337,0,0,0
13,0.0081569217855978,0.0081446787344875,0,0,0
14,0.0083532755951992,0.0082966221688822,0,0,0
15,0.0092488600998627,0.0091761018263443,0,0,0
16,0.01341261702914,0.013400863309259,0,0,0
17,0.019686252515037,0.01976170835756,0,0,0
18,0.027015667025718,0.02713700539367,0,0,0
19,0.036115991495062,0.036243761890681,0,0,0
20,0.042400380283829,0.042465410511318,0,0,0
21,0.038838471230532,0.038840281918822,0,0,0
22,0.028649473133289,0.028692794244992,0,0,0
23,0.020288836392902,0.020377928768386,0,0,0
24,0.017494257722464,0.017523239523796,0,0,0
25,0.020695437696261,0.020651202122601,0,0,0
26,0.028681002037986,0.028624900056307,0,0,0
27,0.037367761616732,0.037321252595447,0,0,0
28,0.043677403293082,0.043712956656146,0,0,0
29,0.050214018959235,0.050357278521938,0,0,0
30,0.060572560173621,0.060740803623347,0,0,0
31,0.072190045397587,0.072304935617675,0,0,0
32,0.076479738577455,0.076473390935455,0,0,0
33,0.068762359422698,0.068672601426188,0,0,0
34,0.054655590768388,0.054645894309138,0,0,0
35,0.043088230952982,0.043193959229285,0,0,0
36,0.038892798374607,0.038952860787111,0,0,0
37,0.043326321715945,0.043259981694212,0,0,0
38,0.05582328549336,0.055743826915261,0,0,0
39,0.072464777295727,0.072467882296199,0,0,0
40,0.086141260986193,0.086221134275012,0,0,0
41,0.092732672072562,0.092860379260937,0,0,0
42,0.094595734101246,0.094689612090125,0,0,0
43,0.094850100361859,0.09484307167062,0,0,0
44,0.091534074606844,0.091473146901839,0,0,0
45,0.080711751654687,0.08066145896454,0,0,0
46,0.064235700562925,0.064262934910922,0,0,0
47,0.049913787810942,0.050034188187107,0,0,0
48,0.044242508234821,0.044315988743636,0,0,0
49,0.049064942707381,0.049012587918599,0,0,0
50,0.062383707133231,0.062321576654541,0,0,0
51,0.078332062779215,0.078349866348872,0,0,0
52,0.089874590435952,0.089947763125432,0,0,0
53,0.093943348945141,0.094027633995256,0,0,0
54,0.092166211984023,0.092204938802635,0,0,0
55,0.087262975746333,0.08722761667247,0,0,0
56,0.08027705930945,0.080226131939167,0,0,0
57,0.070946726986491,0.070935856097639,0,0,0
58,0.060002255081358,0.060031985798134,0,0,0
59,0.050576633963067,0.050636503580956,0,0,0
60,0.046987406246201,0.047015273864352,0,0,0
61,0.052658260997656,0.052607805829343,0,0.5,0.5
62,0.068318181771348,0.068311831577351,0.5,0.5,1
63,0.2070777848342,0.22202867086007,1,0.5,1.5
64,0.39338896223193,0.44145579533704,1.5,0.5,2
65,0.55448421963414,0.61753405407924,2,0.5,2.5
66,0.69969170421398,0.76161479441481,2.5,0.5,3
67,0.81360894230888,0.85918299484494,3,0.5,3.5
68,0.90677789350691,0.9365020450813,3.5,0.5,4
69,0.99294500074814,1.0193375178371,4,0.5,4.5
70,1.0759013357899,1.1154573042009,4.5,0.5,5
71,1.1536331327338,1.2124095436273,5,0.5,5.5
72,1.2337220453217,1.3095317709405,5.5,0.5,6
73,1.3271913137214,1.4193319385424,6,0.5,6.5
74,1.4264219028442,1.5343861777969,6.5,0.5,7
75,1.5141239887642,1.6358354142506,7,0.5,7.5
76,1.586163041019,1.7066773976812,7.5,0.5,8
77,1.6538877206146,1.7448885875977,8,0.5,8.5
78,1.7374450715114,1.7831677395569,8.5,0.5,9
79,1.837567750822,1.8467289281638,9,0.5,9.5
80,1.9134173969335,1.9159208712748,9.5,0.5,10
81,1.949277610787,1.9637559859339,10,0.5,10.5
82,1.9761006436933,1.9943965714927,10.5,0.5,11
83,1.9940685799527,2.0151632967745,11,0.5,11.5
84,1.9976521165203,2.0151010453057,11.5,0.5,12
85,1.9828199599445,1.9958721134342,12,0.5,12.5
86,1.9807496699373,1.9986406580401,12.5,0.5,13
87,1.998738339992,2.0215364421746,13,0.5,13.5
88,2.026266565119,2.0436211472786,13.5,0.5,14
89,2.0613255233702,2.0715017202693,14,0.5,14.5
90,2.09909346619,2.1003913320281,14.5,0.5,15
91,2.1210871776436,2.1182201861721,15,0.5,15.5
