time,DJint,Jint,tip,tip_adv,tip_cum
0,0,0,0,0,0
1,3.2992336076662e-12,3.530050600789e-12,0,0,0
2,1.0542271114238e-09,1.1180354725793e-09,0,0,0
3,7.3320508195678e-08,7.7175333976741e-08,0,0,0
4,1.904981421975e-06,1.991015074098e-06,0,0,0
5,2.2743302877108e-05,2.3594512975287e-05,0,0,0
6,0.00013729946790434,0.00014124499940076,0,0,0
7,0.00043608598977758,0.00044423671571238,0,0,0
8,0.00073310764957703,0.00073879952532804,0,0,0
9,0.00065378022850674,0.00065386701515568,0,0,0
10,0.00034958982429429,0.00035221265444833,0,0,0
11,0.00020413912076593,0.00020672020467712,0,0,0
12,0.00024493847103915,0.00024495450700284,0,0,0
13,0.00032625067861202,0.00032575817869068,0,0,0
14,0.00033407524703115,0.00033180360714757,0,0,0
15,0.00037010325821339,0.00036719214053496,0,0,0
16,0.00053695381034313,0.00053649383594212,0,0,0
17,0.0007881692337682,0.0007911991846637,0,0,0
18,0.0010816581674757,0.0010865205007054,0,0,0
19,0.0014455683648681,0.0014506776940637,0,0,0
20,0.0016954694778732,0.0016980542225856,0,0,0
21,0.0015509929215453,0.0015510605717144,0,0,0
22,0.0011429795294446,0.0011447294666202,0,0,0
23,0.00080967262193814,0.00081323868020695,0,0,0
24,0.00069950040995929,0.00070063719777827,0,0,0
25,0.00082911565292973,0.00082733110476271,0,0,0
26,0.0011494715393183,0.0011472196522732,0,0,0
27,0.0014967162092738,0.0014948667079665,0,0,0
28,0.0017488091766701,0.0017502781205912,0,0,0
29,0.0020111717181638,0.0020169383962858,0,0,0
30,0.0024266276378943,0.0024333565156334,0,0,0
31,0.0028898565045778,0.0028944146414324,0,0,0
32,0.0030564199454534,0.003056105813604,0,0,0
33,0.0027428807890936,0.0027392856879823,0,0,0
34,0.0021779094209341,0.002177590191874,0,0,0
35,0.0017183476226095,0.0017226034398967,0,0,0
36,0.0015553298679397,0.0015576635309034,0,0,0
37,0.0017378706913046,0.0017351594554254,0,0,0
38,0.0022419519142315,0.0022387956785716,0,0,0
39,0.002908279935463,0.0029084564569182,0,0,0
40,0.0034518401372119,0.0034550878604103,0,0,0
41,0.0037111696514505,0.0037163013986093,0,0,0
42,0.0037832229027912,0.0037869239593756,0,0,0
43,0.003790970808747,0.0037906212093888,0,0,0
44,0.0036530944626019,0.0036506398841389,0,0,0
45,0.0032142431272777,0.0032122673440999,0,0,0
46,0.0025543274502793,0.0025555106561578,0,0,0
47,0.0019873479733241,0.0019921927107119,0,0,0
48,0.0017697990681906,0.0017726193856084,0,0,0
49,0.0019721658111993,0.0019699789068891,0,0,0
50,0.0025113423753807,0.0025089025875774,0,0,0
51,0.0031490902060255,0.0031498843734269,0,0,0
52,0.0036044680476024,0.0036074404589122,0,0,0
53,0.0037594063651097,0.0037627657841778,0,0,0
54,0.003682547830073,0.0036840120273209,0,0,0
55,0.0034825119843864,0.0034810291620276,0,0,0
56,0.0031993530508832,0.0031973421086292,0,0,0
57,0.0028228879121632,0.0028225175794952,0,0,0
58,0.0023852961230102,0.002386543045084,0,0,0
59,0.0020143075887087,0.0020167066557101,0,0,0
60,0.0018819507413304,0.0018829519427436,0,0,0
61,0.0021227162077328,0.0021206439804836,0,1,1
62,0.0027606051585565,0.002760515379546,1,1,2
63,0.0099277562491596,0.011381919573892,2,1,3
64,0.016779355172748,0.022171914814501,3,1,4
65,0.022548148987876,0.030555262843583,4,1,5
66,0.029436584028284,0.039535772063015,5,1,6
67,0.03557378189467,0.045749454306091,6,1,7
68,0.041763707407659,0.051576103076822,7,1,8
69,0.048942338732334,0.059045258208266,8,1,9
70,0.055078365522317,0.06596718114226,9,1,10
71,0.059846299567914,0.071266279473568,10,1,11
72,0.063154345753358,0.073732703940284,11,1,12
73,0.065482192853269,0.074541836785316,12,1,13
74,0.06696742280042,0.075282623820075,13,1,14
75,0.067736833034422,0.075944982383422,14,1,15
76,0.069133815298537,0.07597238369436,15,1,16
77,0.072239811887367,0.075918193024525,16,1,17
78,0.075440660280931,0.076818401450585,17,1,18
79,0.078455962864679,0.07900067131793,18,1,19
80,0.080775578638601,0.08132494552786,19,1,20
81,0.081753645421935,0.082821503653235,20,1,21
82,0.082281504404393,0.083754071417242,21,1,22
83,0.082782224366604,0.084204032184572,22,1,23
84,0.083026140356338,0.083941054551524,23,1,24
85,0.083085711334467,0.083332714701378,24,1,25
86,0.083005390971793,0.082999196673066,25,1,26
87,0.082957261692691,0.083124924022188,26,1,27
88,0.082862786853131,0.083459074168891,27,1,28
89,0.082470966295069,0.083679014108285,28,1,29
90,0.082907739404049,0.084169446177142,29,1,30
91,0.084248210241326,0.08536413070416,30,1,31
92,0.085076952434182,0.08635675810313,31,1,32
93,0.085332412045141,0.086491062097432,32,1,33
94,0.085164720677146,0.085980035667156,33,1,34
95,0.084636318882401,0.085215138699902,34,1,35
96,0.084043522072033,0.084586675862768,35,1,36
97,0.083584365689829,0.084106564826251,36,1,37
98,0.083620106538265,0.083952260325194,37,1,38
99,0.084219029950076,0.084253745238722,38,1,39
100,0.085038622534113,0.084964136125938,39,1,40
101,0.085657048914901,0.085778166920474,40,1,41
102,0.085866518624014,0.086358801839343,41,1,42
103,0.085611568088085,0.086550854982953,42,1,43
104,0.084826595187338,0.086137982516285,43,1,44
105,0.083687844551841,0.084808559971519,44,1,45
106,0.082824417864458,0.082884662339933,45,1,46
107,0.082575202459745,0.08149633727811,46,1,47
108,0.082330948124875,0.081357322597554,47,1,48
109,0.081571840024029,0.081762910013516,48,1,49
110,0.080890965891709,0.081740041071782,49,1,50
111,0.080886365181121,0.081539032490388,50,1,51
112,0.081216752556789,0.081822844648338,51,1,52
113,0.081453107419488,0.082418750260599,52,1,53
114,0.081716995878951,0.082813692617102,53,1,54
115,0.082103588809568,0.082913121789822,54,1,55
116,0.082368015869772,0.08291150814399,55,1,56
117,0.082556398400384,0.08303044848516,56,1,57
118,0.082896241153939,0.083316630184679,57,1,58
119,0.083320042364967,0.083563242198268,58,1,59
120,0.083732032683628,0.083638064873662,59,1,60
121,0.084230838302801,0.08365806076165,60,1,61
122,0.085025955566144,0.083954667533812,61,1,62
123,0.086253877929628,0.084962139177082,62,1,63
124,0.087876771666142,0.086885074540924,63,1,64
125,0.089622803195882,0.089306281065716,64,1,65
126,0.091001703229996,0.091282862894782,65,1,66
127,0.091542265056976,0.09199810637233,66,1,67
128,0.091107493367627,0.091296366277065,67,1,68
129,0.089920102182986,0.089677667083673,68,1,69
130,0.08824757828916,0.087841154653332,69,1,70
131,0.086261892037175,0.086201217360363,70,1,71
132,0.084393308375866,0.084839639906583,71,1,72
133,0.083445991318387,0.083940384303623,72,1,73
134,0.083738418998168,0.083861283938559,73,1,74
135,0.084522600032778,0.084557559637976,74,1,75
136,0.084842288641932,0.085266515428855,75,1,76
137,0.084528351200478,0.08509659506275,76,1,77
138,0.083912633732939,0.08389889051332,77,1,78
139,0.0831185511537,0.08233358318776,78,1,79
140,0.082103784503989,0.081163084118142,79,1,80
141,0.080991890693098,0.080679942754259,80,1,81
142,0.080109670770442,0.080741700934385,81,1,82
143,0.079917631826491,0.081145073445536,82,1,83
144,0.080800251556599,0.081917291012118,83,1,84
145,0.082540008790569,0.083207558972962,84,1,85
146,0.084155071748143,0.084768746323881,85,1,86
147,0.084782065391367,0.085756864693679,86,1,87
148,0.084555956361785,0.085524806943066,87,1,88
149,0.084120227433993,0.08444066304164,88,1,89
150,0.08374172326603,0.08340389658914,89,1,90
151,0.083439106630805,0.08288379425388,90,1,91
152,0.083364558882616,0.082881895680494,91,1,92
153,0.083614322538817,0.083322286719726,92,1,93
154,0.084052225569486,0.084015910600474,93,1,94
155,0.084434410775119,0.084603587039108,94,1,95
156,0.084496234359905,0.084753501000428,95,1,96
157,0.085301558100995,0.085410180804042,96,1,97
158,0.088331599490607,0.087466529142255,97,1,98
159,0.094644437160377,0.091715558500122,98,1,99
160,0.098656076988827,0.092486197949129,99,1,100
