time,Fx_left_arc,Fx_left_platen_right,Fy,external_work,fracture_energy,impactor_disp,kinetic_energy,max_d,strain_energy
0,0,0,0,0,0,0,0,0,0
1e-06,1.3456928587157,9.3297483516676e-14,-5.4259537602615e-14,8.2775939983706e-05,0,0.0002467198171342,7.3734923449252e-06,0,0.00023649921853871
2e-06,8.2605024801221,-1.2627637356501e-12,-4.0104875620283e-14,0.0023042669279794,0,0.00098663578586422,0.00020829388449362,0,0.0057927657269045
3e-06,21.061778196633,-7.6029725892623e-13,-2.0760170908854e-13,0.011960764669941,0,0.00221901769846,0.001164892778119,0,0.027685962332589
4e-06,36.317261149889,4.9237164502161e-12,-3.7745765288649e-13,0.036734606357272,0,0.0039426493427611,0.003584315487197,0,0.081763488738344
5e-06,56.202576120249,-2.8780455963159e-12,-1.2833560198234e-12,0.086531098910655,0,0.0061558297024311,0.0083150382590489,0,0.18826828972472
6e-06,78.828274352463,1.0268942342897e-11,3.246135814836e-12,0.1732815534986,9.8505791087611e-07,0.0088563746356556,0.016336705869194,0,0.37144382781336
7e-06,105.04411345411,1.0081495272494e-11,-5.2089156098447e-12,0.31072847112077,2.4318252918151e-05,0.012041619030626,0.028770493839442,0.0006136132185768,0.6590946780884
8e-06,134.13396480984,1.5642284142945e-11,1.0719797342011e-11,0.51414665349148,0.00010850666945932,0.015708419435684,0.046917184224918,0.0051719926101768,1.0819845737067
9e-06,166.24408181963,-1.8760787517994e-11,-1.8268950399791e-11,0.79994881486361,0.00031446197938721,0.019853157161528,0.072335693135023,0.013100384388793,1.6730196962126
1e-05,213.96311352421,3.3257433663859e-11,-2.7547022810318e-27,1.6264236706619,0.00076130824315395,0.024471741852423,0.42805065597095,0.024132482330071,2.4655601812264
1.1e-05,252.41091759501,-4.3177894604937e-11,-1.9159853666008e-26,2.6938857132864,0.0016349505097476,0.029559615522887,0.61444674060466,0.03911145870364,3.4933851961894
1.2e-05,278.63066985207,1.1370524034479e-12,-7.8511191800513e-12,3.3269555263651,0.0031665990925072,0.035111757055874,0.21567510819666,0.059199904994385,4.7881843541019
1.3e-05,320.97961288718,3.4946036126333e-11,-3.6235934677228e-12,4.106295725694,0.0056320143707625,0.041122687158009,0.29782013194021,0.08413285711946,6.3763097593664
1.4e-05,365.42704627114,6.1325487019129e-11,-1.9929764072482e-11,5.0447410507225,0.0093726355224658,0.04758647376699,0.40579158789416,0.11363263793292,8.2831055270196
1.5e-05,416.78888598676,1.0307587765089e-10,-1.2015929308326e-26,7.4412573953756,0.014753063117702,0.054496737905816,2.1622046054481,0.14774047556384,10.527210985346
1.6e-05,468.10438662224,-1.7009211182605e-11,5.1736653608015e-24,10.172210351903,0.022221008956628,0.061846659978068,2.8884290506959,0.18614719853523,13.129276262606
1.7e-05,520.29028343693,-9.6509418222321e-11,1.4705881886258e-24,13.260902473075,0.031936066790444,0.069628986498028,3.806909057168,0.22869578558578,16.099955154112
1.8e-05,573.15174344457,-3.2260205105949e-11,-9.1284144052917e-25,16.728427061912,0.0443970672123,0.077836037248993,4.9489335751254,0.2735147446614,19.450998841598
1.9e-05,626.03206941267,-1.6424169559459e-10,-2.509208767327e-26,20.594276684922,0.059452428848685,0.086459712862719,6.3447446018019,0.32108304983903,23.19161447302
2e-05,659.08970564317,3.7101372315523e-11,4.831457956967e-11,22.670108998907,0.056482929532018,0.095491502812526,2.0059034697406,0.3694803933055,27.339982019419
2.1e-05,720.84176874793,3.5636691949388e-11,6.3644035655783e-25,27.535844189315,0.055652088751879,0.10492249381215,9.978903997984,0.35815670500437,31.968330712885
2.2e-05,776.16468815225,-1.5402618901775e-10,-7.151194499784e-24,32.836410493903,0.054272676345851,0.11474337861211,12.323898232068,0.3534348784655,37.066231702607
2.3e-05,830.894748051,-2.514303741175e-11,4.0283655441654e-24,38.600027046767,0.05539201988714,0.12494446518477,15.012975474849,0.34401457410106,42.649736802855
2.4e-05,883.68036148476,1.5486495547163e-10,3.521172158319e-24,44.854482847079,0.056764898867926,0.13551568628929,18.040182991316,0.34468101363034,48.726461692919
2.5e-05,935.6002852965,3.3159982835329e-10,-4.3045299698652e-25,51.633448234152,0.058819223342266,0.14644660940673,21.395428457518,0.34191775695073,55.33252945124
2.6e-05,986.49310308463,1.751934984131e-10,3.9379936388633e-26,58.9756204255,0.06198402452511,0.15772644703566,25.063657252556,0.33454131364571,62.497789111649
2.7e-05,1017.4896134132,3.9845789192154e-11,-8.1744670007132e-24,67.076936893535,0.067532435519093,0.16934406733817,28.946714597841,0.32278987483045,70.260962259061
2.8e-05,1069.7916785744,3.008258785242e-11,6.680452798646e-25,75.798664264382,0.065932993988649,0.18128800512566,33.166777023674,0.31128621732775,78.658955837715
2.9e-05,1121.5667918131,-2.5521761939768e-10,-7.6569742468883e-24,85.213856179951,0.068790798635155,0.19354647317351,37.632474650701,0.28600749362686,87.887548013349
3e-05,1168.121651455,-1.4076041318446e-10,1.9574251765851e-23,95.382126481729,0.077214793376261,0.20610737385376,42.295952608892,0.26362361651287,97.834033190555
3.1e-05,1219.9457686787,-2.1237740666877e-10,1.4035413225692e-26,106.33767044684,0.091448370517052,0.21895831107393,47.110869418071,0.31195517611453,108.58611127285
3.2e-05,1258.6973807775,5.9244350903985e-11,-2.1406529524077e-26,118.19216675022,0.095384642553473,0.2320866025105,51.93029109664,0.37512448954427,120.15516581628
3.3e-05,1302.2042426463,1.4052069079996e-10,-2.0598735957131e-26,131.0165373823,0.088948608078157,0.24547929212481,56.739674695757,0.418633876071,132.73656338839
3.4e-05,1341.5144153642,6.2219670121367e-12,5.6545549686242e-26,144.89106949292,0.11788684345542,0.25912316294914,61.416145200777,0.39842921140787,146.35717176397
3.5e-05,1382.1797688868,-2.891870311337e-11,-5.6545549686242e-27,159.87068659324,0.27612048387598,0.27300475013023,65.876442346089,0.40831936688556,160.9395985876
3.6e-05,1417.0730644101,9.6125934165329e-11,-2.0194839173658e-27,175.9788252582,0.63461724290473,0.28711035421746,70.046312010129,0.40409439658757,176.1145099548
