time,Fx_left_arc,Fx_left_platen_right,Fy,external_work,fracture_energy,impactor_disp,kinetic_energy,max_d,strain_energy
0,0,0,0,0,0,0,0,0,0
1e-06,2.0340374228437,9.3297483516675e-14,-5.4259537602615e-14,0.00011503571545984,0,0.0002467198171342,1.3790137424378e-05,0,0.00032866374613403
2e-06,12.068408686582,-1.2627637356501e-12,-4.0104875620283e-14,0.0030884895246465,0,0.00098663578586422,0.00038049313097623,0,0.0077542962829468
3e-06,29.185297943179,-7.6029725892623e-13,-2.0760170908854e-13,0.015415512994385,0,0.00221901769846,0.0020373099006429,0,0.035692822472138
4e-06,47.89676407556,4.923716450216e-12,-3.7745765288648e-13,0.04633784142084,0,0.0039426493427611,0.0060013650239905,0,0.10317110923849
5e-06,72.716249261267,-2.8780455963159e-12,-1.2833560198233e-12,0.10760881245606,0,0.0061558297024311,0.013470008016581,0,0.23417583516655
6e-06,100.17085096966,1.0268942342897e-11,3.2461358148359e-12,0.21328664592337,6.0989259774426e-07,0.0088563746356556,0.025804580788356,0,0.4572435217043
7e-06,131.67465617642,1.0081495272494e-11,-5.2089156098448e-12,0.37956786744405,5.0735870656833e-06,0.012041619030626,0.044470163494753,0.0017401758257681,0.80511969094775
8e-06,166.26055239426,1.5642284142945e-11,1.0719797342011e-11,0.62460563577681,1.3504759575068e-05,0.015708419435684,0.071046201129124,0.007476675047415,1.314350827244
9e-06,204.37384057728,-1.8760787517994e-11,-1.8268950399791e-11,0.96833934834409,2.9252954754828e-05,0.019853157161528,0.10721393310252,0.016328724210538,2.0249751660822
1e-05,245.83056578646,3.8667100089058e-11,1.8117967338632e-11,1.4323049592825,5.2313728447132e-05,0.024471741852423,0.15474080274161,0.028982617500389,2.9800274369246
1.1e-05,290.58007428759,-5.4838323202268e-11,6.0393224461917e-12,2.0394713101639,9.4387667105683e-05,0.029559615522887,0.21548497947828,0.044542322538898,4.2253476932615
1.2e-05,338.1984721522,1.1370524034471e-12,-7.8511191800503e-12,2.8139803285358,0.0001558114917471,0.035111757055874,0.2913831257592,0.065068971836882,5.808624491882
1.3e-05,388.44128205218,3.4946036126332e-11,-3.6235934677216e-12,3.7809487291283,0.00024133489081334,0.041122687158009,0.38446427674546,0.090177626293414,7.7794461863291
1.4e-05,445.60985105564,6.312405700433e-11,-9.9964453909607e-26,6.3384573637345,0.00034125730858591,0.04758647376699,1.9594508318772,0.11980540992161,10.185069115367
1.5e-05,506.518528231,1.0307587765089e-10,2.6707674807163e-26,9.3666026430198,0.00047509043612987,0.054496737905816,2.5033073655966,0.15280413433516,13.081937774878
1.6e-05,569.58177322804,-1.7009211182603e-11,4.0919792875624e-25,12.928366573102,0.00064663186074472,0.061846659978068,3.145389068826,0.19026254983965,16.517574335646
1.7e-05,634.76867587592,-9.6509418222321e-11,2.4251477492666e-25,17.086631080818,0.00085528436960543,0.069628986498028,3.8961390935238,0.23087903541064,20.541637852805
1.8e-05,679.27216459476,-1.6606983443192e-11,-2.4157289784717e-11,19.406785453661,0.00069294650437744,0.077836037248993,1.193831297473,0.27489306194295,25.211598733052
1.9e-05,757.72082949332,-1.6424169559459e-10,4.8467614016779e-27,25.097941725816,0.00051964054262367,0.086459712862719,5.7683363484525,0.23591273110469,30.643082951678
2e-05,836.68272617097,3.3880709649786e-11,8.2798840611997e-26,31.533423051487,0.00041109332585973,0.095491502812526,7.0200176560732,0.18999250497728,36.871420714989
2.1e-05,916.99333750469,3.5636691949387e-11,1.9639481096382e-26,38.76590915795,0.00034988596996807,0.10492249381215,8.485848376369,0.14721945806272,43.916829381139
