time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.00033831328639959,9.9086634415427e-09,0.00033832319506303,-2.3872962804788e-24,0,291.65755208034,0.00038143393882737,0.00039239626434768,0.497484453125,1.0382472016367,0.0025,0,0
0.5,0.00055807762073098,0.00025100612973759,0.00080908375046857,-9.0435949788138e-24,0,416.65364582486,0.00089720487253001,0.0028653989304521,0.497484453125,1.0336796587974,0.0025,0,0
0.75,0.0005315891208304,0.0009000046126674,0.0014315937334978,-1.9860882611161e-23,1.0192958511039e-05,416.65364582023,0.0014033246005129,0.0068480582573451,0.497484453125,1.0293107269646,0.0025,0,0
1,0.00044628414657996,0.0013407654378738,0.0017870495844538,-3.5194247412452e-23,8.7294723944539e-05,416.65364581851,0.0019066479190502,0.011033314783374,0.497484453125,1.0250521468215,0.0025,0,0
1.25,0.00038766191457533,0.0020203019231274,0.0024079638377028,-5.5997466432414e-23,0.00030983417334726,416.65364581801,0.002412315314935,0.015084336480355,0.497484453125,1.0207257131543,0.0025,0,0
1.5,0.00032597177724647,0.0021897813369017,0.0025157531141482,-8.4273759177653e-23,0.00067249204056506,416.65364581694,0.0029071806066602,0.019026076405717,0.497484453125,1.0164060189754,0.0025,0,0
1.75,0.00024539122315525,0.0025404383752956,0.0027858295984508,-1.2126554675619e-22,0.0011861552731791,416.65364581526,0.003400967885717,0.022903696573216,0.497484453125,1.0119825455182,0.0025,0,0
2,0.00015715204503456,0.0027817655475015,0.0029389175925361,-1.6082727032831e-22,0.0018814869295492,416.65364580763,0.0038957518620689,0.026731699310366,0.497484453125,1.0073992591706,0.0025,0,0
2.25,7.64339431599e-05,0.0029331453146679,0.0030095792578278,-2.0843787870845e-22,0.0027264922964014,416.65364571516,0.0043877595317822,0.030568902161469,0.497484453125,1.0026424423217,0.0025,0,0
2.5,7.3315864084524e-06,0.0030734917337493,0.0030808233201578,-9.1467712619654e-21,0.0037125880200073,416.65364469568,0.004879620263934,0.034486650456562,0.497484453125,0.99762171237312,0.0025,0,0
2.625,-0.00021041997804379,0.0032911257374761,0.0030807057594323,-4.6462229037864e-20,0.0042659087740283,416.65364284515,0.0051254993347681,0.037825891570723,0.497484453125,0.99500374831257,0.0025,0,0
2.875,-7.5232496179915e-05,0.0031180779752622,0.0030428454790822,-4.9619598384698e-18,0.0054228249346707,416.65362189703,0.0056202723867409,0.040614724628623,0.49748445312502,0.98963632705717,0.0025,0,0
3.125,-6.9418465695269e-05,0.003061385941375,0.0029919674756798,-3.3471129247042e-16,0.0067009351300925,416.65345845853,0.0061191846587979,0.044817000753422,0.49748445312524,0.98401876406619,0.0025,0,0
3.375,-1.6187710742887e-05,0.002977304864096,0.0029611171533531,-1.6517595815835e-14,0.0080509374895239,416.65239137662,0.006616262919328,0.049143942013261,0.49748445312677,0.97824115479101,0.0025,0,0
3.625,2.585050758524e-05,0.0028952474227559,0.0029210979303412,-6.0344062462274e-13,0.0094659153415768,416.64643448815,0.0071134261572391,0.053584994795251,0.49748445313636,0.97226862899186,0.0025,0,0
3.875,-6.3260787761467e-05,0.0029803363976951,0.0029170756099337,-1.636957824148e-11,0.010929582607427,416.61795802554,0.0076072985413636,0.05816643398024,0.49748445318808,0.96609322238318,0.0025,0,0
