time,DJ,DJ_box,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-0.00015393117914699,1.52551697004e-07,-0.00015393117914699,-6.8979717567224e-19,1.52551697004e-07,-2.9741610496124e-23,0.00066334945642999,2.9273925940225e-07,-210.17203138856,0.085276584822952,0.087463100002702,0.01415216454046,0.029902914723508,210.17203138856
1,0.00094516758673407,6.9611362089814e-06,-0.0017824089688466,0.0027275765555807,6.5519020897262e-06,4.0923411925522e-07,-0.00098056439303259,1.4852506314351e-05,7.1095873359885,0.085261840545788,0.087373886089224,0.015009783311868,0.018173443596488,-7.1095873359885
1.5,-0.0011178323649299,4.8394179878227e-05,-0.0013819697031267,0.0002641373381968,3.3858713587126e-05,1.45354662911e-05,-0.00076113216977156,0.00012285312193571,7.5692576435994,0.085247257469398,0.08696922529561,0.012490207221076,0.014186641583928,-7.5692576435994
2,0.00065917410455164,7.5904656254819e-05,-0.00097098874950996,0.0016301628540616,-6.2264401052881e-05,0.0001381690573077,-0.00044428300283415,0.00024408758930781,-5.4524131190266,0.085268683171202,0.085454118154008,0.010557064325929,0.012417766201588,5.4524131190266
2.5,-0.00042989344608465,7.7850553762418e-05,-0.00086553446040501,0.00043564101432036,-0.00046400384465474,0.00054185439841716,-0.00035643408632761,8.6585556442336e-06,0.074618781683872,0.08527604652921,0.08293084563175,0.0081073293985517,0.012829840296781,-0.074618781683874
3,0.00070202328142046,0.00032909827450495,-0.00073962776987058,0.001441651051291,-0.00076845983028313,0.0010975581047881,-0.00027502689159574,-0.00031554164343312,-2.8655911985101,0.085290825367261,0.081334075412524,0.0047111940049647,0.014248275912564,2.8655911985101
3.5,0.00046328030748719,0.00069451737595391,-0.00059041423619948,0.0010536945436867,-0.00059860350125313,0.001293120877207,-0.0003272133166695,-0.00034383689147512,-4.7895460752793,0.08530586674866,0.082255393944367,0.0029387172764681,0.012734044900464,4.7895460752793
4,0.00090609060653604,0.00080164260812536,-0.00032238826385531,0.0012284788703913,-0.00017476031381285,0.00097640292193821,-0.00028047646238073,-0.0001472382594599,-9.845204983427,0.085321638626475,0.083728050874475,0.0037470877022825,0.0093858175552846,9.845204983427
4.5,0.00053421653668782,0.0006165608208031,-0.00010940133626357,0.00064361787295139,4.1119866493465e-05,0.00057544095430964,-0.00010459290174903,3.4608985090097e-05,-20.806449762844,0.085344190609964,0.084003607226127,0.0040611035525563,0.0084465236073849,20.806449762844
5,0.00045088503900127,0.00038743813829931,-4.4996466870551e-05,0.00049588150587182,7.9893752265484e-05,0.00030754438603383,-1.1597959562888e-05,0.00011225798051109,-35.906614958322,0.085378374405363,0.083305081679158,0.0030143991160154,0.0092305993273783,35.906614958322
5.5,0.00026534325672744,0.00027392195872995,1.9743465826791e-05,0.00024559979090065,0.00012285224714494,0.00015106971158501,4.6184053267242e-05,0.00015698280384549,-50.695820963566,0.085429683001708,0.082790069864647,0.0017686565637561,0.010158448362052,50.695820963566
6,0.00029152485727595,0.00022362661283542,0.00011583704796666,0.00017568780930929,0.00014086556965632,8.2761043179096e-05,0.00015324656500411,0.00017704252872152,-58.478209648019,0.085502461716513,0.082801269204858,0.0013487265989246,0.0099844424365362,58.478209648019
6.5,0.00023782661473913,0.00019255133466659,0.00017905416682678,5.8772447912352e-05,0.00013081863654953,6.1732698117062e-05,0.00024282871401624,0.00017195861223815,-54.921415923207,0.085597931607371,0.082930118638898,0.0022750688896926,0.0085743223556076,54.921415923207
7,0.000225703415966,0.00017558333390126,0.00018647426430007,3.922915166593e-05,0.00010077952111424,7.4803812787024e-05,0.00026278617136371,0.00014980749026198,-42.050044724072,0.085712425971556,0.083148018142846,0.0034408963358393,0.0075782381955319,42.050044724072
7.5,0.00020350618427636,0.00017118178801071,0.00016568212151478,3.7824062761584e-05,7.6605759154371e-05,9.4576028856334e-05,0.00024340697798897,0.0001433034243478,-27.788288496775,0.085839437759209,0.083572736007676,0.0033528273680401,0.0081415461907153,27.788288496775
8,0.00020925836369056,0.00016273286090677,0.00015259351022838,5.6664853462177e-05,8.5870847735699e-05,7.6862013171072e-05,0.00023927964651267,0.00017017654701202,-19.807681907862,0.08597352215143,0.083968650419197,0.0020852355877068,0.0095522342102701,19.807681907862
8.5,0.000198205083504,0.0001462885300441,0.00015655647089369,4.1648612610315e-05,0.00012652193198623,1.9766598057876e-05,0.00024816611385036,0.00020593092324802,-20.129396383668,0.08611335259071,0.084095564005013,0.00080560954267622,0.010552925728577,20.129396383668
9,0.00018821814792192,0.00013762484573139,0.00017190424265513,1.6313905266789e-05,0.00016715076504366,-2.9525919312267e-05,0.00024242314049224,0.000215523177758,-25.806922525118,0.086261786495893,0.084025287286304,0.0003993473638379,0.010519709184957,25.806922525118
9.5,0.00018221910331424,0.00014646073049427,0.00018925432445796,-7.035221143722e-06,0.00017152382629167,-2.5063095797397e-05,0.00022929346129168,0.00019230387567154,-33.203258044975,0.086421746939947,0.083880138810067,0.00089044861063356,0.0097670429141008,33.203258044975
10,0.00018304344205382,0.00016087534595909,0.00019403679213387,-1.0993350080047e-05,0.00013604768785888,2.4827658100206e-05,0.00023184108132366,0.00016417544626151,-40.520757078722,0.086591525297789,0.083620590949211,0.0015585879481729,0.0091658224502174,40.520757078722
