time,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0
0.5,0.00012525950362783,-1.8893646472774e-05,24.062112452313,2.6010989655431e-05,0.0069305065735993,0.068852331030087,0.0034652532867997,-24.062112452313
1,0.00012793530669802,-1.9318767908394e-05,24.201632639529,2.6125514238525e-05,0.0069735283062202,7.2026195664308e-06,0.0035081234092486,-24.201632639529
1.5,0.00013073323938087,-1.9764125877862e-05,24.344014203272,2.6241523346083e-05,0.0070178125545649,7.7436841041011e-06,0.0035522481663955,-24.344014203272
2,0.00013366200728534,-2.0231198275163e-05,24.48936978224,2.6359045638964e-05,0.0070634243643381,8.3412819851232e-06,0.0035976919631389,-24.48936978224
2.5,0.00013673115880041,-2.0721606424907e-05,24.637818834386,2.6478110220626e-05,0.0071104338645489,9.00284609528e-06,0.0036445242142185,-24.637818834386
3,0.00013995118697853,-2.1237132080456e-05,24.78948819034,2.6598746606561e-05,0.0071589168120314,9.7369641506942e-06,0.0036928198778956,-24.78948819034
3.5,0.00014333364587589,-2.1779736739599e-05,24.944512661251,2.6720984687093e-05,0.007208955209677,1.0553581299845e-05,0.0037426600614435,-24.944512661251
4,0.00014689128362171,-2.2351583622814e-05,25.103035706978,2.6844854682665e-05,0.0072606380101104,1.1464241298448e-05,0.0037941327098075,-25.103035706978
4.5,0.00015063819485566,-2.295506271197e-05,25.265210171185,2.6970387090743e-05,0.0073140619185734,1.2482373878353e-05,0.0038473333907557,-25.265210171185
5,0.00015458999559187,-2.3592819307448e-05,25.43119909054,2.7097612623403e-05,0.0073693323111653,1.362363738773e-05,0.0039023661921347,-25.43119909054
5.5,0.00015876402404078,-2.4267786629861e-05,25.601176585961,2.7226562134661e-05,0.0074265642873598,1.4906327460142e-05,0.0039593447495142,-25.601176585961
6,0.00016317957144706,-2.498322306916e-05,25.775328844545,2.7357266536655e-05,0.0074858838789195,1.6351864375935e-05,0.0040183934255841,-25.775328844545
6.5,0.0001678581475762,-2.5742754769175e-05,25.953855201566,2.7489756703839e-05,0.0075474294409849,1.7985373889419e-05,0.0040796486661924,-25.953855201566
7,0.00017282378609054,-2.6550424329133e-05,26.136969332637,2.7624063364575e-05,0.0076113532552337,1.9836378550781e-05,0.004143260561872,-26.136969332637
7.5,0.00017810339567173,-2.7410746504424e-05,26.324900566771,2.7760216979739e-05,0.0076778233795427,2.1939618834486e-05,0.0042093946480908,-26.324900566771
8,0.00018372716332738,-2.8328771894628e-05,26.51789533158,2.7898247608439e-05,0.0077470257834472,2.4336025487837e-05,0.0042782339821537,-26.51789533158
8.5,0.0001897290167954,-2.9310159713936e-05,26.716218742226,2.8038184761568e-05,0.0078191668136698,2.7073866093395e-05,0.0043499815395188,-26.716218742226
9,0.00019614715322833,-3.0361260841591e-05,26.920156345724,2.8180057244824e-05,0.0078944760387259,3.0210089366596e-05,0.0044248629769244,-26.920156345724
9.5,0.00020302464125204,-3.1489212439292e-05,27.13001603188,2.8323892994064e-05,0.0079732095255431,3.3811889393314e-05,0.0045031298136262,-27.13001603188
10,0.00021041010284301,-3.2702045485926e-05,27.346130121207,2.8469718907541e-05,0.008055653603274,3.7958507712689e-05,0.0045850630844052,-27.346130121207
10.5,0.00021835847998457,-3.4008806600512e-05,27.568857638501,2.8617560681684e-05,0.0081421291687801,4.2743282291386e-05,0.0046709775176417,-27.568857638501
11,0.0002269318884004,-3.5419695478813e-05,27.798586778222,2.8767442659851e-05,0.0082329965828536,4.8275936922436e-05,0.0047612262869975,-27.798586778222
11.5,0.00023620055642236,-3.694621912851e-05,28.035737564096,2.8919387706816e-05,0.0083286611937949,5.4685079771453e-05,0.0048562063739197,-28.035737564096
