time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-4.6834832880552e-05,-1.9608894627958e-20,3.7421439598485e-10,9.5051752392206e-26,0.0002190473186145,6.4972523634429e-10,-172.12315654142,0.053671871455342,0.031182507434029,0.0089089603409042,0.018818376748227,172.12315654142
1,-0.00059558121955817,0.00089591055056952,9.9105943175749e-08,3.5334740093764e-09,-0.00032239059917547,1.5727676777633e-07,5.4566217876726,0.053660004929703,0.031182507438198,0.0094679812271722,0.011439395714493,-5.4566217876726
1.5,-0.0004800451687822,0.00011682525096164,2.8746275532729e-06,2.2456184483943e-07,-0.00025588877995475,4.7045348527571e-06,5.7578800891864,0.053647504576612,0.031182510768173,0.0079317252624187,0.0088667081678349,-5.7578800891864
2,-0.00034435510918323,0.00058210299417463,2.8128802117768e-05,5.0043220530146e-06,-0.00013108802074443,4.7785058902382e-05,-4.8366256746787,0.053661587879904,0.031182808471836,0.0067650787239593,0.0077210669603401,4.8366256746787
2.5,-0.00029679892607599,0.00026410053529734,0.00011187465824218,4.7845459779332e-05,-3.1405372366253e-05,0.00020290953249669,0.0812961811297,0.053663308416353,0.031187596291172,0.0053499934395562,0.0077850682617416,-0.0812961811297
3,-0.00027415764231296,0.00076161943962234,0.00017962464172203,0.00021702144372808,5.667738659348e-05,0.00037909189591593,-1.8855878565725,0.053668951307959,0.031209811315352,0.0035486899833706,0.0083824841602104,1.8855878565725
3.5,-0.00029107873182735,0.00080231897027306,6.2238366701858e-05,0.00050378594494791,-8.1298319260515e-06,0.00027754878396835,-3.3692659896039,0.053673943434329,0.031241695681516,0.0029365214976833,0.0073412806237779,3.3692659896039
4,-0.0002396075019321,0.00089125277408947,-9.1688907843299e-05,0.0006500613620116,-7.9949231122672e-05,1.8736738648566e-05,-7.2505035961142,0.053678320967465,0.031247469482609,0.0037467485519123,0.0056918797668501,7.2505035961142
4.5,-0.00014048157798891,0.00059782802451731,1.2088110159232e-05,0.0004569213512334,-6.0910059567751e-05,2.3627431836827e-05,-15.16059832926,0.05368486449747,0.0312536822289,0.0034877958784353,0.005882122915312,15.16059832926
5,-9.0820453196768e-05,0.00044917775757199,0.00019466309385072,0.0001541187352373,-2.3972338028679e-05,0.00020166065137196,-26.104709315391,0.053696606796876,0.031253785688453,0.0022916777659194,0.0067302811878019,26.104709315391
5.5,-5.676530357107e-05,0.00031510560968468,0.00022615986912422,2.4977307121475e-05,-1.8520704968945e-05,0.00023918248689706,-37.021107412474,0.053717723778358,0.031253921554823,0.0010912666405422,0.0075051060966792,37.021107412474
6,-1.1091697831912e-05,0.00028013230686311,0.0001786296184291,3.8367948736431e-05,-1.07924966869e-06,0.0001880971009623,-42.193723754052,0.053748306354626,0.031254265075012,0.00058187699182276,0.0072935083261062,42.193723754052
6.5,1.1479900638065e-05,0.00024109005080448,0.00013802728875967,7.1133763639241e-05,2.4405017529461e-05,0.00015229842163854,-37.920862790563,0.053783588174186,0.031254305966691,0.0013296137656687,0.0059055602660359,37.920862790563
7,1.749668675525e-06,0.00023627878867499,9.9450678775662e-05,9.6039051152605e-05,3.6921157775674e-05,0.00012576552837376,-26.448198041087,0.053818975572624,0.031254308399782,0.0024740547758114,0.0046747872611771,26.448198041087
7.5,-1.2045371573924e-05,0.00022896196735327,3.9897739126266e-05,0.000132256471312,4.6264147976395e-05,7.6691744391632e-05,-15.085168002647,0.053856677611816,0.031254308866483,0.0027513445109427,0.0046129279894432,15.085168002647
8,5.243140568779e-06,0.0002066651414458,-1.6395519828897e-05,0.00016960913639036,8.5622146862106e-05,2.6587650952963e-05,-10.282625489771,0.053905714128523,0.031254308911159,0.0020933365153375,0.0053023608178992,10.282625489771
8.5,4.7065709253227e-05,0.00015612990862357,-1.090223737808e-05,0.00016149108726075,0.00015977093463587,4.8634204218204e-05,-12.877265525764,0.053975370691951,0.031254312366379,0.0012906462970533,0.0058982116414066,12.877265525764
