"Time","Points:0","Points:1","Points:2"
0,10,0,0
1,10.125,0,0
2,10.125,0,0
3,10.125,0,0
4,10.375,0,0
5,10.375,0,0
6,10.375,0,0
7,10.375,0,0
8,10.375,0,0
9,10.375,0,0
10,10.375,0,0
11,10.375,0,0
12,10.375,0,0
13,10.375,0,0
14,10.375,0,0
15,10.375,0,0
16,10.375,0,0
17,10.375,0,0
18,10.375,0,0
19,10.375,0,0
20,10.375,0,0
21,10.375,0,0
22,10.375,0,0
23,10.375,0,0
24,10.375,0,0
25,10.375,0,0
26,10.375,0,0
27,10.375,0,0
28,10.375,0,0
29,10.375,0,0
30,10.375,0,0
31,10.375,0,0
32,10.375,0,0
33,10.375,0,0
34,10.375,0,0
35,10.375,0,0
36,10.375,0,0
37,10.375,0,0
38,10.375,0,0
39,10.375,0,0
40,10.375,0,0
41,10.375,0,0
42,10.375,0,0
43,10.375,0,0
44,10.375,0,0
45,10.375,0,0
46,10.375,0,0
47,10.375,0,0
48,10.375,0,0
49,10.375,0,0
50,10.375,0,0
51,10.375,0,0
52,10.375,0,0
53,10.375,0,0
54,10.375,0,0
55,10.375,0,0
56,10.5,0,0
57,10.5,0,0
58,10.5,0,0
59,10.5,0,0
60,10.5,0,0
61,10.5,0,0
62,10.5,0,0
63,10.625,0,0
64,10.75,0,0
65,10.875,0,0
66,11,0,0
67,11.125,0,0
68,11.25,0,0
69,11.375,0,0
70,11.625,0,0
71,11.875,0,0
72,12.0,0,0
73,12.125,0,0
74,12.375,0,0
75,12.625,0,0
76,12.875,0,0
77,13.125,0,0
78,13.375,0,0
79,13.5,0,0
80,13.625,0,0
81,13.625,0,0
82,13.75,0,0
83,13.875,0,0
84,14,0,0
85,14.125,0,0
86,14.375,0,0
87,14.75,0,0
88,15,0,0
89,15.25,0,0
90,15.5,0,0
91,15.75,0,0
92,15.875,0,0
93,16.125,0,0
94,16.25,0,0
95,16.375,0,0
96,16.5,0,0
97,16.625,0,0
98,16.875,0,0
99,17.125,0,0
100,17.375,0,0
101,17.625,0,0
102,17.875,0,0
103,18.125,0,0
104,18.375,0,0
105,18.625,0,0
106,18.75,0,0
107,18.875,0,0
108,19.125,0,0
109,19.25,0,0
110,19.375,0,0
111,19.625,0,0
112,19.875,0,0
113,20.125,0,0
114,20.375,0,0
115,20.625,0,0
116,20.875,0,0
117,21.125,0,0
118,21.375,0,0
119,21.5,0,0
120,21.625,0,0
121,21.875,0,0
122,22,0,0
123,22.125,0,0
124,22.375,0,0
125,22.625,0,0
126,22.875,0,0
127,23.125,0,0
128,23.375,0,0
129,23.625,0,0
130,23.875,0,0
131,24.125,0,0
132,24.25,0,0
133,24.5,0,0
134,24.625,0,0
135,24.75,0,0
136,25,0,0
137,25.125,0,0
138,25.375,0,0
139,25.625,0,0
140,25.875,0,0
141,26.125,0,0
142,26.375,0,0
143,26.625,0,0
144,26.75,0,0
145,27,0,0
146,27.25,0,0
147,27.375,0,0
148,27.625,0,0
149,27.75,0,0
150,28,0,0
