time,x,y,crack_length,vel_direct,vel_filtered
0.0,10.012,0.0,0.0,0.0,0.0
0.5,10.026,-2.0301999999999998e-22,0.013999999999999346,0.027999999999998693,0.02800000000000935
1.0,10.026,-2.8125999999999997e-21,0.013999999999999346,5.2191599999999996e-21,5.2191600000000026e-21
1.5,10.026,-1.1121e-20,0.013999999999999346,1.66168e-20,1.661680000000001e-20
2.0,10.026,-4.1103e-20,0.013999999999999346,5.996400000000001e-20,5.996400000000002e-20
2.5,10.027,1.6898e-20,0.014999999999998792,0.0019999999999988916,0.0019999999999988916
3.0,10.028,-6.401700000000001e-19,0.016000000000000014,0.0020000000000024443,0.0020000000000024443
3.5,10.029,-1.26e-18,0.01699999999999946,0.0019999999999988916,0.0019999999999988916
4.0,10.029,-3.684e-19,0.01699999999999946,1.7832e-18,1.7832000000000003e-18
4.5,10.029,7.5091e-19,0.01699999999999946,2.23862e-18,2.2386200000000008e-18
5.0,10.029,-1.9162000000000002e-19,0.01699999999999946,1.88506e-18,1.8850600000000007e-18
5.5,10.029,-1.958e-18,0.016999999999999463,3.53276e-18,3.5327600000000005e-18
6.0,10.029,-1.9706e-18,0.016999999999999463,2.520000000000045e-20,2.5200000000001222e-20
6.5,10.029,-1.1878e-18,0.016999999999999463,1.5656000000000004e-18,1.5656000000000011e-18
7.0,10.029,-3.5042e-20,0.016999999999999463,2.305516e-18,2.3055160000000005e-18
7.5,10.029,5.1116e-19,0.016999999999999463,1.092404e-18,1.0924040000000002e-18
8.0,10.029,-1.1232e-18,0.016999999999999463,3.2687199999999997e-18,3.2687200000000004e-18
8.5,10.029,-2.0579e-18,0.016999999999999463,1.8694000000000002e-18,1.8694000000000002e-18
9.0,10.029,-2.6254e-19,0.016999999999999467,3.59072e-18,3.590720000000001e-18
9.5,10.029,6.846300000000001e-19,0.016999999999999467,1.89434e-18,1.8943400000000005e-18
10.0,10.029,-1.1575e-18,0.01699999999999947,3.68426e-18,3.684260000000001e-18
10.5,10.029,-8.0289e-19,0.01699999999999947,7.092199999999999e-19,7.092199999999997e-19
11.0,10.029,2.7854e-19,0.01699999999999947,2.16286e-18,2.1628600000000005e-18
11.5,10.029,-9.2756e-19,0.01699999999999947,2.4122e-18,2.4122e-18
12.0,10.029,-1.2379e-18,0.01699999999999947,6.206799999999998e-19,6.206800000000002e-19
12.5,10.029,-7.077e-19,0.01699999999999947,1.0604e-18,1.0604000000000002e-18
13.0,10.029,5.1944e-20,0.01699999999999947,1.519288e-18,1.5192880000000005e-18
13.5,10.029,-1.5546000000000001e-19,0.01699999999999947,4.1480800000000004e-19,4.14808e-19
14.0,10.029,-4.525600000000001e-19,0.01699999999999947,5.942000000000001e-19,5.942000000000005e-19
14.5,10.029,-1.2095e-18,0.01699999999999947,1.5138799999999998e-18,1.5138800000000002e-18
15.0,10.029,-2.0386e-18,0.01699999999999947,1.6582000000000002e-18,1.6582000000000002e-18
15.5,10.029,9.875e-19,0.016999999999999474,6.0522e-18,6.052200000000001e-18
16.0,10.029,1.4465e-18,0.016999999999999474,9.18e-19,9.180000000000004e-19
16.5,10.029,-7.6519e-19,0.016999999999999477,4.42338e-18,4.423380000000001e-18
17.0,10.029,-5.781800000000001e-19,0.016999999999999477,3.7401999999999996e-19,3.7401999999999976e-19
17.5,10.029,-3.7959e-20,0.016999999999999477,1.0804420000000001e-18,1.0804420000000001e-18
18.0,10.029,-1.6918e-18,0.016999999999999477,3.3076819999999997e-18,3.3076820000000004e-18
18.5,10.029,-2.1431e-18,0.016999999999999477,9.026000000000005e-19,9.026000000000001e-19
19.0,10.029,-4.0893000000000004e-19,0.016999999999999477,3.4683400000000004e-18,3.4683400000000008e-18
19.5,10.029,3.8531e-19,0.016999999999999477,1.5884800000000002e-18,1.5884800000000008e-18
20.0,10.029,1.3668e-19,0.016999999999999477,4.9726e-19,4.972600000000001e-19
20.025,10.029,1.1893000000000001e-19,0.016999999999999477,7.100000000000398e-19,7.100000000000408e-19
20.05,10.029,9.3818e-20,0.016999999999999477,1.0044799999999151e-18,1.0044799999999155e-18
20.075,10.029,8.3935e-20,0.016999999999999477,3.953200000000224e-19,3.953200000000224e-19
20.1,10.029,8.0005e-20,0.016999999999999477,1.571999999999866e-19,1.571999999999871e-19
20.125,10.029,7.9139e-20,0.016999999999999477,3.464000000000169e-20,3.464000000000169e-20
