time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0
0.5,-2.3417089688912e-05,-1.8448049178082e-21,0.00010952419445504,0.5,0.026835934778303,0.0044544817158691,0.0094091842971131,172.12315191377
1,-0.00029782683979171,0.00044794231339321,-0.00016123304571017,0.5,0.026830004512305,0.0047339038950797,0.005719991878647,-5.4556933748375
1.5,-0.00024041777163366,5.8218786928262e-05,-0.00012872827488674,0.5,0.026823757493807,0.0039620581290542,0.0044405928286805,-5.756618654238
2,-0.00017338900796909,0.00028909430046212,-6.9259257302088e-05,0.5,0.026830826042259,0.0033548503497613,0.0039024406192253,4.847507371993
2.5,-0.00014699734107297,0.00012576495057438,-1.6983888822936e-05,0.5,0.026831835794752,0.0026138320194524,0.0039580861081275,-0.023796623413841
3,-0.00013224377159341,0.00037964400293265,4.2399067883604e-05,0.5,0.026835210083894,0.0017571152850866,0.0041820025677729,2.0921438551498
3.5,-0.00015119739437452,0.0004306874331528,3.9261921768643e-06,0.5,0.026839171146842,0.0014943809237561,0.0036806588107683,3.9037195253647
4,-0.00012656615324912,0.00049207203815012,-4.593121532501e-05,0.5,0.026844214817424,0.0018483990905216,0.0029491750639894,8.2777670793244
4.5,-7.4250808079703e-05,0.00033134342411969,-2.0141963368889e-05,0.5,0.02685147894091,0.0018027329217191,0.0029731511409088,16.613534673763
5,-5.3235102425862e-05,0.00024351037196999,-4.2818436233465e-06,0.5,0.026861007131745,0.0012261206371744,0.0034168399656581,27.554037653303
5.5,-3.431257084531e-05,0.00017445301627642,-9.9986603209952e-06,0.5,0.026873076425153,0.00057787229915789,0.0038265633777923,37.947421971648
6,-1.272345658343e-05,0.00016325167562061,-4.8571329724282e-06,0.5,0.026887669749658,0.00030425828079858,0.0037206403595708,42.539558882514
6.5,-6.9120376009632e-06,0.00015200052270866,6.4350648805765e-06,0.5,0.026904800718798,0.0006768882877156,0.0030154622758991,38.212448061095
7,-1.9756465097928e-05,0.00015432586825379,5.4261597550737e-06,0.5,0.026924465767278,0.0012398159904501,0.002412749589397,27.131768189283
7.5,-2.8363290257885e-05,0.00014943598669068,3.9110707810864e-06,0.5,0.026946833342644,0.0013497725430043,0.0024133062716594,15.880167912625
8,-1.728629527014e-05,0.00013682537100643,3.2030387359798e-05,0.5,0.026972949543214,0.001009679969879,0.0027578879541486,10.483054382651
8.5,-2.7034454931989e-06,0.0001140175784237,8.0508132673936e-05,0.5,0.027005290940507,0.0006270488613751,0.0030218025847186,12.199153152271
9,5.4910796412733e-08,8.9070242297335e-05,0.00011117267474663,0.5,0.027047641835584,0.00046571085497649,0.0030420075308678,18.386858566784
9.5,4.2205415673441e-06,5.5640028529579e-05,0.00011193121910607,0.5,0.027103978413588,0.00050151669611146,0.0029417533770652,26.218158290901
10,2.8708789566614e-05,1.1469029995528e-05,0.0001029110506398,0.5,0.027176729635562,0.00052636693292941,0.0029520491637186,34.400778448602
