time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-4.6844274854515e-05,-8.4752283835439e-20,3.9860157591159e-10,-9.5547258220362e-20,0.00021905725604388,7.6853117731507e-10,172.11582490877,1.3152592295047e-07,0.053669480199356,0.008909403288803,0.018817327512417,-172.11582490877
1,-0.00059573048011122,0.00069694723886406,4.9688068225844e-08,0.00019897971766659,-0.00032251599738444,1.0709336184673e-07,-5.4638774773045,1.5802919286792e-06,0.053657597480539,0.0094684650501408,0.011440245833575,5.4638774773045
1.5,-0.00048087814197969,0.00011327233265019,1.0856665242727e-06,3.0042671519089e-06,-0.00025747882649155,2.9071170289162e-06,-5.7593541717074,8.4921226610597e-06,0.053645095770858,0.0079245902825513,0.0088814417342543,5.7593541717074
2,-0.00034680346175424,0.00045686395998487,4.8135338732753e-06,0.00011645860919074,-0.00013852324951334,2.5347402961269e-05,4.8468364089647,2.6824349398171e-05,0.05365923087022,0.0067100530773266,0.0078051333177262,-4.8468364089647
2.5,-0.00029401537550265,0.00017053753442586,-2.9222409333957e-05,3.1839582839947e-05,-3.3958097166991e-05,7.142876106957e-05,-0.024121132723342,5.4954874487512e-05,0.053661249284461,0.0052278514766561,0.0079164684295879,0.024121132723342
3,-0.00026451775674131,0.00040187041558252,-0.00026680700297298,0.00012140825554566,8.4799515071534e-05,-3.5834146836493e-05,2.0920587974717,7.5732245385315e-05,0.053667997239322,0.0035143092518208,0.0083641881470735,-2.0920587974717
3.5,-0.00030242983745417,0.0002130626316751,-0.0007130765259067,6.5536439881724e-05,7.8215156010155e-06,-0.00047012399157927,3.9038646943247,6.9873734021473e-05,0.053675918754677,0.0029890179027921,0.0073612270876158,-3.9038646943247
4,-0.00025314971219415,0.00016558143380018,-0.00083612420632075,6.3489564631925e-05,-9.1889340680283e-05,-0.00073812671782117,8.2785172900497,4.0601262934879e-05,0.053686005992925,0.0036971458068588,0.0058983863664197,-8.2785172900497
4.5,-0.00014851204536546,7.78546549275e-05,-0.00041361728841472,0.00010562956103678,-4.029293706981e-05,-0.00040676095465182,16.615162823726,1.1755293256817e-05,0.053700534975863,0.0036055680737924,0.00594660745495,-16.615162823726
5,-0.00010648355602689,0.00016164241921025,-9.1017773706489e-06,0.00024257569398283,-8.5749381590758e-06,-5.5351645907872e-06,27.556301775389,-2.4840119584933e-07,0.053719592627106,0.0024521531722011,0.0068340739080078,-27.556301775389
5.5,-6.8640013428001e-05,0.00012075797516866,4.6071202240651e-05,0.00027478910175103,-2.0014215381532e-05,5.0924774296942e-05,37.949133601459,1.1964083849106e-06,0.05374373123474,0.001155616906268,0.0076534522896368,-37.949133601459
