time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-4.6845310385255e-05,1.6335142718072e-19,2.7146999933731e-10,-1.2508410158288e-25,0.00021905556217967,5.044622136648e-10,172.11583255025,0.053669483329533,0.031179432630838,0.0089093983064349,0.018817340687064,-172.11583255025
1,-0.00059573668848827,0.00089593015123066,8.1973207371847e-08,3.9556688210605e-09,-0.00032253545371188,1.351437564275e-07,-5.4638074685365,0.053657600955253,0.03117948325172,0.0094683872745245,0.011440348771626,5.4638074685365
1.5,-0.0004808486199663,0.00011654306565511,2.4319329582942e-06,2.1222929753716e-07,-0.00025745715989855,4.1452178808504e-06,-5.7592320591444,0.053645099967272,0.031180494486881,0.0079253916261866,0.0088796864235727,5.7592320591444
2,-0.00034801431725079,0.00057827381173557,2.3972346158549e-05,4.5349231833577e-06,-0.00014091903329039,4.2467969608967e-05,4.8454934063481,0.053659229115582,0.031187100834265,0.0067113167357869,0.0078065613595072,-4.845493406348
2.5,-0.00030428044309643,0.00024457510601201,9.44383367971e-05,4.29585709413e-05,-6.0787444797081e-05,0.00017879614381694,-0.034421582472097,0.053661198353797,0.031205304953786,0.0051551094223749,0.008048405063306,0.034421582472099
3,-0.00028449228109467,0.00070989757309315,0.00014239926519042,0.00019533210227389,-4.0843647505372e-06,0.00031416409560231,2.0570591291358,0.053667779406064,0.031219499175575,0.0031212886646636,0.008914769862569,-2.0570591291358
3.5,-0.00030123719918979,0.00072042585790691,2.8928248938642e-05,0.00045148200429499,-0.00011802344401721,0.00016974663457705,3.8460299231906,0.053675467942687,0.031229681278322,0.0021785302412105,0.0082690066236276,-3.8460299231906
4,-0.00022542532375045,0.00077220530387038,-6.6289984147679e-05,0.00053472021380318,-0.00019401685603416,-4.6635889111459e-05,8.3115878284594,0.053686052108817,0.031247095769285,0.0028234047924497,0.0067065381979007,-8.3115878284594
4.5,-0.00012991337663713,0.00046182011753166,5.2305435631024e-05,0.00029936378983554,-0.00012126883390042,5.1239973779695e-05,17.118129657493,0.053704446132155,0.031255946602174,0.0029884593038277,0.0064477276045752,-17.118129657493
5,-9.8644872907525e-05,0.00033014101691695,0.00015106632039996,4.5482690234802e-05,-6.7865392860865e-05,0.00018421717913648,29.243751848316,0.053735932463558,0.031277214663629,0.0021600791628377,0.0070131680751619,-29.243751848316
5.5,-3.8531752037239e-05,0.00019219804845359,0.00011748319353742,-1.6933649926757e-05,-1.0417671934447e-05,0.00014319029317592,41.643684207089,0.053787558530748,0.031299240137718,0.0012181892059662,0.007487645184414,-41.643684207089
6,4.5884099804535e-05,0.00012178148388509,6.7142394669226e-05,1.3805183863152e-05,9.5257747746659e-05,7.8912462168387e-05,48.640612116278,0.053863383269338,0.031316768164429,0.00098214670408355,0.0070568867541085,-48.640612116278
6.5,9.0810348986612e-05,4.5519438366008e-05,4.779490886303e-05,3.5195896784632e-05,0.00017220663893221,5.7869464554903e-05,46.257346846485,0.053961463715529,0.031332093395243,0.0017690669680729,0.0057894628303673,-46.257346846485
7,8.1512898968715e-05,2.5726905310083e-05,3.6367064017136e-05,4.5534191285558e-05,0.00016415250163747,5.3253936584344e-05,35.925826818346,0.054073852200912,0.031330508602239,0.002617091749419,0.0050144513779326,-35.925826818346
7.5,5.2447698555602e-05,3.527182554001e-05,2.141186893603e-05,5.5583796670849e-05,0.00011375469210491,5.009029650499e-05,24.128034678316,0.054191243141606,0.031329226698885,0.0024546665720636,0.0054624984154281,-24.128034678316
8,3.679753646056e-05,5.6782890904964e-05,1.5747912966643e-05,5.3255520109698e-05,9.0789027751756e-05,5.1943563658815e-05,17.350125615189,0.054308816253883,0.031328329172242,0.0014800467230939,0.0064687265654311,-17.350125615189
8.5,4.1242489948989e-05,5.171358204327e-05,3.311233119661e-05,3.0367845940468e-05,9.5835727978622e-05,6.2435494800689e-05,17.386105844337,0.054428303418459,0.03132810848367,0.00056554832199272,0.007148904378301,-17.386105844337
9,6.4568787750763e-05,2.9375669062792e-05,6.7492371551642e-05,1.7925538239715e-06,0.00010162421639585,7.931909597627e-05,21.871995052978,0.054555919940909,0.031328125494663,0.0002908361399272,0.0071071693632774,-21.871995052978
9.5,0.00010055365539332,6.2123962207907e-06,9.4434771279304e-05,-6.6784139226674e-06,0.00011396292431037,9.5581570059629e-05,28.017894934107,0.054698197917209,0.031328274806112,0.000660547421868,0.006557683618952,-28.017894934107
10,0.00013467552949753,-3.7876234338028e-06,9.9872077491892e-05,1.1007758695741e-05,0.00015048072528661,0.00010896856901734,34.475907300299,0.054857541132985,0.031328379136074,0.0011897831198826,0.0060869188681837,-34.475907300299
10.5,0.00015077722063611,2.04693153196e-06,9.1354077728687e-05,3.8958271174581e-05,0.00020524349920531,0.000121646250914,40.291678547961,0.055029275517356,0.031328380106352,0.0014351440033054,0.0060085933282867,-40.291678547961
11,0.00013303490650452,3.0011691165069e-05,7.9716541215184e-05,6.3699413643967e-05,0.00024255024550968,0.00012942401462471,43.838746639518,0.055201874282498,0.03132838295358,0.0013882191919579,0.0061711201606893,-43.838746639518
11.5,7.1937255285882e-05,8.7845992581075e-05,6.7157788187217e-05,8.5588423704121e-05,0.0002178775177312,0.00012136872078621,43.450146109158,0.055360286338011,0.031328533772341,0.0012779487221064,0.006320848922449,-43.450146109158
12,-1.9873346204746e-05,0.00017605764977161,5.8914260561073e-05,0.0001069697079403,0.00012229257304285,0.00010162568493473,38.69900728195,0.055490868323239,0.031339911843769,0.0012211747001503,0.0064036382316847,-38.69900728195
12.5,-0.00010917446343991,0.00027788182712946,6.6535593649901e-05,0.00012275898571334,7.6271724224287e-07,9.5837261800004e-05,30.950238525967,0.055586743785855,0.031375967230549,0.001127407081419,0.0065550497121091,-30.950238525967
13,-0.00016678746823588,0.00036538202126106,9.0710841461577e-05,0.00012784164807581,-9.0901854684694e-05,0.00011745168300908,22.889506394596,0.055652208606473,0.03138148250522,0.00086558102658294,0.0068727005210515,-22.889506394596
