time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,tip,tip_adv,tip_cum,top_react
0,0,0,0,0,0,0,0,10,0,0,0
0.5,-2.3417090056395e-05,-2.2945901512916e-21,0.00010952419410398,0.5,0.026835934756938,0.004454481749581,0.0094091842078819,10,0,0,172.12315179912
1,-0.00029782685128391,0.00044794226080719,-0.00016123305629871,0.5,0.026830004485437,0.0047339082588499,0.0057199826277185,10,0,0,-5.4556964245844
1.5,-0.00024041792644503,5.8216356818134e-05,-0.00012872842449875,0.5,0.026823757395083,0.0039621856404773,0.004440351583388,10,0,0,-5.7566572198339
2,-0.00017339018603657,0.00028905797556477,-6.9260538855481e-05,0.5,0.026830825350091,0.0033562377781346,0.0039001248611453,10,0,0,4.8471992980713
2.5,-0.000147003152758,0.00012552857080999,-1.6991092612674e-05,0.5,0.026831831628477,0.002620474988471,0.0039486140786826,10,0,0,-0.025538804783556
3,-0.00013226541049601,0.00037889346564043,4.2370348744386e-05,0.5,0.026835190606225,0.0017718470461752,0.0041650209560661,10,0,0,2.0847379699054
3.5,-0.00015126859615671,0.00042945073299449,3.8359398886455e-06,0.5,0.026839099021196,0.0015091632384244,0.0036681464128809,10,0,0,3.8792038795787
4,-0.00012677519991245,0.00049094398097311,-4.6167434909563e-05,0.5,0.026843998324224,0.0018551706050648,0.0029446999380832,10,0,0,8.213202836758
4.5,-7.4773044664634e-05,0.00033073949324745,-2.0667044034795e-05,0.5,0.026850942637992,0.0018065703013894,0.0029686761172651,10,0,0,16.476613588927
5,-5.4321517235722e-05,0.00024345826147889,-5.311182659206e-06,0.5,0.026859894986659,0.0012296790632212,0.003412995904295,10,0,0,27.319132360759
5.5,-3.6034453729159e-05,0.00017474686700284,-1.172309525708e-05,0.5,0.026871121292086,0.00057830716900085,0.0038257610280118,10,0,0,37.622227457561
6,-1.4446299593424e-05,0.00016337085424179,-6.9779006797661e-06,0.5,0.026884716221772,0.00030167737709164,0.0037212385832312,10,0,0,42.18027679302
6.5,-7.511638176963e-06,0.00015146465049345,4.9277553485467e-06,0.5,0.026900897809817,0.00067371016933396,0.0030146618988634,10,0,0,37.902647337333
7,-1.8937689449707e-05,0.00015314053162203,5.2049014178574e-06,0.5,0.026919835618771,0.0012391447840277,0.0024074439993672,10,0,0,26.930603572262
