time,Load,avg_s1,max_d
0,0,0,0
0.05,-20.947668635624,-25.592987303714,0
0.15,3.2286343032345,13.689756272768,0.54979732761852
0.35,-3.588284616356,2.8957515862735,0.54269973854301
0.55,-0.91238165397253,7.7029952845383,0.56382753307588
0.75,-1.63527351633,6.3841203608379,0.57846004682017
0.95,-2.2896713285705,4.9055357041403,0.62364046931805
1.15,-3.2279914365674,2.3385631061879,0.69506564775354
1.35,-3.5264417762614,1.8422619367946,0.75259861281626
1.55,-2.1626536068246,4.7939159642324,0.62112757084804
1.75,-2.9529158906717,3.4251901874124,0.69947383326206
1.95,-3.4068609915572,2.3901537151608,0.74985584234962
2.05,-3.4635436868298,1.7612350275428,0.73886519607673
2.15,-3.0735331669556,2.5950669714165,0.79953436496165
2.35,-2.0770249991153,4.7508224984966,0.6481039408026
2.45,-4.1452646646106,0.57917854119869,0.88638966058833
2.55,-3.715225123043,1.1492102074251,1
2.6,-3.8788607723004,0.72850721492103,1
2.7,-3.4291953872331,1.0597422615624,1
2.75,-3.6806477370327,0.50002365260792,1
2.775,-3.9032764928492,0.03167118366398,1
2.825,-3.3606260046878,0.91390255226773,1
2.85,-3.0574384214652,1.301611034354,1
2.9,-3.4837124562015,0.48292921785668,1
3,-3.0827975620939,0.79176084427041,1
3.2,-3.1800044211608,0.73121826184612,1
3.4,-4.5136160385503,-0.86347062496032,1
3.6,-2.8555215046679,2.5998627313129,1
3.7,-2.9156591677858,0.8264562873187,1
3.75,-2.3062713009379,1.9049606615293,1
3.8,-1.0838324155728,4.1668887192705,1
3.9,-0.2915088336121,5.9143721396213,1
3.95,-0.9521076014365,4.1639955222771,1
4.05,-6.8302994194445,-6.086412251587,1
4.25,-8.5671295856739,-13.310731974247,1
4.3,-5.9567962139002,-4.5641693475044,1
4.4,-1.3973757038425,3.5266919427606,1
4.6,-1.5081278756112,2.9513712652062,1
4.8,-4.1470782181877,-2.246017900375,1
5,-6.8601456756575,-9.7541531900349,1
5.1,-3.0022005236723,0.24245791150193,1
5.3,-1.8050651800115,3.6076142158457,1
5.5,-5.3957661406656,-4.3180297694001,1
5.7,-5.241249145891,-5.9904195323508,1
5.9,-2.606950212894,0.79904761549346,1
6.1,-2.9253435772393,0.87823867930734,1
6.3,-4.6448421572151,-3.2747525174869,1
6.5,-3.9937195329793,-2.7970649861544,1
6.7,-2.567019737816,1.5662167785854,1
6.9,-5.7230346254361,-5.4816958062252,1
7.1,-5.0143825363431,-4.9105551699352,1
7.3,-2.5139184748744,0.63320976032485,1
7.5,-2.844318795165,-0.12396104216005,1
7.7,-2.792555623861,-0.22156525774174,1
7.9,-2.7440972105612,0.58705833499867,1
8.1,-4.3663537627532,-2.378691896822,1
8.3,-4.380007562328,-3.6740669297314,1
8.5,-4.0306710448615,-2.261227158837,1
8.7,-4.1282587259418,-2.6760076191466,1
8.9,-4.2333286271935,-3.5744496085021,1
9.1,-3.8118799125424,-2.003477585298,1
9.3,-3.2392686259434,-0.64814807122325,1
9.5,-3.3061495750572,-0.60637623432177,1
9.7,-3.7847155775367,-2.3223150794658,1
9.9,-4.0688201518873,-4.6929218270861,1
10.1,-3.7716161721014,-3.2790768130743,1
10.3,-3.2360311835037,-0.82929862236652,1
10.5,-3.4645709592269,-2.070608466104,1
10.7,-3.6784527567513,-3.7555555314812,1
10.9,-3.339882266496,-2.3067027596503,1
11.1,-2.8010977878897,-0.1204233669439,1
11.3,-3.0434080850827,-0.98665215401478,1
11.5,-3.3443710706364,-3.102321786602,1
11.7,-3.2470508743312,-2.804557426223,1
11.9,-2.8842658327021,-1.0979477029607,1
12.1,-2.8771681391304,-1.2925943658706,1
12.3,-3.0149631711566,-2.4452116072405,1
12.5,-2.9139769922575,-2.2363363087605,1
12.7,-2.6630537452917,-1.0613960016303,1
12.9,-2.666278731067,-1.2765908768747,1
13.1,-2.940498345987,-2.9832559644456,1
13.3,-2.9623317764926,-3.4401739504389,1
13.5,-2.6416075770191,-2.0502134078158,1
13.7,-2.3641915764806,-0.65006638817139,1
13.9,-2.2689216685093,-0.25840077648101,1
14.1,-2.2876769879854,-0.59364965953316,1
14.3,-2.3596113287991,-1.2350229624443,1
14.5,-2.4076236256443,-1.7402144091021,1
14.7,-2.402439996649,-1.9343947964668,1
14.9,-2.3617760006989,-1.9650717128495,1
15.1,-2.2968352595384,-1.8769005285047,1
15.3,-2.1871185531854,-1.517245731986,1
15.5,-2.069553927181,-1.0291471226765,1
15.7,-2.0069918529712,-0.77764848993027,1
15.9,-1.9819722627209,-0.78321325763387,1
16.1,-1.9559357650367,-0.85271025988458,1
16.3,-1.9186259091187,-0.88355159685622,1
16.5,-1.8893880076205,-0.94532269694646,1
16.7,-1.871927330752,-1.0440376732104,1
16.9,-1.8136958043452,-0.87158507825296,1
17.1,-1.6652880079293,-0.16416069237317,1
17.3,-1.5415050765463,0.37774127875691,1
17.5,-1.6387630851918,-0.3929630286916,1
17.7,-1.8693453607922,-1.9508761240818,1
17.9,-1.9669725975152,-2.43299377221,1
18.1,-1.8990510495915,-2.2942310767695,1
18.3,-1.7516304782781,-1.7258635785013,1
18.5,-1.5179822740628,-0.49581282164849,1
18.7,-1.2816560315901,0.71106355767029,1
18.9,-1.2534344475802,0.71201449754718,1
19.1,-1.4509310533854,-0.62157083205223,1
19.3,-1.6630764797141,-1.9358516695757,1
19.5,-1.7049530805077,-2.0616922730486,1
19.7,-1.5539267259036,-1.6971397968925,1
19.9,-1.3126750048026,-0.41969516896366,1
20.1,-1.160198852729,0.36680305892855,1
20.3,-1.2383562570519,-0.22550756466374,1
20.5,-1.4753718099539,-1.7410607565377,1
20.7,-1.6197833960646,-2.1765918746697,1
20.9,-1.5229694043471,-1.9901789724544,1
21.1,-1.2871873778954,-1.0658125676124,1
21.3,-1.080714024679,0.028039099743362,1
21.5,-0.96017147007237,0.60341793698655,1
21.7,-0.97818247841927,0.342370410041,1
21.9,-1.1741540663563,-0.94675806169279,1
22.1,-1.3630296407661,-1.7438897691285,1
22.3,-1.2973089407452,-1.6566112450017,1
22.5,-1.0242057006971,-0.36230593873359,1
22.7,-0.8090494085004,0.8264839422739,1
22.9,-0.81515346243673,0.68716454315612,1
23.1,-0.99999092194101,-0.51660666887458,1
23.3,-1.1988195762414,-1.5733814486552,1
23.5,-1.2462584005975,-1.6414399483316,1
23.7,-1.1001367650514,-1.2720113490199,1
23.9,-0.85235622834304,-0.14780869975744,1
24.1,-0.62140041632242,1.1482951069662,1
24.3,-0.53486085645233,1.5853599653996,1
24.5,-0.67502927609421,0.68045833161958,1
24.7,-0.88663195848624,-0.66407380264848,1
24.9,-0.93886598876665,-1.0723064427178,1
25.1,-0.83999077496361,-0.57885689297608,1
25.3,-0.75288168547641,-0.1295110647712,1
25.5,-0.72605459361683,-0.037598728002059,1
25.7,-0.71750260782809,-0.081866854662987,1
25.9,-0.74109776803528,-0.32970424499111,1
26.1,-0.81367582993938,-0.83662038617436,1
26.3,-0.86239655568302,-1.0238457425722,1
26.5,-0.81640714315395,-0.96087383064405,1
26.7,-0.70330677207866,-0.39660545924307,1
26.9,-0.59969320812416,0.17119941358161,1
27.1,-0.55590753997665,0.36684945828416,1
27.3,-0.56897644950384,0.20234544893684,1
27.5,-0.61237934655125,-0.15291777696153,1
27.7,-0.6782474232569,-0.63589285922896,1
27.9,-0.74946612620232,-0.89900043382587,1
28.1,-0.76857789154187,-0.96262158027438,1
28.3,-0.72169263583667,-0.86507531606686,1
28.5,-0.67179642669148,-0.75406322437126,1
28.7,-0.65602147944718,-0.75119104050661,1
28.9,-0.65136356360777,-0.77974803524023,1
29.1,-0.62336543105986,-0.72367016998878,1
29.3,-0.56112220055823,-0.41602941516649,1
29.5,-0.48822327885725,-0.032561329686345,1
29.7,-0.4381726485243,0.21104935982126,1
29.9,-0.43195724435057,0.18069021429276,1
30.1,-0.47505457894776,-0.14986180150477,1
