time,Fx,max_d
22,1813.7636475271,0.67488934156905
22.25,1834.3972603588,0.76891859395087
22.5,1854.6513069911,0.85207180338481
22.75,1874.2881591062,0.91156186884693
23,1892.9871335838,0.94521708096501
23.25,1910.3564385985,0.96763399883306
23.5,1925.9738555247,0.98086258929109
23.75,1939.4591204981,0.98778637777305
24,1950.5684844562,0.99117007355871
24.25,1959.2866648775,0.99371635068042
24.5,1965.8805180526,0.99713655057663
24.75,1970.8810099123,0.9996961914906
25,1974.9808184111,1
25.25,1978.8703769965,1
25.5,1983.0699667093,1
25.625,1986.0498635987,1
25.875,1990.4285648127,1
26.125,1995.9476166485,1
26.375,2001.7555860465,1
26.625,2007.743536157,1
26.875,2013.9250848431,1
27.125,2020.3914036809,1
27.25,2024.7565937058,1
27.375,2028.249493304,1
27.625,2034.4029943539,1
27.875,2041.845733923,1
28.125,2049.4712981553,1
28.375,2057.2712309687,1
28.625,2065.3113204393,1
28.875,2073.6803552265,1
29.125,2082.432449209,1
29.375,2091.5693390163,1
29.625,2101.0659999417,1
29.875,2110.9042340701,1
30.125,2119.686551741,1
30.625,2114.2473713393,1
31.125,2094.6701348697,1
31.375,2081.2280524974,1
31.875,2065.8721507468,1
32.375,2047.9517586514,1
32.875,2030.8072605472,1
33.375,2014.3769026588,1
33.625,2003.8842364342,1
34.125,1990.943061981,1
34.25,1983.9457077134,1
34.375,1980.4334209152,1
34.875,1970.0189489413,1
35.125,1961.6296029435,1
35.375,1955.5811072165,1
35.625,1949.7097052943,1
35.75,1945.9252039239,1
36.25,1937.3494561148,1
36.5,1930.5601946952,1
37,1922.790439732,1
37.25,1917.2066080177,1
37.75,1910.6448318607,1
37.875,1907.1578135418,1
37.9375,1906.0641707686,1
38.4375,1901.6859262251,1
38.6875,1898.1136127091,1
38.9375,1895.6348121884,1
39.1875,1893.2947484559,1
39.4375,1891.1014931996,1
39.6875,1888.9985631962,1
39.9375,1886.845710133,1
40.0625,1885.3707266208,1
40.3125,1883.2361207264,1
40.5625,1880.4870229222,1
40.6875,1878.5565790653,1
41.1875,1872.7969052504,1
41.6875,1863.6533867437,1
41.9375,1856.7736949814,1
42.1875,1850.999011842,1
42.6875,1841.3368671037,1
42.9375,1834.3753993952,1
43.4375,1827.5339442798,1
43.5625,1824.3633735677,1
43.6875,1823.2645183209,1
43.9375,1821.9625147892,1
44.0625,1821.2277171834,1
44.5625,1821.0972348776,1
44.6875,1821.4234992643,1
44.9375,1822.657704135,1
45.1875,1824.6188520736,1
45.4375,1826.5345714072,1
45.9375,1825.1867259208,1
46.0625,1822.6934103457,1
46.3125,1817.2003426305,1
46.4375,1812.2791221209,1
46.9375,1799.4651966762,1
47.1875,1788.2508822724,1
47.4375,1777.7348385209,1
47.9375,1756.3952517494,1
48.1875,1740.5551425324,1
48.3125,1733.8758307082,1
48.5625,1727.0684952893,1
48.8125,1718.5883252696,1
48.9375,1711.949028507,1
49.1875,1699.7558218304,1
49.4375,1682.6365452017,1
49.9375,1655.537392128,1
50.0625,1642.3218864215,1
50.3125,1634.6469629963,1
50.5625,1626.9875704999,1
50.8125,1619.580835334,1
50.9375,1614.8255397916,1
51.0625,1611.6458493268,1
51.5625,1603.7513522838,1
51.8125,1596.3538236504,1
51.9375,1591.2679814361,1
52.1875,1581.9606829872,1
52.3125,1574.2256032928,1
52.4375,1568.1826604525,1
52.6875,1558.3946511189,1
52.8125,1551.005716662,1
53.3125,1535.3622120526,1
53.5625,1524.7757745038,1
54.0625,1520.6893863149,1
54.5625,1523.0148275986,1
55.0625,1529.6482637513,1
55.3125,1535.2514428694,1
55.8125,1543.8331899232,1
56.0625,1550.3308267583,1
56.1875,1553.4840862654,1
56.4375,1557.9478185555,1
56.9375,1567.7521580721,1
57.4375,1578.3223386396,1
57.9375,1586.7671568473,1
58.4375,1593.8290461412,1
58.9375,1599.0553189332,1
59.1875,1601.0179182038,1
59.6875,1601.1863339375,1
59.8125,1600.9663163569,1
60.0625,1600.3133213711,1
60.1875,1599.6096756395,1
60.3125,1598.7815500672,1
60.8125,1595.3581636004,1
61.3125,1591.3645757628,1
61.5625,1589.4603684859,1
61.8125,1588.440224076,1
61.9375,1587.7210799566,1
62.1875,1586.4513428875,1
62.6875,1583.5753127604,1
62.9375,1581.366739312,1
63,1580.5727989871,1
63.25,1579.086562789,1
63.375,1577.6602221098,1
63.5,1576.3114104009,1
63.625,1574.7645092969,1
64.125,1568.8703134334,1
64.625,1559.757218601,1
64.875,1552.949029347,1
65,1549.2218479496,1
65.5,1540.1108867112,1
65.75,1532.6365870307,1
65.875,1529.0841718195,1
66,1526.5349430018,1
66.125,1524.1640416386,1
66.375,1520.6295753611,1
66.5,1518.1663238726,1
66.75,1515.2627252779,1
67,1511.9095138706,1
67.5,1506.9432295754,1
68,1503.6217255534,1
68.5,1504.7377321351,1
69,1510.1841350865,1
69.5,1518.1222073148,1
70,1527.1163195637,1
70.25,1533.4693552683,1
70.75,1543.984200756,1
70.875,1550.4906864106,1
71.125,1557.3848278373,1
71.375,1566.1323860674,1
71.4375,1570.4749632794,1
