time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
3,-0.0002094503538494,0.0031884385694084,0.002978988215559,1.5111314953949e-12,0.0060390235750931,416.65490952537,0.005852194106143,0.23852164108256,0.49650246746514,0.76582791532975,0.0025,0,0
3.25,-0.00028629074723857,0.0032132680268243,0.0029269772795857,6.6836278154595e-12,0.0073420671964309,416.64595218078,0.0063485896943452,0.26134308469025,0.49650246740453,0.74141337493832,0.0025,0,0
3.5,-0.00034295527374383,0.003204658385734,0.0028617031119901,7.9912745765234e-11,0.0087053206334797,416.59401728378,0.0068446054028014,0.28433364950296,0.49650246730847,0.71674745617827,0.0025,0,0
3.75,-0.00039840085596022,0.0031802178947463,0.0027818170387861,-1.6641139912788e-10,0.01011653212185,416.46575756311,0.0073394414059477,0.30748779238731,0.49650246753574,0.69190999688305,0.0025,0,0
4,-0.00046814003993229,0.0031701075637227,0.0027019675237904,1.8154651098754e-09,0.011570395035906,416.22236000613,0.0078314005010207,0.33080633473775,0.49650246840394,0.66683006583,0.0025,0,0
4.25,-0.00056144569272755,0.0031561742553976,0.0025947285626701,-2.9895891796351e-09,0.013064978048873,415.47208161856,0.0083252785030818,0.35432191035147,0.49650246867714,0.64153999052345,0.0025,0,0
4.5,-0.00066805129145069,0.0030972447719994,0.0024291934805487,-1.0999084219716e-07,0.014584865919212,412.33153125171,0.0088191782214284,0.37799673052357,0.49650246490841,0.61607279764551,0.0025,0,0
4.75,-0.00076369737206227,0.0029883173025246,0.0022246199304624,-1.9278353874507e-07,0.016119342030231,401.69205780773,0.009323245463651,0.40177788706219,0.49650245586339,0.59054391687854,0.0025,0,0
5,-0.00083085815691025,0.0028534471305856,0.0020225889736754,-2.8855145101642e-07,0.017668282748022,374.59037834819,0.0098528958967324,0.42539679181892,0.49650245246512,0.56547406198997,0.0025,0,0
5.25,-0.00093823112835969,0.00270515755069,0.0017669264223303,-6.8112189764591e-06,0.019236058277537,321.23399375708,0.010303633180755,0.44714145665301,0.49650248414169,0.5440686571439,0.0025,0,0
5.5,-0.0012117885525362,0.0025597648855688,0.0013479763330326,-3.8510196861164e-05,0.020824142127442,238.22210726151,0.010338000027666,0.46149818227888,0.49650258888931,0.53397772216994,0.0025958456689348,0,0
5.75,-0.0015371879504951,0.0024410039983381,0.00090381604784306,-0.0001128463392534,0.022435708668529,135.8224139353,0.0098413931494631,0.46123737479093,0.49650278761555,0.54099577184243,0.002718299245578,0,0
6,-0.0016982053833133,0.0023600791936793,0.00066187381036602,-0.00022716418995722,0.024074275320821,38.1246969412,0.0091686762819343,0.446227318561,0.4965030638086,0.5592451412506,0.0028399311383586,0,0
6.25,-0.0017868428485962,0.0023095370722471,0.0005226942236509,-0.0003673770730491,0.025744683748342,-27.611762496639,0.0085498097187261,0.42636360826318,0.49650337154223,0.57620778930318,0.0029662321257117,0,0
6.5,-0.0019251840519042,0.002285513917131,0.00036032986522678,-0.0005250696328958,0.027450730990847,-47.020865244398,0.0079345901898629,0.41053266952421,0.49650366885496,0.58738481458593,0.0030803840200006,0,0
6.75,-0.0020284878886647,0.0022059903707678,0.00017750248210309,-0.00069433945731397,0.029193513969967,-28.133812190329,0.0073719558070528,0.39838385315033,0.49650394590329,0.59717690216725,0.003201395952161,0,0
7,-0.0020798824206644,0.0020778611384799,-2.0212821844772e-06,-0.00086606312617211,0.030975273326602,4.0622847185167,0.0068768583152856,0.38549848116082,0.49650422189462,0.60926908521959,0.0033106418728691,0,0
7.25,-0.0020871484206016,0.0018742932042411,-0.00021285521636049,-0.0010475296488412,0.032798994754565,24.478555348046,0.0064203818112632,0.37085590937737,0.49650451838844,0.6222032325418,0.0034257638803417,0,0
7.5,-0.0020621771640821,0.0017055242955643,-0.00035665286851782,-0.0012735184835737,0.034666495097568,23.145061424287,0.0060033246499813,0.3563086604748,0.49650483943056,0.63434002713982,0.0035388873747532,0,0
7.75,-0.0020478826805152,0.0015085505238693,-0.00053933215664593,-0.001551578742628,0.036583070313824,7.6226620896419,0.0055919967196352,0.34184680135414,0.49650517537289,0.64708937920712,0.0036511248082585,0,0
8,-0.0020583847898436,0.0013690803006117,-0.00068930448923183,-0.001830483166628,0.038550533103987,-7.3231706311381,0.0051625241748777,0.32638959630549,0.49650551783528,0.66085261226807,0.0037685141584348,0,0
8.25,-0.0020983169759278,0.0011570386064578,-0.00094127836946996,-0.0020622428912914,0.040570947757137,-12.695014819436,0.0047025350770541,0.31032243435741,0.49650586532649,0.67480442822018,0.0038866989736076,0,0
8.5,-0.0021487472183382,0.000986648575928,-0.0011620986424102,-0.0022390007299247,0.042648775536512,-10.41253498142,0.0042234654210011,0.29381219704389,0.49650621708988,0.68938215139758,0.0040031317511347,0,0
8.75,-0.0021866727869771,0.00071608455248946,-0.0014705882344877,-0.002366275107356,0.04478557050609,-8.3594377217936,0.0037445786185733,0.2764996416281,0.49650656813435,0.70473290160547,0.0041232725219477,0,0
9,-0.0022153590926633,0.00054303693005657,-0.0016723221626068,-0.0024402777963917,0.046987085990133,-11.736896916428,0.0032651814487455,0.2584663296379,0.49650691258544,0.72066760178257,0.0042410530124626,0,0
9.25,-0.0022532494587223,0.00028652264457386,-0.0019667268141485,-0.0024570319304646,0.04925278401826,-19.061977928727,0.0027785225024077,0.23972262937575,0.4965072489466,0.73731352516689,0.0043615732009919,0,0
9.5,-0.0022988268010986,0.00013625307114567,-0.0021625737299529,-0.0024300666172218,0.051586738921907,-25.497789746071,0.0022934536685107,0.22023791849475,0.49650757968166,0.75456826569611,0.0044782242764099,0,0
9.75,-0.0023373313743434,2.6900865842032e-05,-0.0023104305085014,-0.0023758589263008,0.053988189200916,-28.732464075981,0.0018209651776306,0.20016911801338,0.49650790678234,0.7722373388144,0.0046002147849336,0,0
